milliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,7964064.990152335,249999871.32821265,533089.7266863523,2250000000.0,0.0,1082.0629217679714
100,10155163.692919653,250005651.63399547,234312.81187733597,2250000000.0,0.0,758.5755458975776
200,10922332.290397905,250009573.61922386,175016.15890445988,2250000000.0,0.0,428.19516392823317
300,10543778.440710627,250011441.98210955,163546.51909512896,2250000000.0,0.0,232.8460038890079
400,9896828.686538436,250011870.8805291,151793.77188247762,2250000000.0,0.0,149.1252652225771
500,10945941.238658378,250012568.69540027,150654.0326892131,2250000000.0,0.0,130.27557851937087
600,14538353.060579628,250012620.98998028,155155.02538220564,2250000000.0,0.0,86.79919014981566
700,12671937.75615346,250013433.3815727,165658.16709021007,2250000000.0,0.0,90.26476527032948
800,14901591.34967695,250013081.23818666,169488.990480313,2250000000.0,0.0,80.10440482850721
900,12974959.652373396,250013549.36666116,168037.19979251438,2250000000.0,0.0,81.81858897903783
1000,15681396.982656164,250013906.74155864,176522.94307825103,2250000000.0,0.0,94.817579148298
1100,15637283.793766156,250013532.1728111,186042.86787568513,2250000000.0,0.0,97.5941078413852
1200,16775686.835770147,250013651.3536793,181428.86974864028,2250000000.0,0.0,74.39229844523972
1300,16591509.644695725,250014080.2077164,194474.10476362682,2250000000.0,0.0,89.06279980082135
1400,19493903.797115635,250014432.4180959,196222.59718813526,2250000000.0,0.0,84.49919085301119
1500,20418173.521510966,250013978.3472026,196235.6918138018,2250000000.0,0.0,96.34922505937465
1600,20409805.026845913,250014611.03826004,209916.75540942032,2250000000.0,0.0,79.80689259178432
1700,22531472.203845497,250014852.0075078,203353.16667603303,2250000000.0,0.0,92.94110485470388
1800,22246306.507509682,250015157.22882965,217556.53934753806,2250000000.0,0.0,105.06795166379467
1900,23951453.023129586,250015260.8930054,214228.45846770637,2250000000.0,0.0,88.40547528366142
2000,24627990.460336395,250014794.76226878,218367.52676793686,2250000000.0,0.0,96.72264887535498
2100,22341903.659771815,250015293.17388082,228384.04520667868,2250000000.0,0.0,93.62692922556684
2200,27300000.76300992,250015717.92710426,233392.22019587396,2250000000.0,0.0,99.99596639181135
2300,27525509.157913517,250016106.46413493,226724.02090915458,2250000000.0,0.0,120.36540341018609
2400,26388662.959135253,250016338.33590314,237750.77944239083,2250000000.0,0.0,120.34473361194841
2500,29928854.98844388,250016047.44975454,241043.60381724304,2250000000.0,0.0,107.38226055736682
2600,30091345.648623265,250016958.61815947,237581.4958045169,2250000000.0,0.0,121.59102451052283
2700,30052354.392608475,250016791.3501067,250761.42918317494,2250000000.0,0.0,114.4827825526071
2800,31621875.493137404,250017107.73525676,248717.01261557007,2250000000.0,0.0,120.54967002721698
2900,34498216.31421885,250017476.0463531,255386.78314495087,2250000000.0,0.0,110.6639532114038
3000,34405733.39813857,250017170.14770493,258120.56914316662,2250000000.0,0.0,124.3456154325512
3100,36577460.040025845,250017637.67247546,264399.580473618,2250000000.0,0.0,114.68594676956072
3200,37344580.50915258,250017889.06113866,258899.78934794295,2250000000.0,0.0,121.76039515953683
3300,38226486.188585795,250018491.57766494,262136.4718042975,2250000000.0,0.0,140.6599274991795
3400,41730397.59277635,250018509.80303162,273707.53774159995,2250000000.0,0.0,147.50236908116509
3500,45017403.15179586,250019095.85720903,271031.51481881714,2250000000.0,0.0,143.5424020841795
3600,47303343.19988154,250018936.28730696,278458.6545604006,2250000000.0,0.0,153.1734272665585
3700,46595643.52141631,250019552.2888808,275080.6552298089,2250000000.0,0.0,150.2593775338091
3800,49243981.357712284,250019841.47916177,282599.39003902493,2250000000.0,0.0,131.96611025992087
3900,51161401.795514055,250020030.3475069,287505.85021927,2250000000.0,0.0,162.7340297681281
4000,53860284.86940789,250020440.00781414,292596.16546316235,2250000000.0,0.0,154.2376928994106
4100,56187899.14283686,250020531.31751847,285759.85556104564,2250000000.0,0.0,165.75271122482258
4200,59630330.94621554,250021447.04144588,298197.623949527,2250000000.0,0.0,169.7971314765201
4300,60615627.3875197,250021588.30639476,293829.8560095569,2250000000.0,0.0,171.56145885080448
4400,64146801.53365514,250021997.0455721,303280.38918563514,2250000000.0,0.0,168.84386466510452
4500,66346494.910468,250022390.05721578,299003.34893690806,2250000000.0,0.0,177.66809107298417
4600,69408777.69286673,250022874.15131333,303726.40493615594,2250000000.0,0.0,172.82641116763773
4700,70377582.88653332,250023454.12251008,309414.16079594655,2250000000.0,0.0,188.09036433040706
4800,75021433.97842687,250023474.70681646,311208.4180358423,2250000000.0,0.0,189.25726161684918
4900,77704596.82003275,250024070.26307848,315487.4035593899,2250000000.0,0.0,201.88675414956293
5000,81221770.68328677,250024688.52143684,313942.8714474545,2250000000.0,0.0,209.05916608059042
