miliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,1.9990698021483962e-09,1.4835884112921827e-12,2.007308791242191e-08,4.227305115654277e-11,1.2463373237461765e-12,1.8645013854211347e-12,1.849354068117469e-13,1.915926904334294e-12,3.9775572245883696e-13,-7.548141875094506e-14,-1.822984504436647e-14,-8.536873659682842e-15,0.0,0.0,0.0,0.0,0.0,2.309117952322359e-13,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6746407171542704e-09,3.3699770180869856e-10,1.9608211354884276e-08,2.896827970395966e-11,-3.567401067084799e-12,3.508218051386001e-12,-3.750491232956712e-13,-2.246979802650189e-12,-5.615997092552917e-13,5.775302605554578e-14,1.0899071480767824e-13,-3.1705784727573595e-14,0.0,0.0,0.0,0.0,0.0,-5.431762707859773e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.456853114697622e-09,5.465948075198149e-10,1.9349881684936702e-08,4.096959359720482e-11,3.737372780023731e-12,-1.2656548071154465e-12,3.805059673646935e-13,2.7802419077394913e-12,-5.945337333703497e-13,7.279451957127792e-14,-8.170510242469203e-14,4.2713326069045476e-14,0.0,0.0,0.0,0.0,0.0,1.6080008019762578e-13,0.0,0.0,0.0,0.0,0.0,0.0
300,1.2928810154817668e-09,6.913823016197603e-10,1.917465784694859e-08,1.1617750990370817e-10,3.1188947641028356e-11,3.4975565390648043e-13,6.98952483852996e-13,-3.0232010210155454e-12,7.279122010906008e-13,-8.017624377243368e-14,-1.0806941532303308e-14,-3.885067658191072e-14,0.0,0.0,0.0,0.0,0.0,1.8620500151719355e-13,0.0,0.0,0.0,0.0,0.0,0.0
400,1.1937656570320286e-09,8.027100728044811e-10,1.8901077041989732e-08,2.1912050457309818e-10,3.047861717881293e-11,3.6537982589564906e-12,1.0021279020897027e-12,-9.052258381372264e-13,-2.3178308171051545e-13,-5.596213828061923e-15,-8.541331563623823e-14,6.332991301716037e-14,0.0,0.0,0.0,0.0,0.0,1.3483683698584682e-14,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1424941526602144e-09,8.543269077215391e-10,1.881380451666309e-08,2.3983783100979513e-10,5.954876960532441e-11,4.703210485090921e-12,8.860065273070873e-13,1.87564519416841e-12,7.140730150057791e-13,-2.6575241428920818e-14,1.156246904921608e-13,4.0004736574166206e-14,0.0,0.0,0.0,0.0,0.0,-4.192673666036532e-13,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0876298767709148e-09,8.92967540386726e-10,1.8649111496776108e-08,3.139338924809166e-10,7.688850051503755e-11,1.109564533042715e-11,1.926132956573441e-12,7.378567571387742e-13,-2.443593663247738e-13,1.128786553617414e-14,-9.463580575366685e-14,5.272236667509968e-14,0.0,0.0,0.0,0.0,0.0,1.4726890578714248e-13,0.0,0.0,0.0,0.0,0.0,0.0
700,1.057516102122182e-09,9.195475221676897e-10,1.8589400835419977e-08,4.2948475232767783e-10,8.919127788732623e-11,1.2054607319500158e-11,1.6725752618046313e-12,-1.8050037119406967e-12,8.762781701653575e-14,7.217957085876468e-15,1.0714567145132463e-13,3.494046252667529e-14,0.0,0.0,0.0,0.0,0.0,1.220894998380687e-12,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0425141501293804e-09,9.403485427160174e-10,1.843962808577697e-08,5.014544892409132e-10,1.0767594988119935e-10,1.394675718455239e-11,3.0512978876582816e-12,2.8878850981230445e-12,4.772754194417002e-13,3.5050473804298783e-14,8.405917513780618e-14,1.7224195608673576e-14,0.0,0.0,0.0,0.0,0.0,1.2697106280168141e-12,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0300655456453645e-09,9.43924482371475e-10,1.83075151047405e-08,6.452340114783489e-10,1.1006957164662641e-10,2.081442964976488e-11,3.5920757997185447e-12,4.9376240772146675e-12,6.514889820941909e-13,1.2892517911286323e-13,-4.301986430826044e-14,-8.561138931510276e-15,0.0,0.0,0.0,0.0,0.0,1.479182270891387e-12,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.0203048971979767e-09,9.588080633486715e-10,1.8212330875001307e-08,6.963628812485345e-10,1.3551909247822582e-10,2.449196064724617e-11,3.6192001542363965e-12,4.627594887045604e-12,1.0160881003019679e-12,5.735951474705525e-14,-3.658476598115307e-15,1.7024901680132908e-14,0.0,0.0,0.0,0.0,0.0,1.5940757606738497e-12,0.0,0.0,0.0,0.0,0.0,0.0
1100,9.999007025241338e-10,9.621999245350232e-10,1.801361981930049e-08,8.278769050289452e-10,1.5082233898547674e-10,3.229559357429929e-11,4.725323212198844e-12,6.839800110258292e-12,1.1723732325419562e-12,2.3300113473580033e-14,9.352299195904086e-14,4.210774031481242e-14,0.0,0.0,0.0,0.0,0.0,1.4852461458129682e-12,0.0,0.0,0.0,0.0,0.0,0.0
1200,9.964375959531638e-10,9.608118596216266e-10,1.7910657482268142e-08,9.442043883336006e-10,1.7147867696136207e-10,4.10633473722355e-11,5.094584632098299e-12,7.086589289929539e-12,2.704596659439897e-12,1.5182826672680622e-13,-1.9831078349485113e-14,4.242528679933211e-14,0.0,0.0,0.0,0.0,0.0,2.0640257527116265e-12,0.0,0.0,0.0,0.0,0.0,0.0
1300,1.003175994349307e-09,9.537352207092514e-10,1.7892673334393465e-08,9.453847006201172e-10,1.9008304013075593e-10,4.4687991389356066e-11,6.292168785709605e-12,9.296622931527592e-12,2.4687824992377803e-12,1.6302331669666637e-13,-1.4443264486423908e-14,1.560906719678567e-13,0.0,0.0,0.0,0.0,0.0,2.9424400777209926e-12,0.0,0.0,0.0,0.0,0.0,0.0
1400,9.94130586152766e-10,9.555862487007109e-10,1.7723274019773118e-08,1.020579301807536e-09,2.1144096579701517e-10,4.5316697053753406e-11,6.894711500751898e-12,1.0717377688786503e-11,3.668986567986116e-12,7.953512464887158e-14,5.897667906356216e-14,1.2564693426444683e-13,0.0,0.0,0.0,0.0,0.0,3.744658604278812e-12,0.0,0.0,0.0,0.0,0.0,0.0
1500,9.866878761418703e-10,9.385592286532904e-10,1.7610417750565772e-08,1.1494687460164896e-09,2.241485515035823e-10,5.674112062276449e-11,7.5460527024296e-12,8.433326325957499e-12,4.621692110376109e-12,1.5038370518842787e-13,1.8584792405879465e-13,1.8360420676892182e-13,0.0,0.0,0.0,0.0,0.0,4.491749469154757e-12,0.0,0.0,0.0,0.0,0.0,0.0
1600,9.877107366097054e-10,9.378756535435213e-10,1.7543079091154446e-08,1.203842856783087e-09,2.350354732774854e-10,6.489427613770971e-11,9.145827364481728e-12,8.824841731252035e-12,5.08036676161814e-12,1.6692053584308036e-13,1.0216819597819623e-13,1.409540141997927e-13,0.0,0.0,0.0,0.0,0.0,5.358897505403223e-12,0.0,0.0,0.0,0.0,0.0,0.0
1700,9.95112977835306e-10,9.330136905615303e-10,1.744676926856458e-08,1.3235006740935497e-09,2.5858532279248453e-10,6.831155479848935e-11,9.58037749431392e-12,1.1144218374366668e-11,5.251501025994172e-12,2.7272245518261165e-13,1.4530244215654327e-13,1.812612106697171e-13,0.0,0.0,0.0,0.0,0.0,4.9557760198046064e-12,0.0,0.0,0.0,0.0,0.0,0.0
1800,9.860172188781176e-10,9.299680199785073e-10,1.7243854988705152e-08,1.3862702723528945e-09,2.7203056399324176e-10,7.715405158461674e-11,9.95474520742655e-12,1.5429396815097513e-11,6.524554314852401e-12,2.8234335824270875e-13,1.304583099581413e-13,2.068809036603854e-13,0.0,0.0,0.0,0.0,0.0,5.832243704314673e-12,0.0,0.0,0.0,0.0,0.0,0.0
1900,9.75969933726089e-10,9.210136458374874e-10,1.7175580011294175e-08,1.5373662912082253e-09,2.817717679289229e-10,7.804553613119158e-11,1.1147161226315161e-11,2.02289714804904e-11,6.399802186492161e-12,3.385290453299356e-13,2.6164316408642346e-13,2.46638387408122e-13,0.0,0.0,0.0,0.0,0.0,6.778779960202788e-12,0.0,0.0,0.0,0.0,0.0,0.0
2000,9.866845401154702e-10,9.110445163973978e-10,1.70729845289679e-08,1.6009669144886342e-09,2.8739670585843487e-10,8.976897035746638e-11,1.2203050107617733e-11,2.0280163341390597e-11,7.198683496639804e-12,2.0298446895198355e-13,2.5859512286395227e-13,4.0036957907528987e-13,0.0,0.0,0.0,0.0,0.0,7.524827853619854e-12,0.0,0.0,0.0,0.0,0.0,0.0
2100,9.84858874539909e-10,9.149784030753421e-10,1.702084230206411e-08,1.6242112626196164e-09,3.003444418550117e-10,9.565548966549373e-11,1.32697126090918e-11,2.397889850978863e-11,8.16487133664757e-12,4.1145761274067046e-13,2.813358902822529e-13,3.7657849621652504e-13,0.0,0.0,0.0,0.0,0.0,8.423532321688198e-12,0.0,0.0,0.0,0.0,0.0,0.0
2200,9.705556413229683e-10,9.063387556149395e-10,1.693442174956791e-08,1.7430397396187892e-09,3.14876869754826e-10,1.0047037967619346e-10,1.3793027365167539e-11,2.7734653808496798e-11,8.861838733398429e-12,3.743293880430025e-13,5.135649978655656e-13,4.90618985237178e-13,0.0,0.0,0.0,0.0,0.0,9.611716076391726e-12,0.0,0.0,0.0,0.0,0.0,0.0
2300,9.770167134322026e-10,9.000734935637464e-10,1.677450626383413e-08,1.831178119042155e-09,3.3932080912897635e-10,1.1393428575385679e-10,1.4572512352177332e-11,2.991056170744676e-11,1.0618058947352778e-11,5.007098431461648e-13,5.187316612739638e-13,5.693894307771917e-13,0.0,0.0,0.0,0.0,0.0,1.0838605354286637e-11,0.0,0.0,0.0,0.0,0.0,0.0
2400,9.709962063331087e-10,8.959594875157343e-10,1.6718658745219252e-08,1.9550162974800937e-09,3.585556152843802e-10,1.1926214383105237e-10,1.588124870831353e-11,3.5730047462434924e-11,1.1684862824810439e-11,5.879860903031911e-13,5.247003726325614e-13,6.199145091705116e-13,0.0,0.0,0.0,0.0,0.0,1.1061817451277066e-11,0.0,0.0,0.0,0.0,0.0,0.0
2500,9.7734548047378e-10,8.7912306708174e-10,1.6524627648922348e-08,2.0249308603267062e-09,3.5655915475333796e-10,1.2704622885700545e-10,1.5918430740538827e-11,3.5991776644450426e-11,1.2125206038901733e-11,6.335479432917057e-13,8.358353753020581e-13,7.104813625219469e-13,0.0,0.0,0.0,0.0,0.0,1.2333223680294298e-11,0.0,0.0,0.0,0.0,0.0,0.0
2600,9.698501874474893e-10,8.842430570150718e-10,1.6498571933932284e-08,2.060465907372483e-09,3.87683637770648e-10,1.366773240629273e-10,1.7451501826197032e-11,4.337361620867131e-11,1.397505902441081e-11,8.263812933396514e-13,8.295803571875687e-13,6.720978250022743e-13,0.0,0.0,0.0,0.0,0.0,1.3109374577479218e-11,0.0,0.0,0.0,0.0,0.0,0.0
2700,9.703106098515984e-10,8.689229271787563e-10,1.6404714925117892e-08,2.1151484820593025e-09,3.965070356890496e-10,1.4096279000753346e-10,1.753730072208997e-11,4.529977260596157e-11,1.3902968591097951e-11,8.791850948537878e-13,8.680063086380478e-13,8.618545734542075e-13,0.0,0.0,0.0,0.0,0.0,1.5121972544733485e-11,0.0,0.0,0.0,0.0,0.0,0.0
2800,9.704414227021306e-10,8.717771011519706e-10,1.6227064133689444e-08,2.2107032466012257e-09,4.1352088761384607e-10,1.5602249660444844e-10,1.8668800826541713e-11,5.22512359370786e-11,1.6347399205255494e-11,1.0630069205413834e-12,1.0967068377736864e-12,9.612367739317017e-13,0.0,0.0,0.0,0.0,0.0,1.6230077200524592e-11,0.0,0.0,0.0,0.0,0.0,0.0
2900,9.624423384454926e-10,8.593130389498013e-10,1.616520989680778e-08,2.3298871866743156e-09,4.2835546061719683e-10,1.615743665502341e-10,1.9466235890092913e-11,5.38561439594413e-11,1.7362908327936452e-11,1.1655995455907438e-12,1.2104210099894376e-12,9.690791325356885e-13,0.0,0.0,0.0,0.0,0.0,1.7282744006070577e-11,0.0,0.0,0.0,0.0,0.0,0.0
3000,9.687516490398667e-10,8.569614810558881e-10,1.6021423178515265e-08,2.366327747230239e-09,4.336826923173786e-10,1.6906898983003805e-10,1.9972266391481238e-11,5.835160150727825e-11,1.8752785121905425e-11,1.2890209166704048e-12,1.2978787027021821e-12,1.0820875088201978e-12,0.0,0.0,0.0,0.0,0.0,1.7823629527884667e-11,0.0,0.0,0.0,0.0,0.0,0.0
3100,9.65208604893293e-10,8.488580179379961e-10,1.6030307817636845e-08,2.449247471942022e-09,4.515994494973918e-10,1.8002921291597556e-10,2.0557182626045943e-11,6.724526832348063e-11,1.887829573229434e-11,1.4921812147093668e-12,1.6842184851829447e-12,1.233323882326877e-12,0.0,0.0,0.0,0.0,0.0,1.8725112617074577e-11,0.0,0.0,0.0,0.0,0.0,0.0
3200,9.501169205227735e-10,8.425502908282245e-10,1.582680543494841e-08,2.5573286377278197e-09,4.4959676434396067e-10,1.8390269739940525e-10,2.1531306450932238e-11,7.049735735837961e-11,2.0520469372461516e-11,1.688064399768919e-12,1.7509969967255191e-12,1.2477086333030235e-12,0.0,0.0,0.0,0.0,0.0,1.9802253177190702e-11,0.0,0.0,0.0,0.0,0.0,0.0
