miliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,1.9932328266891427e-09,6.75929338206761e-12,1.9991771373061607e-08,-5.147701286739363e-11,8.537183485744181e-13,4.365773384443972e-12,-1.036454481368737e-13,-4.2928570436030915e-13,-3.796193565436917e-13,-3.5937911953007695e-14,-1.0665957276808176e-13,-5.959148158650342e-14,0.0,0.0,0.0,0.0,0.0,3.245239729051283e-13,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6759052351212715e-09,3.2823293029631293e-10,1.969849800217638e-08,6.713946631521347e-11,-1.243007118691036e-12,-1.0835205105994495e-12,4.065658835140954e-13,-2.015329591264499e-12,7.827004703468008e-13,1.0033658287491673e-13,5.584272084868471e-14,-1.727273957361558e-14,0.0,0.0,0.0,0.0,0.0,-5.453069123539808e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.440241895610691e-09,5.449017422121081e-10,1.937446093064447e-08,2.0389000116136835e-11,4.903686086016912e-12,1.9840277716685667e-12,1.65494526073276e-13,1.567635266175289e-12,-4.55917358958191e-13,9.369185746843307e-15,6.244603966242612e-14,5.827137895474445e-14,0.0,0.0,0.0,0.0,0.0,5.796869075312765e-13,0.0,0.0,0.0,0.0,0.0,0.0
300,1.2986729607789349e-09,6.928630958851597e-10,1.9126986717070924e-08,8.056356195516437e-11,3.259544987112612e-11,3.6141102819317166e-12,-1.0937836026630059e-13,3.050432823790224e-13,-5.153406940476794e-14,1.0469082062129054e-13,7.160152859271821e-14,-4.862658895485974e-14,0.0,0.0,0.0,0.0,0.0,-5.023491095862369e-13,0.0,0.0,0.0,0.0,0.0,0.0
400,1.205469939093298e-09,7.946862506130029e-10,1.8892769187766507e-08,1.813416233639677e-10,4.5850541426857215e-11,6.938827055336621e-12,2.420494924476517e-13,3.4304882284525016e-13,-4.094486082895604e-13,-6.660947067905017e-14,-4.333390956057411e-14,-1.8661626562981645e-14,0.0,0.0,0.0,0.0,0.0,-2.581681180389549e-13,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1398973102007803e-09,8.589817956939617e-10,1.8740536987848115e-08,2.3384781218159833e-10,4.377650582956284e-11,4.542561856268393e-12,1.097661688879012e-12,-2.4572493454250186e-13,-2.1362081825192945e-13,3.9446614802116655e-14,-8.10713662977122e-14,-2.239702787397308e-14,0.0,0.0,0.0,0.0,0.0,-1.604570171732581e-13,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0857545821590595e-09,8.983535994755958e-10,1.8697089426285177e-08,4.091622840198551e-10,7.522780668751304e-11,1.341378422046329e-11,1.0642916999323789e-12,-1.8370663097367057e-12,6.859501647634039e-13,3.858818677506192e-14,1.1417245478443804e-13,-5.1274504540265315e-14,0.0,0.0,0.0,0.0,0.0,1.1552202006737533e-12,0.0,0.0,0.0,0.0,0.0,0.0
700,1.053646828603282e-09,9.254932384766329e-10,1.845257010782252e-08,4.1274663692460346e-10,8.009441693268053e-11,1.4879067475182613e-11,2.058786433886462e-12,-3.960656780718112e-13,1.2407664917453556e-12,3.4022771738921433e-15,2.630683550273064e-14,4.3198475962665843e-14,0.0,0.0,0.0,0.0,0.0,1.3079742519837925e-12,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0343816824729244e-09,9.410276146893689e-10,1.8394723520627724e-08,5.469574358965827e-10,1.0305018867884238e-10,1.4316650351608001e-11,2.5640754231246857e-12,2.5469121388194053e-12,1.3191776457031557e-13,-1.9141007869488153e-14,-5.655975475983701e-14,3.790756986344709e-14,0.0,0.0,0.0,0.0,0.0,6.130269683520174e-13,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0253203933379933e-09,9.512220979530136e-10,1.8258152588955272e-08,6.28092508321236e-10,1.1377837608837776e-10,1.9118494660648205e-11,3.3994037709676577e-12,4.215151565425788e-12,8.310741385860645e-13,1.0705160116441925e-13,-7.147979062069549e-14,5.822244599929046e-14,0.0,0.0,0.0,0.0,0.0,1.544369181167727e-12,0.0,0.0,0.0,0.0,0.0,0.0
