miliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,2.0001134624292017e-09,-2.4954006505412573e-12,2.004696335538852e-08,3.5335489081869805e-11,-9.78887602594268e-13,3.741797460162193e-12,4.1849476090417043e-13,-1.68058430525746e-12,7.927991859455502e-13,-1.075003336921992e-13,-3.122862048916905e-14,4.8123995487976584e-14,0.0,0.0,0.0,0.0,0.0,-4.4890100484878074e-13,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6687636734052604e-09,3.292279544133693e-10,1.9625224188515518e-08,5.893587831048862e-11,9.797412957043122e-12,2.4837817503120195e-12,4.625162339593266e-13,7.758870121215856e-13,3.5951334632991874e-13,-4.081629726048866e-14,-8.463082162903858e-14,4.9808473992477796e-14,0.0,0.0,0.0,0.0,0.0,-4.602503145456718e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4390297825329197e-09,5.573624379479257e-10,1.9374851245379878e-08,5.2536333174316556e-11,9.670156210481728e-12,-1.464099669353923e-12,5.883140886814263e-13,2.0253270163202994e-12,-4.3375449658665967e-13,-8.513346595675684e-14,-1.1965274410982336e-13,5.229666759497765e-15,0.0,0.0,0.0,0.0,0.0,4.906761454984009e-13,0.0,0.0,0.0,0.0,0.0,0.0
300,1.2954223812452347e-09,6.959532291474889e-10,1.9164437046734142e-08,1.1602962275308225e-10,2.0015712168608262e-11,-2.59194734251607e-12,2.4808133787633124e-13,-2.247952459450035e-12,4.936384628197189e-13,6.374514093748404e-14,6.466201458947461e-14,-3.8087400785170235e-14,0.0,0.0,0.0,0.0,0.0,6.993211640198815e-14,0.0,0.0,0.0,0.0,0.0,0.0
400,1.1997590736316765e-09,7.880063182288263e-10,1.8974922552370862e-08,2.0107057444879128e-10,3.660299672232197e-11,5.185841139526232e-12,9.37803023380237e-13,3.109803918150462e-12,7.471616528893172e-13,-4.7755648382876554e-14,-1.0715996202967778e-13,1.207219445608949e-14,0.0,0.0,0.0,0.0,0.0,2.885688261198654e-13,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1368807961566382e-09,8.661400182146223e-10,1.8841345941596057e-08,2.2379528721799995e-10,5.881324244892892e-11,1.002472172893038e-11,8.640687207436048e-13,-6.622443602254948e-13,9.418582707472472e-13,1.0355550086234589e-13,1.0690423167556461e-13,-2.5164786036611173e-14,0.0,0.0,0.0,0.0,0.0,-3.2138980143599533e-13,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0916062502501096e-09,8.97507800490018e-10,1.871707222439602e-08,3.4218942736360305e-10,7.303297541727463e-11,1.0724074615294517e-11,1.4633997094013796e-12,-1.824605891403029e-12,9.185012581997023e-14,2.1770691370327837e-14,-1.2288287138290773e-14,6.077106482789855e-14,0.0,0.0,0.0,0.0,0.0,1.1838800299981948e-12,0.0,0.0,0.0,0.0,0.0,0.0
700,1.070067501353084e-09,9.255851348775329e-10,1.8588126468319227e-08,4.5706697318263133e-10,9.501705705296807e-11,1.0614128347006948e-11,1.7269611654772545e-12,3.881675485702118e-12,-6.921727042777635e-14,-8.276772797131244e-14,-1.1580281802473889e-13,3.107019391976233e-14,0.0,0.0,0.0,0.0,0.0,1.0085256255287193e-12,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0455299779022897e-09,9.39584369042548e-10,1.8358416085216582e-08,5.27947659716896e-10,1.1121927982661245e-10,1.5608690100567018e-11,2.92075469714657e-12,1.4413385370388686e-12,9.233205341224298e-13,-1.0467103721454049e-13,-3.867005184652708e-14,-1.2289169342379992e-14,0.0,0.0,0.0,0.0,0.0,1.57858852827182e-12,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0177399671946396e-09,9.56273689631866e-10,1.8290275075693662e-08,6.433594455382249e-10,1.2327399897469886e-10,2.224379092030293e-11,3.759692275401234e-12,-4.1155545586955823e-13,1.3283921944597761e-12,1.0624032717269943e-13,4.2104764896981606e-14,2.9432933447007795e-15,0.0,0.0,0.0,0.0,0.0,1.8242294095177173e-12,0.0,0.0,0.0,0.0,0.0,0.0
