milliseconds,S,C,V_C
0,830000000.0,0.0,33200000.0
100,828586016.1344033,13679.733264085351,32900153.008994844
200,827217738.3403232,27165.52112873741,32603172.603614513
300,825893558.3610917,40461.13548429515,32309029.890981812
400,824611917.69782,53570.24755294313,32017696.279918034
500,823371318.8784348,66496.40689395407,31729143.484548684
600,822170336.7069077,79243.01845122752,31443343.61993392
700,821007594.9851446,91813.38920669703,31160269.0844136
800,819881770.8205413,104210.7189688094,30879892.6059782
900,818791579.2708405,116438.13146965133,30602187.13748865
1000,817735810.7097738,128498.59967225838,30327126.117306944
1100,816713283.7296402,140395.0399392847,30054683.15195908
1200,815722876.6671876,152130.24950717777,29784832.263510175
1300,814763503.7297927,163706.9533352365,29517547.7202848
1400,813834104.5891547,175127.82511072603,29252804.033115637
1500,812933697.11587,186395.38249461175,28990576.139045868
1600,812061332.5642334,197512.07615751034,28730839.239972524
1700,811216016.155084,208480.44801040477,28473568.520113587
1800,810396902.78082,219302.7414018749,28218739.84315217
1900,809603157.8048835,229981.1783759194,27966329.25637374
2000,808833888.4504818,240518.09648000033,27716312.77201668
2100,808088316.0878284,250915.60535524436,27468666.937724203
2200,807365694.5915098,261175.74946979454,27223368.566221382
2300,806665259.8703095,271300.60895275575,26980394.584031254
2400,805986271.9928131,281292.2154546896,26739722.159289006
2500,805328062.9083595,291152.4567749727,26501328.842671815
2600,804689963.7530087,300883.22251999704,26265192.35033353
2700,804071299.7807254,310486.4149491272,26031290.544391777
2800,803471466.6935519,319963.79406931944,25799601.673303034
2900,802889869.7649355,329317.101174512,25570104.179906957
3000,802325900.2213033,338548.1064770359,25342776.610534392
3100,801779012.9450394,347658.4520127516,25117597.892529503
3200,801248672.7800317,356649.7601970294,24894547.14247591
3300,800734342.601901,365523.65698680276,24673603.616841927
3400,800235516.9535345,374281.7051750625,24454746.841255598
3500,799751718.3882666,382925.4116430061,24237956.59645005
3600,799282467.3470436,391456.2868838585,24023212.79898847
3700,798827288.4601122,399875.83252107236,23810495.525737934
3800,798385755.2341468,408185.4532403915,23599785.194640975
3900,797957448.1367435,416386.539395566,23391062.39515599
4000,797541966.5699806,424480.44341124874,23184307.936693516
4100,797138905.2709012,432468.52529539494,22979502.74518596
4200,796747838.3367869,440352.18344278185,22776627.793040864
4300,796368428.1394596,448132.64451677515,22575664.57589448
4400,796000322.9799658,455811.1608691938,22376594.66440958
4500,795643186.4924433,463388.95380459237,22179399.83290935
4600,795296683.2379986,470867.241831028,21984061.99576347
4700,794960438.2690793,478247.3199788683,21790563.029023807
4800,794634170.4015185,485530.29831747484,21598885.357846152
4900,794317577.2297561,492717.3275341553,21409011.449477736
5000,794010366.5039464,499809.5373614826,21220923.951477632
