milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,5.0,5.0,95.0,10.0,10.0,0.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0
100,5.0052367293007585,5.003120636948491,94.99504165568008,9.999950015909732,10.0,2.0069502611538565e-13,199.99999999999983,1.4623122860952955e-16,0.9999976300122492,3.999987215446233e-05,8.027967855652355e-11,2.685112561732345e-16,8.954028482796366e-14,7.0,100.0,8.635828051891183e-25,2.5437620988944295e-23,0.0,9.999969895059981e-10,1.6404356856299955e-29,10.0
200,5.010467998386655,5.006236450642871,94.99008854273258,9.999900063460535,10.0,8.010182048245159e-13,199.99999999999923,1.1130198562229562e-15,0.9999952600488666,7.999948973005446e-05,3.204199783843668e-10,2.0073440352239044e-15,6.69655815025509e-13,7.0,100.0,2.2939515133761143e-23,3.6381292249767474e-22,0.0,1.999987984205041e-09,8.084139131776187e-28,10.0
300,5.015693808131276,5.009347441403033,94.9851406604792,9.999850142604236,10.0,1.8011576794941228e-12,199.9999999999982,3.763418462832396e-15,0.9999928901098265,0.00011999885259037745,7.205060013239339e-10,6.649911305527189e-15,2.21949286531079e-12,7.0,100.0,1.8980561426579827e-22,1.9021956505430368e-21,0.0,2.9999729808704822e-09,1.0865028458238725e-26,10.0
400,5.020914158938268,5.012453609502964,94.98019800856225,9.999800253330617,10.0,3.2011300909666475e-12,199.99999999999682,8.25532945820429e-15,0.999990520195123,0.00015999796072180261,1.280546204826836e-09,1.445515754502736e-14,4.82563703303227e-12,7.0,100.0,5.276609321950819e-22,4.819577500567525e-21,0.0,3.999951979178701e-09,3.2035152652465525e-26,10.0
500,5.026129054678565,5.015554957834252,94.97526058345848,9.999750395566688,10.0,5.000951755291052e-12,199.99999999999503,1.5605545739767794e-14,0.9999881503047133,0.00019999681409443485,2.000558712903102e-09,2.6994089402501127e-14,9.014537457980429e-12,7.0,100.0,1.3753183794030798e-21,1.079595071435286e-20,0.0,4.999924978408435e-09,9.602685670013762e-26,10.0
600,5.031338495673507,5.018651486624874,94.97032838487962,9.999700569305237,10.0,7.200630796913523e-12,199.9999999999928,2.5921593323255735e-14,0.9999857804385931,0.00023999541270103658,2.880548001786738e-09,4.4434619496964064e-14,1.4842440699804835e-11,7.0,100.0,2.7656470609749343e-21,1.999935889549487e-20,0.0,5.999891978387424e-09,2.0585797910947374e-25,10.0
700,5.036542487058324,5.021743199788666,94.96540140812425,9.999650774456649,10.0,9.800150538822823e-12,199.99999999999022,4.041291227054166e-14,0.9999834105967091,0.00027999375652902907,3.920521194916298e-09,6.850903030134812e-14,2.2891324561513264e-11,7.0,100.0,5.430031438978725e-21,3.5214840402845305e-20,0.0,6.9998529787989425e-09,4.474678286251241e-25,10.0
800,5.04174102866363,5.024830097197465,94.9604796533471,9.999601011023968,10.0,1.2799511026644285e-11,199.9999999999872,5.903785722324147e-14,0.9999810407790636,0.0003199918455791821,5.120477835552818e-09,9.915690811870041e-14,3.3140901551064084e-11,7.0,100.0,9.345056629749963e-21,5.635087420743412e-20,0.0,7.999807979661825e-09,8.181515639962593e-25,10.0
900,5.046934129881613,5.02791218608899,94.95556311192149,9.99955127885035,10.0,1.6198650944025308e-11,199.9999999999838,8.388117403457687e-14,0.9999786709855626,0.00035998967985055455,6.480417172535623e-09,1.3898904230733014e-13,4.6472080969240205e-11,7.0,100.0,1.728037097880853e-20,9.06516731325674e-20,0.0,8.999756980918816e-09,1.7924839653482222e-24,10.0
