milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII,mw4e2cf0b0_bd70_45a4_9e60_eba82fa5c3e4,mw469042d3_a94f_4ebe_af1c_1ead580aad2a,mw6c404de5_5b24_48d6_a0c4_5491e07b1f72,mw8c2b9a07_22c3_4912_adb1_167a38ea4cb3,mw819d0d09_05ba_4674_85ba_5c9439fb77f4,mw2be3652b_79af_4228_9d1c_9d65c7d0c70f,mw6a63ae22_6bb4_4dcf_992f_9287439dd556,mwcefd1303_4967_4502_af6d_e75c88c4d548,mwe043d306_ffdd_447b_9826_4df8abbece4d,mw6591152c_8b5a_4c9b_b095_956988a01ba0,mwe51f72d2_84fb_4b43_b900_521410fdf99c,mw72ca05d8_25b0_4765_ba03_a6a0eb846aa0,mwe70b2c96_44b9_48eb_967a_7eb850a916a6,mw64e9cef3_5dd3_43f3_ad04_58e8fc07a91b,mw6d041b25_87db_4394_9b8b_7ac61e01f359,mwd68cbf38_9266_4dfb_aa00_f817c3421aec,mwa6be116e_72f1_439e_bca6_eb61f79cc68e,mw6a8501d2_9479_41ae_8616_1e8d0e1bbfa9,mw3cec90c2_500e_4f30_b6be_325ef5194755,mwedf22864_05a0_40c3_a0d5_ede45a3e7e8f,mwd3e1ba39_ab10_4702_addd_fb6a7e184a4b,mwfa9d903a_b5e5_4a38_a649_dfe4719577aa,mw2e632a32_3823_4933_95cb_19567cbcc66a,mw8bdbd17d_f542_4b8c_88c6_a82eaf997a43,mw18e5caa7_26eb_4521_b217_da75bb3193ad,mwf5c3f9df_7ccf_4ca7_b241_471a66720da8,mwa4fcfa0c_6944_42fc_8c74_7865f13953c8,mwe0bb059d_deaa_45fa_b7dc_ec1c4409c4ca,mw7a1594c9_f04f_478c_9f5f_ccbe0b95a820,mwbdb849d8_2b25_4551_8de8_adc8bead2303,mw931f65a6_3967_4ac2_9904_ba791b216fc2,mw85e2714d_e6e5_47d5_9ffc_d90573faebe1
0,0.0010184516136843872,2.6432467569072127e-07,5.833284679910386,6.808056360997255e-08,0.05833310651840411,3.146692711360545e-07,3.2645618712338235e-08,1.9261131532321193e-08,93.33253583483064,-4.328110296033958e-08,52.499562486991756,1.482388778070949e-09,1.5393455990905004e-08,816.659861183786,0.4083299118185813,-2.966575007743489e-08,1.7175584104556959e-15,1.5735854879528843e-16,-1.496479494433326e-10,-9.000260435022696e-11,11.666569445290415,2.4301728662808837e-10,9.737950036927682e-16,-2.93901444648569e-16,6.314196239452987e-15,1.458321168060285,-5.3371807232262e-10,-6.279375090896792e-09,1983.3168056950988,-1.9517463609702824e-09,-1.0289731383419115e-17,4.456667758723319e-12,3.36709597142959e-10,-2.8200603464793586e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,-2.5856723360541825e-09,1.0500902014248968e-05,0.2916642363749635,4.73717396887058e-10,34.99970833585412,-2.602444063672987e-10,-4.1948423348980775e-11,5249.956248679758,-1.8181094499440518e-06,2.1422536895419593e-21,1.7218238234257206e-18,1.9767968737050725e-21,-1.996874124532352e-20,1.2629806430766313e-25,-3.5645850475779307e-26,5.2919765707936335e-09,-3.776331545251038e-09,-2.2397717112307156e-12,7.485409585045169e-09
100,0.001013833560649437,1.0959748580326182e-06,5.833283378601383,4.3626541212353585e-07,0.05471944970629174,-1.0394082215656798e-06,1.845946886195932e-09,5.3199009157600034e-08,93.32893986541941,3.896145606871992e-08,52.499562477790555,4.1585379129932994e-09,1.8870951868919966e-08,816.6598611967624,0.4083299653707435,3.489316118556415e-08,3.4476538304414703e-15,2.1828385504909334e-16,-2.9338807187832187e-10,4.408090789920128e-11,11.666569445014009,-4.746394336977119e-11,3.6755255801342885e-16,3.8477455899295307e-17,-5.48578828686125e-15,1.4583211777894909,-2.726245460878497e-11,1.3461698796770516e-08,1983.3168056933443,-7.152201131212707e-10,-1.6441701962546893e-17,1.3978341874282086e-11,3.8622672072649e-10,-2.3389921535390086e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,-1.630659607872305e-09,0.003618463974958878,0.2916642355288905,-8.145918017244265e-10,34.999708336074136,-2.3639089792901284e-10,-5.2646864013118105e-12,5249.9562518657885,-2.62047584003768e-07,-3.491373385443326e-21,1.3912286930829964e-18,4.085454208933293e-22,2.1547486204290354e-20,-1.977804276420841e-25,2.0718928906234358e-26,-1.763014824722934e-08,-4.344920240495876e-08,-5.5010680239808616e-12,4.991165992155011e-08
200,0.001010503835595985,3.5193197573514305e-06,5.833280230865042,5.174797032190511e-07,0.054738992522396904,-6.761105527687592e-07,-2.3695201482218232e-08,1.0101531333421573e-07,93.32894526542638,7.742285281639628e-08,52.499562488188744,1.2164489579722218e-08,6.850693595781569e-09,816.6598612039988,0.40832993086359304,2.339763699379501e-08,2.159181441892698e-15,-2.8804698651853253e-17,7.596804508247921e-11,2.7285274942023954e-10,11.666569445153915,2.893425547835766e-10,-1.0086758990739286e-15,-1.108412449545294e-16,-1.0226383909229382e-15,1.4583211688333249,-2.2212529702784378e-10,-4.306570616886834e-08,1983.3168056906197,-2.2708173096057666e-09,-3.377861688816693e-17,7.773226169504115e-12,4.561907837124872e-10,9.805134047956672e-11,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,1.3997267349862648e-09,0.0035814268324336263,0.2916642347534676,-1.269716177387287e-09,34.99970833548059,-2.5495312301737566e-10,4.0275574365912334e-12,5249.956248712009,-1.4494467954796545e-06,9.370210148470745e-21,-2.221744351784957e-18,9.425242586707973e-22,3.5303710067808365e-21,3.5731020806830624e-26,-2.676002996988455e-26,9.74425011891527e-09,5.282390374667376e-08,-3.3930839968223923e-12,-4.912661094029812e-08
300,0.0010094340491492116,8.611257603430077e-06,5.833277604740922,1.0512231615445522e-06,0.05473562728395882,5.199777430698892e-07,-3.936329056416738e-08,1.9467508568627078e-07,93.32897629717704,1.0412048676295974e-07,52.499562474901246,1.9999214143658467e-08,2.117881282349177e-09,816.6598611298803,0.4083298902611691,6.086482941480565e-09,-2.777413525829809e-15,3.6297940483662813e-16,2.7002521519796353e-10,8.391343746596176e-12,11.666569445424432,-2.998026860312222e-11,8.086298975156605e-16,4.88236289482367e-16,-3.680583190548819e-15,1.458321178406849,-9.975065749928426e-11,3.971073521934414e-09,1983.3168056938005,3.5874440948495626e-09,-2.848167196744383e-17,1.2337642705330092e-11,-4.1176264212838933e-10,-1.7350230038224076e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,-1.2463836582020412e-09,0.003600874075054121,0.2916642364383657,-5.513508752046295e-10,34.99970833576501,-3.0408472481648864e-10,-4.0469451554626446e-11,5249.95625166158,1.3676675231268354e-06,4.747328675659822e-21,-9.335303747687296e-19,2.392012103606971e-21,2.099537746513154e-20,2.6025387264812205e-26,2.195334752826202e-26,5.2483899626539595e-09,2.8360007193852562e-08,2.643235734290705e-13,-2.340432669052798e-08
400,0.0010037568572619016,1.0754803679437615e-05,5.8332742337937855,1.144776379277492e-06,0.05470928867033782,-6.293239026361325e-07,-1.2828194187801764e-08,2.483264422778459e-07,93.32897496406076,1.8305996975346857e-07,52.49956248945007,2.4537711847463172e-08,4.934670590136325e-09,816.659861162899,0.4083298738989546,2.8264149542893114e-08,1.3218441901784806e-15,2.190645137448866e-16,-6.321503721951865e-11,2.1163620928395092e-10,11.666569445024269,2.6333283992568228e-11,3.8709951529054083e-16,8.020438420658178e-17,8.274344164374205e-15,1.458321127421256,8.792686067618717e-10,-3.269033542505807e-08,1983.3168056893523,1.8053089368864575e-09,-1.2425232911547557e-18,-3.7741763652699204e-12,-1.1671309991366592e-11,2.2126853278711773e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,6.932105708080561e-10,0.0035854080459391514,0.2916642366678851,5.995139235168779e-10,34.999708335802175,-1.9894891708830568e-10,-3.258866991397497e-12,5249.956251699702,1.0311406364852997e-06,-1.826077931595863e-21,-5.868726770397972e-19,1.2374752288907467e-21,-1.9060814225765588e-21,8.95643988811334e-26,7.163813438393427e-27,4.846125615338731e-09,2.8659252470989097e-08,2.822384415683113e-12,-5.031206997897719e-08
500,0.0010035939740560506,1.3368731446553335e-05,5.83327403492971,1.5361548747024434e-06,0.05474495316117091,7.816716255961524e-07,3.9824761202099276e-08,3.6165508003112726e-07,93.32893948006425,3.115579784639389e-07,52.499562454335035,3.3263328787156086e-08,7.088818606106389e-10,816.6598612153193,0.4083298955384538,-3.939941020624409e-09,6.643969177545047e-16,3.634114681802613e-16,-1.9779126278086296e-10,-2.7110529191039385e-10,11.666569445445228,1.3537099969456348e-10,1.0317663065052323e-15,-4.0555022241230565e-16,-8.542727854077414e-15,1.458321159792767,-2.4000779756629547e-10,6.201654627661614e-08,1983.316805691123,2.9697545715410887e-09,-2.136329929530996e-17,1.2014085617408037e-11,-3.0328247212038083e-10,2.4884411091483973e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,3.2529836864076185e-09,0.00362184184745073,0.29166423464969105,1.4367699781227915e-09,34.999708335744685,2.27481808242024e-10,5.43918061404002e-11,5249.9562521488715,1.4944286053105826e-06,-1.7590801875658636e-20,7.827790892885363e-19,1.944213738670632e-21,-1.7342925012768997e-20,-1.379942927554293e-25,3.923754311774593e-27,1.7498456108711992e-08,-2.3126300266378777e-08,5.815505298319807e-12,2.588514655168022e-08
600,0.0010010544682282445,1.329475974806233e-05,5.833271178703855,1.5783899213165773e-06,0.054709998383112,-1.408959609436548e-07,5.058566487446296e-08,4.401968385944211e-07,93.32894485105095,3.8206321930034936e-07,52.49956244076046,3.5752379380954424e-08,2.1403237600945794e-08,816.6598611906477,0.40832992518912453,1.512641111480344e-08,2.8891038224035377e-15,2.9861666534104707e-16,-1.3313403774140442e-10,-2.703150950858987e-10,11.666569445079963,1.6659467518023594e-10,-6.140091701873898e-16,-2.504524955364171e-16,-1.027097374835836e-15,1.4583211620941812,1.860522061886061e-10,-1.3707990430655151e-08,1983.3168056948498,-1.3983360524128225e-09,9.85029511228041e-18,-8.079863538531223e-12,4.521076804957116e-11,5.461161197407071e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,5.525324640670253e-09,0.0035828780544590825,0.29166423467746944,-1.3730206256539188e-09,34.999708335950416,1.9822008544623086e-10,3.8042358523993756e-11,5249.956249848546,-1.5708483903070857e-06,-2.1633278036681562e-20,4.356042222174036e-19,2.0329773356733397e-21,-3.69506479555187e-20,1.0410189884891314e-25,4.1041129017669724e-26,1.0032929099628096e-09,-3.149511815471819e-08,-6.8662664691105245e-12,-2.9737856907910094e-08
700,0.0009960866981558022,1.661465694287233e-05,5.8332688698578865,1.8895482140497175e-06,0.054743626482327605,3.587143772000438e-07,-3.7717786115276173e-08,4.971299824957702e-07,93.32896118370506,3.8025828389333495e-07,52.499562450035775,4.346481207843574e-08,3.4834564068417095e-08,816.6598611909669,0.4083299769180807,3.081112372933932e-10,-1.1621251472229295e-15,3.4326142059218666e-16,-5.804501845274386e-11,4.579896039654645e-11,11.666569445373474,2.1777143690247854e-10,-1.1433882022721357e-15,-2.9123021726998424e-16,-3.3762118230580116e-15,1.4583210997595581,4.838057783633922e-10,6.405238284107032e-08,1983.3168056881032,1.772037806655373e-09,2.6221145972192575e-17,6.172459128216469e-12,-1.9806480381316972e-10,4.351166263819504e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,5.946446819863329e-09,0.00361885501777019,0.2916642340830978,-1.6808868018555338e-09,34.99970833587669,-1.0198340267432225e-10,4.3153134475948636e-11,5249.956250089863,-6.908888622561709e-07,2.3494981832376415e-20,-2.6216266206320573e-19,-2.1228798173495634e-21,-2.863692706609402e-20,1.2512287089094555e-25,7.969743135902441e-27,2.2414589234938005e-08,-3.7590750119226566e-08,1.8430425940997642e-13,2.3380486017234567e-08
800,0.0009939091129833062,1.988280554217482e-05,5.833266310574146,2.0823037679847586e-06,0.05472319073451979,7.890359736220983e-07,-1.9796448789157225e-08,5.959955806448283e-07,93.32895889664681,4.989042158805069e-07,52.49956239241293,4.968475668109864e-08,2.564569443207372e-08,816.6598612012145,0.4083298591378439,-2.825796439492043e-08,2.829827696705822e-16,1.694776813078422e-16,-1.0870820082369776e-10,1.5597663089866137e-10,11.66656944536902,-2.3404043360097362e-11,-3.2757626269626507e-16,-4.673000223823811e-16,2.1883109698973697e-15,1.458321132174655,-1.7601614531713828e-10,6.852403539038578e-08,1983.316805691177,-2.6570857409452813e-09,3.574169757519708e-17,-4.906732527551627e-12,4.3714863014256425e-10,7.496244260226584e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,5.952225071374102e-09,0.0036110037840752177,0.2916642346708521,5.579751504695637e-10,34.99970833608023,-1.4364195985639664e-10,-2.971573988233695e-11,5249.956249657055,3.452861306582142e-07,-1.6236906905606536e-20,-9.05591420101627e-19,1.8840927551668788e-21,2.7649353242174295e-20,6.120642023777856e-27,-4.0915989316605536e-26,8.038195289420881e-09,2.3095448141936e-08,5.6214034522009045e-12,-3.5851146378003046e-08
900,0.0009909432205350082,2.2956593543787306e-05,5.833263249725774,2.399633709558456e-06,0.054735204982404716,2.958876495180226e-06,-1.2429210251707261e-08,6.627387020643556e-07,93.32896567441263,5.360719868630852e-07,52.49956239117936,5.368177665933944e-08,6.843219254748061e-08,816.6598611881019,0.408329923032723,1.4609829903420822e-08,3.549748459794659e-15,-2.752952647282056e-16,2.904759331808876e-10,1.217664881925907e-10,11.666569445502825,-1.572325813512794e-10,-7.853326308268961e-16,4.538638342256917e-16,-5.111758834242192e-15,1.458321099030676,8.290299944182945e-10,1.103215065884698e-07,1983.3168056916788,3.2622583952614266e-11,1.544390652338005e-17,3.3406009017755014e-12,-2.3916566537181995e-10,6.144926058307273e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,5.3164201639780125e-09,0.0035884241764698294,0.29166423742474756,1.2865677478468308e-10,34.999708336042985,-6.741378540234208e-11,-3.056304268739382e-11,5249.9562509243315,-5.3618017826061635e-08,-2.9678915765781474e-21,2.2211999150562148e-18,-2.287849480748594e-22,2.1506771090293796e-20,1.3366185585537418e-25,3.493927821931166e-26,2.2141595965650082e-08,-6.913120524993938e-09,-6.3254059708984135e-12,4.1070180062013996e-08
