miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII,mw4e2cf0b0_bd70_45a4_9e60_eba82fa5c3e4,mw469042d3_a94f_4ebe_af1c_1ead580aad2a,mw6c404de5_5b24_48d6_a0c4_5491e07b1f72,mw8c2b9a07_22c3_4912_adb1_167a38ea4cb3,mw819d0d09_05ba_4674_85ba_5c9439fb77f4,mw2be3652b_79af_4228_9d1c_9d65c7d0c70f,mw6a63ae22_6bb4_4dcf_992f_9287439dd556,mwcefd1303_4967_4502_af6d_e75c88c4d548,mwe043d306_ffdd_447b_9826_4df8abbece4d,mw6591152c_8b5a_4c9b_b095_956988a01ba0,mwe51f72d2_84fb_4b43_b900_521410fdf99c,mw72ca05d8_25b0_4765_ba03_a6a0eb846aa0,mwe70b2c96_44b9_48eb_967a_7eb850a916a6,mw64e9cef3_5dd3_43f3_ad04_58e8fc07a91b,mw6d041b25_87db_4394_9b8b_7ac61e01f359,mwd68cbf38_9266_4dfb_aa00_f817c3421aec,mwa6be116e_72f1_439e_bca6_eb61f79cc68e,mw6a8501d2_9479_41ae_8616_1e8d0e1bbfa9,mw3cec90c2_500e_4f30_b6be_325ef5194755,mwedf22864_05a0_40c3_a0d5_ede45a3e7e8f,mwd3e1ba39_ab10_4702_addd_fb6a7e184a4b,mwfa9d903a_b5e5_4a38_a649_dfe4719577aa,mw2e632a32_3823_4933_95cb_19567cbcc66a,mw8bdbd17d_f542_4b8c_88c6_a82eaf997a43,mw18e5caa7_26eb_4521_b217_da75bb3193ad,mwf5c3f9df_7ccf_4ca7_b241_471a66720da8,mwa4fcfa0c_6944_42fc_8c74_7865f13953c8,mwe0bb059d_deaa_45fa_b7dc_ec1c4409c4ca,mw7a1594c9_f04f_478c_9f5f_ccbe0b95a820,mwbdb849d8_2b25_4551_8de8_adc8bead2303,mw931f65a6_3967_4ac2_9904_ba791b216fc2,mw85e2714d_e6e5_47d5_9ffc_d90573faebe1
0,0.001018408902570387,6.674208333701832e-07,5.833282964728854,2.888882463390136e-09,0.05831829496189329,-3.883808118606167e-07,1.7666788707336572e-08,-2.771060118176684e-08,93.33256913535946,-9.058072332049107e-09,52.499562497786926,2.8313265887978744e-09,-4.163846103896011e-09,816.6598612047466,0.4083299850927957,3.3889477755820796e-08,-9.940613226041507e-16,-3.1991949445555307e-16,-1.4467939152768186e-10,-2.0469604909345767e-10,11.666569445038155,2.419032433678571e-10,1.071892763059713e-15,8.1113748876723e-17,2.191623265715289e-15,1.4583211397284332,-1.3481280479242142e-11,4.227022517949031e-08,1983.316805690973,-1.4887947348521102e-10,-3.326269077067453e-17,3.45761798893822e-12,-1.9831273331683228e-10,-1.7112258791209272e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,2.918900030614045e-10,1.1344205286830383e-05,0.29166423557553856,5.735629757420581e-10,34.99970833602656,1.4333342384094397e-10,8.006922274725642e-12,5249.956251187932,9.85541402479976e-07,-1.1443989197302929e-20,-1.473233060511106e-18,9.652016864571904e-22,2.2122367576548328e-20,2.3574855959556188e-26,-1.6712813725504348e-26,1.3454403153661397e-08,-4.0748285157585236e-08,-5.934810240082508e-12,4.6457878087790074e-08
100,0.001015008774971414,1.0994516873322559e-06,5.833282486968001,4.924831625088953e-07,0.05472771298325439,1.0576219130934453e-06,5.199283542565872e-08,6.718231672528323e-09,93.32895291406287,2.8665028428599123e-08,52.499562519093296,4.000141003372061e-09,1.2234967899649116e-08,816.6598611371484,0.40832997747286015,-3.278382879046417e-08,-1.3126863331891555e-15,1.2593313506490154e-16,7.661220247531245e-11,2.6804211750822606e-10,11.666569445474897,-1.8217157766300225e-10,-6.370469860944728e-16,3.5459878726139645e-16,5.510320154191815e-15,1.458321207999153,9.427283124190138e-10,-3.750520493741594e-08,1983.316805694219,1.057266198725148e-09,-5.528080485829451e-18,-1.3750082089493333e-11,-9.924668094501663e-11,1.1559571346499517e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,3.05329684685105e-10,0.0035895999667047247,0.29166423450301937,1.2981759939154306e-09,34.999708335915614,1.5582079807238217e-10,3.3358090649131987e-11,5249.956251484754,-1.7120384217988872e-06,9.984479494346773e-21,1.6954950208457539e-18,9.935447706528886e-22,2.8917999391992615e-20,7.92190537648411e-26,1.5552866536237644e-26,-1.3044383459013388e-08,2.98186477639338e-08,1.1321597348390972e-12,1.703060920406343e-08
200,0.0010111912626353198,4.628630446455684e-06,5.833279344447423,5.230458325521341e-07,0.05475352796075051,1.391894127488092e-07,-6.317151273219481e-09,1.5701497853482783e-07,93.32896261135154,3.956424472161021e-08,52.49956249908619,1.2000724910020771e-08,-1.4394092337472126e-08,816.6598611613023,0.4083299066288901,2.4062583120251522e-08,1.0105601654761668e-16,3.6594922496626377e-16,1.1039388315022391e-10,6.33507909728507e-11,11.666569445529257,1.5368699366476083e-10,-4.780370651202559e-16,-5.360781816001029e-16,-3.3722004390027427e-15,1.4583211694221192,-1.2315471173438394e-10,-4.133146821365415e-09,1983.316805696168,5.295228849309974e-10,2.4762666222290405e-18,1.473005463641484e-11,-3.863579522703091e-10,-1.4097745403962565e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,-1.040042382236018e-09,0.003585885252911806,0.2916642344545735,-1.4428814125954535e-09,34.99970833598567,7.298908531739626e-11,-5.441738132157743e-11,5249.956249220697,-1.2441260513111087e-06,1.454512496934527e-20,-4.047651339069778e-19,1.9373379616340372e-21,1.4556280352302241e-21,-1.4874088791388877e-25,2.842933409143698e-26,9.24611084224941e-09,4.826173206310734e-08,3.5783894559193935e-12,4.175624915067634e-08
300,0.0010062543515436321,8.091318090930751e-06,5.833277462761476,9.848059205849704e-07,0.05472949354914906,1.7564988986198277e-07,-1.7373741806476197e-08,1.958914957910237e-07,93.32895028404899,1.1341158706994398e-07,52.4995624795208,1.947993277795565e-08,9.164483150523855e-09,816.6598611370757,0.4083299200064831,1.1354091382947694e-08,1.8440836517072236e-16,-3.0805177589870473e-16,-2.2751917160754265e-10,-2.5114338237263166e-10,11.666569445055188,2.306963846553817e-10,-8.948349022960425e-16,1.9771069293230971e-16,5.37434132874928e-15,1.4583211803772402,-2.914393911113366e-10,4.605127094004352e-08,1983.3168056946283,5.592849486035808e-10,-1.733812044252178e-17,1.7543191055867186e-11,1.0029918347167296e-10,-9.389383886106179e-11,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,2.2699428356316815e-09,0.003592525538283907,0.2916642367283065,-1.3691911665452952e-09,34.99970833551316,1.7773638762283315e-10,4.7322786040381106e-11,5249.956250882826,-2.920222862889469e-07,-1.0012887688514062e-20,2.117470426916384e-18,1.1306934922103905e-22,2.885683548111911e-20,1.9845616857076516e-25,-1.6951921095200015e-26,1.1031645177603304e-08,7.135652254680698e-10,-2.9874044589979004e-12,1.2374530260020148e-08
400,0.001007051470514749,1.0951363819512142e-05,5.833275172645239,1.0419044485396601e-06,0.054731279897453924,2.946411135695991e-07,3.935022931810716e-08,2.903453335209511e-07,93.32895528571274,2.2167516643392616e-07,52.4995624489479,2.19156590041365e-08,1.527876617905383e-08,816.6598612056071,0.40832994253737404,2.961116451758105e-08,9.675892715016564e-16,-1.1033635443725693e-16,-2.9727268958695606e-11,2.119740890254585e-10,11.666569445463056,-7.460736584938372e-12,5.500671956024224e-16,-1.316281338466345e-17,-2.900245490346755e-15,1.4583211662661903,6.915861685487295e-10,-2.0315897294408716e-08,1983.316805694599,7.468363049024117e-10,9.406654789524187e-18,-1.567616346020078e-11,3.581689431800192e-10,1.9013404962331582e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,-9.619680637698551e-11,0.0036018537765442615,0.291664236442601,-9.005883759002295e-10,34.9997083359001,-8.572449561217983e-11,3.929457568887432e-11,5249.956250715632,1.4550947339652833e-06,-1.3673775425888195e-20,9.707098250470599e-19,1.3308687394647654e-21,3.3550649937174146e-20,-7.587855531231397e-26,1.2248261166505519e-27,1.3478662427588834e-08,2.7158941139295994e-08,-5.492619541399341e-12,3.736220277293775e-08
500,0.0010028312925297808,1.3508262300812044e-05,5.833273238654511,1.5103912377264987e-06,0.05472648026114301,8.947968880037566e-07,-1.791201023690242e-08,3.359142850375922e-07,93.32897091635544,2.9690224453658e-07,52.499562453365996,3.352356939978064e-08,1.254704341355528e-08,816.6598611459157,0.40832993816003954,-1.96112284982757e-08,1.2046652535467531e-15,-3.464968756657733e-16,3.0425017552127636e-10,-2.414763248366538e-10,11.6665694450009,-1.3342210891785433e-10,-1.1847867910066173e-15,4.735284049082531e-16,2.7560105089477557e-15,1.4583212029718142,-1.0137139603721813e-09,6.245037412451828e-08,1983.3168056923964,3.6234098477968346e-09,-2.7551304405879046e-17,1.6681326609938636e-12,3.953818803829267e-10,3.37575374066117e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,7.456878893659421e-10,0.0036043596990391947,0.29166423734435565,-2.401931493548407e-10,34.999708336030636,-3.5719484721814934e-11,2.082886778014224e-11,5249.956250347164,-1.6082396383267566e-06,3.795605622328804e-21,1.9437161653814395e-18,-1.3084145168169863e-21,-1.805217760562827e-20,2.019683463284045e-25,9.71441078984736e-27,1.469652309218452e-08,4.588671067860259e-08,-9.000786647426867e-14,5.30304548374151e-08
600,0.000998486364831779,1.502741542659499e-05,5.833270042189482,1.7042768824721947e-06,0.05470739503544418,-2.4302105501959354e-07,4.180215926782558e-08,4.937542353024828e-07,93.32896751318945,3.163125827062952e-07,52.49956246759708,3.33269519748126e-08,4.3492375101826344e-08,816.65986112949,0.40832990689278104,-1.4822706136775579e-08,3.1270252765737234e-15,-3.420235202443988e-16,2.884295441808122e-11,-2.4905273801039875e-10,11.6665694452094,-9.515965767105339e-11,6.599704143126782e-16,7.567035275411977e-17,-5.493318814465909e-15,1.4583211563680278,-1.0593524101690007e-09,7.201122651975026e-08,1983.3168056964214,-1.2991440682580692e-09,2.6148200946969163e-17,7.704578116898296e-12,3.7368687476065246e-10,5.659688475839613e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,1.6668096505914392e-09,0.003614063616515255,0.29166423753372334,-9.536639613116029e-10,34.99970833611939,-2.6891441892350937e-10,2.4546787491093603e-11,5249.956250725469,8.43393748559874e-07,-1.4106305789656816e-20,1.6789382869725605e-18,1.8474863969282347e-21,-1.1541673927401385e-20,5.31185695166076e-26,3.68750017891143e-26,1.0419542891903449e-08,-1.4696977993100373e-08,5.2329843331763385e-12,3.04357826375165e-08
700,0.0009972201730299249,1.740893794440494e-05,5.83326691336931,1.801202381887498e-06,0.05473559945326354,8.063939362962591e-07,-3.5365321196781827e-08,4.892833812117364e-07,93.3289530512312,4.5202637634153304e-07,52.49956240761963,4.5062755883899946e-08,4.023298144874725e-08,816.6598611087768,0.40832994994826605,2.2542086920254183e-08,-2.5050571781483595e-15,-1.8990977082608938e-17,2.8005057389187355e-10,-1.7971845956933955e-10,11.66656944528283,2.563997667360222e-10,1.0165020815195426e-15,-5.745568337088025e-17,-9.990256853445205e-17,1.4583210940919935,3.118408342580043e-10,7.248310806981006e-08,1983.3168056952566,2.685436953815509e-10,1.0029955717075695e-17,1.82089212740468e-11,-2.7331186141369517e-10,4.925251161278533e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,4.2795886517680924e-09,0.003616385307349817,0.2916642350046641,-1.3916368321289206e-09,34.99970833588938,-1.633715243962842e-10,4.901552721812823e-11,5249.95624897457,-1.4311287076868745e-06,1.029723964076664e-20,-2.076801126984033e-18,-2.3225119579199676e-22,1.57591115094975e-20,-7.277386847025596e-26,1.351298442538834e-26,6.3424489681252385e-09,4.112721469135902e-08,4.716628173895921e-13,2.1054582978744577e-08
800,0.0009938994267984773,1.8966302475016314e-05,5.83326389717965,2.228824674913669e-06,0.0547533735367481,1.3530951242648345e-06,3.849070523636236e-08,6.365840201169724e-07,93.32893564343337,4.985531677860164e-07,52.49956238172194,4.786560741890723e-08,4.903048966942296e-08,816.6598612027593,0.408329877554388,3.789699002887384e-08,-9.12568808426995e-16,2.581749722737216e-19,-1.0046418693739698e-10,3.192248774756689e-10,11.666569445231717,1.9253980529661637e-10,-1.1521120657059685e-15,4.841268846931445e-16,-7.806426928418365e-15,1.4583211479914853,-8.079302335304651e-10,8.408431965635512e-08,1983.3168056946915,2.506261684670579e-09,-3.361333533327644e-17,-1.2227998927378645e-11,3.317904697262713e-10,3.849904466295345e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,3.410060761026494e-09,0.0035762181063462486,0.2916642365567891,-8.243920958006761e-10,34.99970833580795,6.020768591470325e-11,-2.250278548244012e-12,5249.95624876247,-9.743172166925207e-07,1.405153666297352e-20,-2.2370724337997563e-18,2.45121893480521e-21,2.3820087912801676e-20,-2.891210291551003e-26,7.804059909816853e-27,2.9055871334661143e-08,-1.8163681197378927e-08,-5.328271307875992e-12,-2.7445168000380377e-08
900,0.0009914835562093273,2.2911905227162734e-05,5.83326197022945,2.31978886830127e-06,0.0547401739088973,2.269685829635176e-06,1.1146713280162442e-08,7.276817647616725e-07,93.32894594921771,5.484713149908578e-07,52.499562394147866,5.7697256067662434e-08,3.22826748985059e-08,816.6598611912157,0.4083298670989698,-3.5096486264049996e-08,9.146502973676155e-16,-1.2385478129781851e-16,3.530194822479411e-11,-2.150298847683817e-10,11.666569445412108,-3.912139042367095e-12,-7.43894476630833e-16,4.772428955268075e-16,-6.555274779267628e-15,1.458321108040482,2.4115974637165005e-10,1.2596689174737574e-07,1983.316805692681,-1.987255518021269e-09,-6.987249443742627e-18,-2.7887079353718664e-13,-2.0933158863314788e-10,6.607544345912349e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,8.123641982525688e-09,0.003587487363243776,0.29166423698650223,7.539162723578515e-10,34.999708335768005,-8.074049557119465e-11,4.490391813331554e-11,5249.956250708088,-1.3119722422149865e-06,2.3454784336223165e-22,4.2931280841228746e-19,1.4337387337532983e-21,-4.3420542020997855e-21,-1.4629662795036374e-25,-3.667918801889178e-26,2.0100433169543713e-08,5.307325143682558e-08,-7.500075720594975e-13,-2.5927547927171764e-08
