milliseconds,CML,T_cell_naive,T_cell_effector
0,10000.0,1510.0,20.0
100,9849.213005576554,1493.080862311639,0.7059875032626489
200,9818.17477847012,1476.351569817089,0.6904342178120463
300,9788.251983798666,1459.8099243959364,0.6847922408385196
400,9759.353695509766,1443.4538163947357,0.6791374273807551
500,9731.450975538686,1427.2811600531209,0.6734663107506602
600,9704.515902547897,1411.289895838613,0.6677812606868156
700,9678.521345309118,1395.4779858861311,0.6620847996360083
800,9653.440873090112,1379.8434120993575,0.6563793545019732
900,9629.248885155675,1364.3841802265754,0.6506672527885945
1000,9605.920904810057,1349.0983294448463,0.6449507462837019
1100,9583.432930634297,1333.9839134880199,0.6392320424753993
1200,9561.761359800568,1319.0389992092144,0.633513293195596
1300,9540.883563873595,1304.26168341396,0.6277965570671878
1400,9520.777282753977,1289.6500763457636,0.6220838240282972
1500,9501.42117048419,1275.2023170503312,0.6163769852492554
1600,9482.794441310889,1260.9165651633841,0.6106779095356597
1700,9464.8768038017,1246.7909962469423,0.6049884090127332
1800,9447.648860746855,1232.8238191117432,0.5993101692199055
1900,9431.091249021498,1219.0132431261122,0.5936448800025732
2000,9415.185855227848,1205.3575251239836,0.587994076244932
2100,9399.914170839975,1191.8549068084133,0.5823593421658679
2200,9385.259932511644,1178.5037186900395,0.576742020059331
2300,9371.205700707487,1165.302244743971,0.5711435788949237
2400,9357.733857244026,1152.248761944441,0.565565507243046
2500,9344.828588457744,1139.341621799315,0.5600090408118745
2600,9332.475445696751,1126.5792325273605,0.5544752192819213
2700,9320.657554219475,1113.959901745874,0.548965427966392
2800,9309.359426213878,1101.4819952602695,0.5434808561766586
2900,9298.568375833345,1089.1440051737513,0.538022347282536
3000,9288.269295454265,1076.944312975475,0.5325910329906661
3100,9278.448390185093,1064.8813589113443,0.5271878798921507
3200,9269.092486838937,1052.953619566517,0.5218138635194379
3300,9260.188765095289,1041.1595850146066,0.516469893302507
3400,9251.72470729021,1029.4977545499312,0.511156798553251
3500,9243.688096972817,1017.9666479526428,0.5058753651863993
3600,9236.066543553938,1006.5647908960142,0.5006262871734343
3700,9228.848782627847,995.2907441303892,0.49541026434662194
3800,9222.023648405575,984.1430804208482,0.49022792511032126
3900,9215.579566544591,973.1203694058092,0.4850799179863055
4000,9209.505906264736,962.2212145267441,0.4799667861562425
4100,9203.792281424796,951.4442339388056,0.474889032312051
4200,9198.428346186805,940.7880554076518,0.469847203593562
4300,9193.403893108563,930.2513189079946,0.46484187135490135
4400,9188.70931250571,919.8326880787833,0.45987343785087653
4500,9184.335124375557,909.5308386301485,0.45494232569623916
4600,9180.271837874121,899.3444562112968,0.4500489070725052
4700,9176.510523475768,889.272247743956,0.4451935408256594
4800,9173.042404365646,879.3129333286006,0.4403765459728452
4900,9169.858789090407,869.4652446364687,0.435598181037952
5000,9166.951269944946,859.7279291636207,0.43085867621462726
