miliseconds,P2,Target
0,10.033132976375295,9.990214616254397
100,10.055972587453894,10.051279154330366
200,10.14297472074033,10.103947289889144
300,10.191728204362809,10.194530325031511
400,10.239078915953948,10.249373931204827
500,10.253835079969576,10.253930477155915
600,10.320726585693125,10.310681125842244
700,10.351660436722735,10.361222448190873
800,10.4522328872837,10.418745003745409
900,10.467701377674029,10.507497661152707
1000,10.531190011609345,10.517651632897671
1100,10.548667619751136,10.554925610363751
1200,10.60366352813976,10.638812004205658
1300,10.698489051016011,10.654406196202963
1400,10.706937738700509,10.746535050585722
1500,10.796594808648761,10.77996390670323
1600,10.845144097792655,10.8815531661182
1700,10.938661680905259,10.905316495870512
1800,10.951144346929667,10.931844691546173
1900,11.014004099424847,11.044529190057782
2000,11.034669008028487,11.047457869250996
2100,11.105682825728325,11.1024116238898
2200,11.196976191578491,11.194122995635666
2300,11.189678806484684,11.193146952501197
2400,11.284208739985827,11.264738492047718
2500,11.303868777454362,11.323816012096085
2600,11.384775965378559,11.345163071006771
2700,11.435753271594542,11.39855622117695
2800,11.523319066574505,11.483402095896933
2900,11.559530046083019,11.541220334749685
3000,11.57559503910498,11.614784673878974
3100,11.656708375671,11.64896219858568
3200,11.731460666050525,11.704743505497564
3300,11.749439926372364,11.770153259998855
3400,11.839186140920802,11.849713703237565
3500,11.874269439229646,11.906519907516445
3600,11.916959750800297,11.957129044685805
3700,11.993213766260979,11.985633817888566
3800,12.043416227915252,12.002993526222678
3900,12.070933852793496,12.12028692111706
4000,12.154960094335268,12.160728815590158
4100,12.21166626958158,12.1583883844625
4200,12.285560724073859,12.209116717004282
4300,12.298202320497047,12.276735103768006
4400,12.344373676999925,12.343909758002258
4500,12.441083505176707,12.382250959118352
4600,12.468193040645271,12.466585882555783
4700,12.52698565448914,12.559793500547707
4800,12.594305704346423,12.577755720584022
4900,12.593318184384309,12.650150046520158
5000,12.676750851178015,12.659087748852468
