miliseconds,P2,Target
0,9.996262467563632,10.038160468565245
100,10.080554414792692,10.043862932217946
200,10.113838064181959,10.077562281745948
300,10.169822458082521,10.133682886640221
400,10.221296800536019,10.17512156191394
500,10.227406749834659,10.248506925601244
600,10.296199382595516,10.316091874526744
700,10.37176273508886,10.39646126404946
800,10.422495759492922,10.43492647859413
900,10.48529335567421,10.459807777936941
1000,10.499869060884805,10.521124338079384
1100,10.619600213589704,10.551580056201203
1200,10.60104201585434,10.616487835289297
1300,10.668842440956533,10.728479856193662
1400,10.750913342312701,10.71775705759348
1500,10.78994835986337,10.778149662875292
1600,10.814808373055618,10.80966688782808
1700,10.93657388952256,10.889848049867197
1800,10.956354438087303,10.938686854109744
1900,11.002425235667378,10.987498972895303
2000,11.079440990719567,11.03066777687338
2100,11.152391950844299,11.1300949002861
2200,11.131278844436505,11.162580315621426
2300,11.190117035678163,11.190391034838521
2400,11.297034363547489,11.306810405461428
2500,11.3503728806224,11.353107476955453
2600,11.344419277638574,11.347454851791525
2700,11.414016902079933,11.45296874556549
2800,11.502226088520375,11.488120711318551
2900,11.56217736532541,11.50538532244212
3000,11.633723337495132,11.60986384384809
3100,11.683975337408318,11.686328966846384
3200,11.672322894942461,11.723765712967369
3300,11.731704759045849,11.730145344578156
3400,11.842728881675647,11.792644132399298
3500,11.901108468909957,11.837057898572684
3600,11.922927363665934,11.959167827386185
3700,11.993494885736391,11.960680721206042
3800,12.062309198295681,12.015886965440734
3900,12.06715559763602,12.08202115162646
4000,12.162959999276898,12.155325268871463
4100,12.164514886735297,12.194839010055015
4200,12.279005592301147,12.212857251222438
4300,12.33446559924035,12.295938176072172
4400,12.392853083093463,12.388738834154724
4500,12.388955053075014,12.42917168129661
4600,12.431726924954694,12.465077910237921
4700,12.514060860238127,12.491670378435684
4800,12.567369594314094,12.615450152665517
4900,12.608252108090687,12.61195933526679
5000,12.672771699985185,12.661056002241173
