milliseconds,S,I,V_L
0,826230413.4380891,3642632.5311588366,-40744153.294027075
100,834492199.8822613,266140.59675418935,133195222.05447748
200,816963395.7568997,1071636.9027134774,43294770.8704544
300,824747717.4102565,692817.7077806538,222067041.32327104
400,832405657.8945652,5188935.286212288,26306819.437699553
500,822400402.1458825,6970075.796439127,-111888189.32135516
600,803144107.1485062,2705111.087487563,-109619973.59963787
700,828423343.2250482,-3313018.3908862406,-90849412.83919047
800,816596253.990258,-1443597.543967959,248367742.6399188
900,828193609.3086482,7600759.813658961,15921556.053373083
1000,827286321.0809071,9673304.553072685,-104943091.78823785
1100,812315028.8920193,10119533.248515539,96608211.64315146
1200,817507318.8335056,7253668.005439278,222380238.39813325
1300,821024074.0589402,10858247.075514201,172637572.23359132
1400,789358118.6873857,7203679.471359151,244667239.4573208
1500,811901374.6820421,5662474.187446023,63160103.15538722
1600,809224970.2261126,2256640.683902816,339147808.8602697
1700,804229219.6300286,8701110.945433028,188852059.47223723
1800,786357171.5541846,6732975.130229756,101043520.41089578
1900,798554417.8303783,7145759.71712011,383422871.31448746
2000,771730724.5162495,13999951.959346784,446402831.33484083
2100,770964689.8297236,13661532.7861895,233544197.7817204
2200,780027046.5486926,18980377.63001483,286672696.1498159
2300,763424468.1216707,15529674.017207175,559038271.1520796
2400,778009340.8207183,27644764.602604218,613387665.7370949
2500,743548324.1171167,29151799.81690121,582166750.1562816
2600,765465476.492173,29955733.66312217,699070527.4914758
2700,750412730.7811328,27002212.34576463,771045497.6038172
2800,716917859.261159,36887267.38849097,731831532.8009182
2900,735785903.8493538,45081898.131550476,1034512620.5815499
3000,703687012.8138307,48203771.66417872,829501295.9383379
3100,692225194.9498676,48168980.0942464,1200626772.7346303
3200,702287642.68975,57956120.38489434,1200501522.9217331
3300,662197057.1781422,57853782.14683807,1490734626.6684296
3400,668939165.0661459,64023939.836375915,1654621212.6857154
3500,655835248.0944967,79300280.6984314,1669792759.968278
3600,622743526.6895332,85401475.16463915,1813146442.7448354
3700,618730008.5415651,94318616.19608194,2248444165.531891
3800,595233392.7197665,93400091.53987809,2271956536.4648085
3900,570649037.3739889,109162019.19162382,2471092519.3107667
4000,535166731.882749,116595382.01353392,2818708170.8218017
4100,520232300.2323543,126921271.75906011,3362944433.111689
4200,488600835.05753136,135555232.7977422,3455437804.938544
4300,460664507.8353158,144889925.86628905,3990164321.7666216
4400,439050092.81648797,154112531.8971616,4209493874.8356843
4500,397472413.5059658,166392921.78544477,4550415348.853891
4600,378384191.04171044,170481759.19899568,5275137887.491287
4700,357257123.063739,169564349.61253116,5693206582.179034
4800,317805035.97270435,186964429.66057742,5923502000.892259
4900,284322800.2122483,188168204.99458268,6633344602.224378
5000,265865431.6171003,184496253.03519434,7029980763.34842
