milliseconds,S,I,V_L
0,824571429.2663457,4144020.117277461,143162322.09183013
100,827053646.3271115,-57826.4299518427,65018511.28063369
200,830582110.7479494,4691597.272428321,-127378260.0476363
300,824157543.7859008,2034154.0283770855,-110830933.89822018
400,807383225.5144252,-7856.085063400678,206080036.90699193
500,834106375.3319765,-3517224.7127034627,93398940.40308544
600,809878256.0318093,7040632.746821813,-50411940.70731402
700,833732853.4698359,-1470000.4444098393,98837102.36934996
800,811753915.0012323,6279402.582715264,-32155658.90152304
900,826199900.3115753,2441025.3970777425,192232123.22802538
1000,820439279.2248514,7872013.810067048,-114525879.51024656
1100,792977474.144544,3543698.0594299943,-46259589.99431606
1200,791111314.5281948,6954201.043338219,273710155.4705132
1300,819707819.7901682,7789996.567231989,47067900.42912158
1400,789317346.8771516,6321982.065156315,29965287.644691408
1500,792995779.4283438,8210032.901755339,297119862.63356876
1600,807973760.541329,8491075.811051229,253764793.1907323
1700,798383959.0716866,10488891.83585965,218651459.83876735
1800,783917902.8815658,9438567.529380918,119342667.74828222
1900,787414888.1932706,12365204.269588469,207881620.35298988
2000,798384555.7016525,7772799.361651552,321573607.93085563
2100,779198036.706243,11197849.553380117,142102525.79254892
2200,766332227.27896,17107519.270318735,300536427.7039306
2300,765090216.0541244,23851483.912279807,505407980.6744493
2400,767356969.5893244,24040697.031089667,437451289.1138547
2500,752069870.9601287,27392080.375143748,460470354.69782233
2600,762053854.7387373,23891681.697746012,417932235.7958421
2700,752441175.1423646,28714297.185537986,711772871.080836
2800,732125645.1845179,31329280.550727505,589110115.9249947
2900,730926779.9434476,43056638.3022714,649899213.6855096
3000,711369461.7754325,38919205.51697172,921253153.029627
3100,686958044.6830021,55500023.969466075,1257787556.9523401
3200,698295309.3277224,51038553.46828593,1243352220.6328204
3300,672991793.6729224,56948237.47201836,1486580422.9527006
3400,655454111.3659279,65684993.15580232,1410026639.1536424
3500,629685805.5570893,79948929.82354498,1564546598.7106733
3600,633037767.9334042,86039280.16181493,1972418474.679084
3700,588811613.3195572,96521979.10456933,2225634777.14011
3800,571799466.8450483,95088002.60056615,2174144918.352537
3900,553016330.0971574,103646779.82404883,2713908657.6131954
4000,531381419.6339188,123192300.14965981,3114586829.821322
4100,507473112.50472224,128211454.40214153,3394195190.1135883
4200,474613593.2135307,135719280.84842557,3409457502.7749624
4300,462093160.3003209,145314314.5152641,3987441924.5229855
4400,424457636.6522033,155221272.03423053,4224850865.1723433
4500,416559180.54479903,167465667.69113275,4759273309.700155
4600,379513077.02489734,172777989.5227394,5205952559.167191
4700,331210361.3784019,174316205.82146493,5731821497.912727
4800,295348477.0272451,178519082.80737948,5960803994.470989
4900,269795393.95185584,183833391.7162568,6425013578.783587
5000,245301209.38631788,183987366.1696338,7092962950.100304
