milliseconds,S,I,V_L
0,828765946.4080123,3515116.08558791,5560474.216403816
100,842311040.9200288,-1479951.540972153,120803302.37935472
200,828892502.094302,3404085.5269634174,136360190.8952151
300,828095716.035636,-954093.3812585042,106278008.4179507
400,826367364.0475924,-4386094.991682794,98538020.8946659
500,825285267.5631988,-98305.7487488261,-118997661.0377059
600,817269048.2399457,4732587.8649483025,62701760.86667909
700,821692243.1560225,-2230694.322697304,-56654187.432961136
800,823779798.1208956,6455479.089459669,15500782.685389683
900,799691449.0793557,1038513.944618836,252264199.82258067
1000,823096097.5583781,80586.25134813692,55676686.98850869
1100,824196039.7130193,4872091.787389934,147514600.4435633
1200,813599636.5388807,1077352.5222809725,126271811.81645635
1300,791604279.0454923,796375.751925054,95110080.895037
1400,797731591.702123,1782635.0513924137,210823274.64779836
1500,813839341.5209792,10652234.808761802,31702422.483861506
1600,812298332.7882074,11706998.980724761,-870088.9713611305
1700,798142776.9396629,15022288.513955567,171522383.84687382
1800,804865959.9992663,6375083.93126166,214505888.06305656
1900,788700400.7579763,10731552.445422381,309845863.92143416
2000,781489910.9793484,18011634.419891596,109496568.53620505
2100,781130008.5570694,15746352.04632251,342115287.15913624
2200,763229942.250045,12385373.822394572,246943661.51984864
2300,765210939.2480015,22838923.133351073,516541044.7026686
2400,767503704.6244764,20845554.991601214,634009607.2793646
2500,747965295.9027187,29705227.950574033,403890970.79939616
2600,750515005.923525,33978808.16681251,426027114.8099315
2700,732779785.0995036,28121463.613594465,495446060.1404673
2800,730442865.121099,32779342.98241242,575957470.9780871
2900,708336161.3153554,42508247.39440919,798665258.6696726
3000,715711755.6711218,40674341.809969306,1026493838.3055031
3100,693898382.5947914,47600462.8590721,1142227557.5922632
3200,678903802.120883,55293729.540611014,1177301790.3193653
3300,662105695.0858297,66687992.11155808,1454022727.802845
3400,655902060.8858277,71035112.6174501,1697576843.880028
3500,641810920.9363475,75503993.73343211,1636075395.931166
3600,613010151.4837704,79365330.77760103,1840571111.0112636
3700,597857600.1589614,87905798.21175133,2186491520.026416
3800,579196739.1177366,100563267.70257129,2198992711.221846
3900,573184121.6140927,108974583.80045049,2724924922.231005
4000,534885391.55528694,113455988.34869811,2818742692.044268
4100,516591256.80189323,127164678.17913339,3224035526.314901
4200,478964621.7133834,139759530.86891428,3592035699.289523
4300,448834525.24032265,144221091.88610873,4034277546.492273
4400,417754708.3603312,151918726.84161314,4251882444.077159
4500,390405970.52309597,156850488.6037068,4851960008.296789
4600,354685315.2953407,173723832.7911977,5039430031.767591
4700,340633883.574205,170161767.59002256,5520446527.324592
4800,297072946.5523918,186280188.8274162,5940096129.36714
4900,267675422.99136585,182091383.51250437,6638804704.316382
5000,264273581.77247995,193629967.9795931,6876885555.142871
