milliseconds,S,I,V_L
0,822383482.2044508,-2435881.1325551365,-105366221.80736354
100,816997302.7169774,5211797.635739502,151461653.67684105
200,818071499.370117,1475958.9687684095,190918900.92029822
300,826318338.7970347,1039148.5787238282,182204495.82753533
400,807029345.4445219,-3518618.537760655,184319583.91802213
500,832944235.5475969,5224989.918396646,215738353.48332465
600,809114434.9190801,5548567.282316951,205142424.7917863
700,833891765.116886,2005128.7343190215,219044655.30767465
800,811038747.9199122,1387894.468138217,-6972877.401416168
900,812261505.9337152,8818751.359170957,-83089736.88961676
1000,826708092.1766832,9070397.8448837,202687167.90875322
1100,807219031.5127288,5917685.298584055,8397099.8170622
1200,799434546.3157349,-819259.7730498649,-23940272.4926735
1300,809182428.3427123,1421219.393160129,-72574719.61070155
1400,809497214.5944368,6872294.790522004,86496510.28613055
1500,791903344.654429,8005692.343217339,343271498.7839488
1600,806953365.0505322,12620874.400487661,150877741.04371125
1700,791614619.9274572,12225464.976368316,98097622.6661282
1800,796797286.3743488,9116169.356906509,108400886.21134706
1900,772116535.8785694,6402175.187504492,143859999.1969633
2000,783043171.1754217,9673641.720914342,285772078.7188143
2100,764874629.249759,19180451.860576063,456782989.683749
2200,778984712.5435151,12946689.960186929,324973677.1618295
2300,762448573.0798962,14643065.26617292,319106164.881965
2400,756551697.2861849,22383277.143395238,460807687.9971914
2500,742321918.6493549,26541206.525461435,693077078.7214603
2600,750315474.6461003,24217211.588554695,578020580.5851128
2700,738930047.9691794,27626451.862772048,693038043.1411663
2800,723193936.3489884,39378686.3417152,712475467.2988049
2900,737897880.5163499,41889419.10331882,745642308.7727766
3000,707039857.5114833,48156819.20370199,955280778.7075142
3100,686858002.575999,47743295.434536524,1043567310.8259937
3200,705042392.9483194,54464159.30688542,1046642052.5246608
3300,659804181.9256809,58487110.24513218,1260229815.3857088
3400,651557341.5727557,74174109.01676011,1564549404.7882562
3500,638570284.7892288,72807254.7921807,1630007174.9185548
3600,610076656.8920413,78556613.44778061,1867109321.0357466
3700,613382972.3562671,89660112.56687081,2221427778.1961417
3800,595505041.305816,97045733.58049941,2484360437.6429515
3900,552810612.3713101,107469559.1012755,2816121903.7431126
4000,521506508.9641585,122316328.07547295,2895069654.10084
4100,525638402.74476725,130125709.57288112,3218154117.370728
4200,472199798.40332466,139771056.30757838,3539189152.6723323
4300,457677727.28071934,139927562.1836664,3990258448.4087725
4400,421140779.01093304,154874066.10652336,4433705671.1453705
4500,393162047.3832976,165414262.9565515,4587351819.53381
4600,356202765.6193294,166996793.20826554,5245481860.782365
4700,351995907.97442997,181833747.93262857,5497958494.643745
4800,313151762.30160755,175821544.85988268,6208500027.203591
4900,269218831.7205018,189016143.17193288,6654638776.754215
5000,243423810.22404867,182290256.39198762,6842633704.151487
