milliseconds,S,I,V_L
0,819416852.643709,1891559.4926792006,-112394105.49042186
100,815921590.6675553,-5020017.110795771,-48403213.42529575
200,816316356.6133636,-2983384.4404291706,-94444108.28524798
300,834039331.5824411,6632778.880051474,23689941.28693378
400,837216241.1943636,6028705.552592671,122204342.14774162
500,827085287.7937981,2500516.0025758045,67425630.28108507
600,831192932.2055662,5298108.429455075,163268794.79692647
700,811721343.5198792,8099152.474018967,183372579.96316594
800,812286349.5282571,-806586.4034755528,-85978586.64831461
900,817960446.9337475,4933724.368060087,-100925177.75846493
1000,824191621.7222121,55302.549390207045,202064966.3729363
1100,799844909.8117739,10423416.731983682,68897420.8651808
1200,815243448.2388248,10911307.547868911,79051979.70783518
1300,818509200.7151028,10531750.832815563,70523090.69901419
1400,817307266.4244704,9103325.915764876,34155126.537119135
1500,813821309.9475597,1554712.1385640549,157933701.5358957
1600,809283823.9110456,11791870.75207556,226749648.2883905
1700,797751313.5956585,6347241.203117276,251834615.91530335
1800,803043422.4499086,11317449.203316635,370006961.75010616
1900,779502414.043193,17104183.415776644,327764014.1592072
2000,794528868.4758221,11760480.610066338,161865421.64070767
2100,782954544.0525466,16314262.11272368,153697892.3138026
2200,787226784.790706,13668307.127163908,487805703.15449053
2300,768686612.9037749,15264206.805091003,449598219.48801506
2400,746307540.3711225,22991622.115912635,316042942.24973017
2500,759309122.1748902,29739169.144065827,569484557.8060708
2600,746369885.2137367,32072014.265363988,450250323.54386127
2700,738570807.2653995,30354298.503616627,588266437.1456052
2800,727712305.8853753,35806410.32808222,557597621.7901877
2900,707947895.2918768,36954418.460080564,1012700159.5060481
3000,699797897.8309958,46196695.74605164,954363788.5348475
3100,686414496.0987902,44039664.61402535,1158554341.143426
3200,683401265.759341,60047239.7365422,1266903280.1181285
3300,683566145.0155559,63646550.31801867,1175212588.937908
3400,658094385.3960505,69321736.30751969,1633945290.1196673
3500,652938858.6632636,74250155.62492844,1699192627.4746299
3600,632336080.470397,85583957.6702973,1850121469.3490345
3700,606030620.7243989,92631531.78851937,2013772484.1098633
3800,570866493.3575101,97083995.5325822,2234910120.7206697
3900,558080300.8250769,107789422.63645022,2541907126.3322387
4000,553042846.1811323,122896686.25706615,3109427553.251399
4100,527526799.0532925,120580199.25261731,3114624529.338473
4200,493013625.40547305,141829689.13317862,3576938018.2032948
4300,472661302.55051416,145548229.3254157,3934387385.010909
4400,437637345.053094,148760006.64826298,4122442536.1502867
4500,398664912.12995946,165758727.2753144,4635220400.125523
4600,359548126.7387791,163128617.4252432,5121822833.226082
4700,328139960.7497814,178013742.62139323,5608676088.530546
4800,322621907.88941926,179419406.16377118,5852132166.26637
4900,270535390.1835708,190818111.11986643,6677166623.714584
5000,250464372.28426853,191267472.81230175,6937430087.228852
