miliseconds,Smad2c,Smad2n,Smad4c,Smad4n,T1R_Surf,T1R_Cave,T1R_EE,T2R_Surf,T2R_Cave,T2R_EE,LRC_Surf,LRC_Cave,LRC_EE,Smads_Complex_c,Smads_Complex_n,TGF_beta
0,492.6325733948609,236.54384833634876,1149.2632039222733,551.6737050989503,0.2377361209444159,2.090978504285762,2.056985167602714,0.2019331148142774,1.7738875571408235,1.151474376089088,-0.0003274594773457671,0.0006719988201539356,0.0012521626172195396,-0.21662169475893844,-0.14502138147266572,0.0800025023090274
100,492.3103541111401,236.5520833102782,1149.4802777428933,551.7508613413424,0.06853071947439551,2.0895358648153515,2.0531376060538906,0.03464941403704969,1.7712121084478891,1.1439753599830902,0.1684387688964156,0.003366643016094369,0.0005297593869011837,0.3060688984010502,0.13553447893504905,0.07981409010963539
200,492.5176641439063,236.40545637521544,1148.9885053640944,551.6540435424864,0.05429617947802441,2.0844308319221074,2.0479234311055916,0.018486200380667762,1.7657758329202062,1.1396510089726808,0.1831486256505231,0.010262228494185512,0.008351825597676003,-0.07215822917506307,-0.16810192059433457,0.07979266237436608
300,492.5749259129239,236.49224206029302,1149.0020062463975,551.780615434619,0.049861031131798,2.0785758790815754,2.0469069097127686,0.015091836983181471,1.760854097281305,1.1336646891824016,0.18614688660973774,0.014069450634515727,0.01515994665071371,0.004015276921501304,0.04836447456080955,0.07978850747871115
400,492.5666565489075,236.41716730192275,1149.1922731226048,551.7716522237898,0.049231975622753624,2.0726529927825026,2.03824821656653,0.015846592435938143,1.7592501906953095,1.1239935916239412,0.18743191825510028,0.022807214515576612,0.0186863802739396,0.05822323567637934,-0.16408472738348673,0.07977859801308376
500,492.4862225026948,236.43222778784798,1149.1764353914534,551.7773648642831,0.050174914446743546,2.0613538814553896,2.0318585396736726,0.014438987617614701,1.7539170805921591,1.117319396621634,0.1876102314284458,0.028455455351468557,0.02731196352615455,0.07317696161536724,-0.10887852859535425,0.07975904256066518
600,492.43814574201434,236.51683487518778,1148.9742118231943,551.7129387313203,0.04831151996188861,2.061499755431599,2.024097027986366,0.013635530465056361,1.744809308493932,1.1147657400085935,0.1876708475048305,0.03524484137496745,0.03535147735832835,0.25092989665137755,0.18313157358911483,0.07974993293448666
700,491.8996891004137,236.4257785908528,1149.2486261539361,551.7412795792894,0.04943515457236408,2.048900930382243,2.0180835023175754,0.014870116202525999,1.7384181054697265,1.1101069559932994,0.18842396837038566,0.03949112272869441,0.04001617232911139,0.652235591516952,-0.11639246029345666,0.0797408814836093
800,491.601565494376,236.4418383200298,1148.8935680576003,551.7149335236968,0.04827717523775371,2.0480557571147986,2.0120070060896666,0.01476013569135555,1.7354451099176467,1.101027142905152,0.18698514669686314,0.046111175443764016,0.04781960699803596,0.7060365163337271,-0.08785342622843523,0.07974216064665444
900,491.41852771123615,236.28869885468214,1148.723516749709,551.6668664360495,0.048846612864726614,2.03911297344527,2.007424684322903,0.014778909714624786,1.7256289890405618,1.0984982341352143,0.18694508737627852,0.0493413652678149,0.05244966863072559,0.5966552468056083,0.2443325034674741,0.07972836637779582
1000,491.3236544498598,236.40762108431147,1148.6228211429545,551.7101802321849,0.0496345793540032,2.032244098226722,1.9999187132517446,0.01464006984678489,1.7221534655815638,1.0932661936885695,0.18854060564713157,0.05731672491062588,0.06139652076897538,0.8411781892509393,0.2178377112634357,0.07972449652356785
