miliseconds,R,B,C
0,0.0007734283570963011,0.000728327185241033,0.0009127481737297774
100,0.0007734284391052659,0.0007283272871096966,0.0009127482317988449
200,0.0007734284467472161,0.0007283274220964112,0.0009127482490042825
300,0.0007734285542216747,0.000728327586600043,0.0009127483025523409
400,0.0007734285735596307,0.0007283277518154115,0.0009127482808904017
500,0.0007734286813996592,0.000728327665315643,0.0009127483514491985
600,0.0007734287877370509,0.0007283278951862655,0.0009127483520812449
700,0.000773428888084,0.0007283278815000115,0.0009127484382109167
800,0.0007734289059569922,0.0007283280879077442,0.000912748462839573
900,0.0007734290401920712,0.0007283281161983795,0.0009127484759894748
1000,0.0007734290423825775,0.000728328331965722,0.0009127485333792903
1100,0.0007734292106426035,0.0007283284340274723,0.0009127485672150868
1200,0.0007734292103205959,0.0007283284696382591,0.0009127485721672703
1300,0.0007734293644056557,0.0007283284889204689,0.0009127485940701102
1400,0.0007734293425001708,0.0007283285832533224,0.0009127486422742622
1500,0.0007734294666850352,0.0007283287274819075,0.0009127486877875278
1600,0.0007734295611164193,0.0007283289198918224,0.0009127487184440673
1700,0.0007734295196661149,0.0007283288649914232,0.0009127487347178134
1800,0.0007734296210302815,0.0007283290197651693,0.0009127487667654099
1900,0.0007734296894529546,0.0007283291685968732,0.0009127487994866822
2000,0.0007734297201756293,0.000728329213000449,0.000912748880647375
2100,0.0007734298773618571,0.0007283293428528988,0.0009127488961441238
2200,0.0007734299769065775,0.0007283293729942836,0.0009127488909621535
2300,0.0007734298961438659,0.000728329445133413,0.0009127489716620914
2400,0.0007734300717505299,0.0007283296528469542,0.0009127489888318551
2500,0.0007734301246836298,0.0007283296641383521,0.0009127490066818433
2600,0.000773430130424738,0.0007283297729808138,0.000912749023538471
2700,0.0007734301747049016,0.0007283297698714906,0.0009127490899206878
2800,0.0007734303110951116,0.0007283299938681624,0.0009127491285244897
2900,0.0007734304066604363,0.0007283300434777842,0.0009127491089388772
3000,0.0007734304042437774,0.0007283302039384362,0.0009127491922861624
3100,0.0007734304755395661,0.0007283301530151182,0.0009127491912152251
3200,0.0007734305026646428,0.0007283302514146056,0.0009127492300533531
3300,0.0007734306253017367,0.0007283304113218882,0.000912749242474075
3400,0.000773430588916113,0.0007283303674407621,0.0009127493013719987
3500,0.000773430739371889,0.000728330533724274,0.0009127493066831634
3600,0.00077343076422081,0.0007283306686080415,0.0009127493380933861
3700,0.0007734308428770333,0.0007283307973722364,0.0009127493693937485
3800,0.0007734309519919708,0.0007283308552003551,0.0009127493799436399
3900,0.0007734308866555234,0.0007283308931613284,0.0009127494174152026
4000,0.0007734309804126828,0.0007283309101686372,0.000912749483289339
4100,0.0007734310912795115,0.0007283309587273171,0.0009127495201779504
4200,0.0007734310647090322,0.0007283311894192168,0.0009127495372016969
4300,0.0007734312000802206,0.0007283312008937462,0.0009127495446244368
4400,0.0007734312551017178,0.0007283313470590831,0.0009127495974177712
4500,0.0007734312315796901,0.0007283312427761066,0.00091274960717701
4600,0.0007734313489956353,0.0007283314948792679,0.0009127496091823502
4700,0.0007734314223451968,0.0007283314318525418,0.0009127496381911228
4800,0.0007734315180860179,0.0007283315157847154,0.0009127497165148257
4900,0.0007734315722894761,0.0007283315324168159,0.0009127497260149488
5000,0.0007734315673140067,0.000728331674326067,0.0009127497217807735
