milliseconds,PGA,NADPH
0,2.402151440808332,0.20968194258855974
100,2.4172122168837977,0.18147734596491744
200,2.5124487108615825,0.16416417763800564
300,2.6623630935207814,0.15167280856593265
400,2.7497582636752624,0.14189525518996673
500,2.913425908877161,0.1356986144025578
600,2.8390238730481525,0.12899388032797707
700,2.9751116925943406,0.12588124094186037
800,3.131209927676199,0.12400420150006751
900,3.255943226235565,0.12199522348055047
1000,3.2459051234440426,0.12226406765443563
1100,3.366592218215745,0.12095790763373754
1200,3.554638064143742,0.12198300247405283
1300,3.5979313511125537,0.12236689011109461
1400,3.7161991133650165,0.11986525638314836
1500,3.6520436379962176,0.12027381008096699
1600,3.705532741285012,0.1208488715215868
1700,3.8743741824955524,0.11974775192241002
1800,3.879267539499416,0.12098672265868285
1900,4.101038717290205,0.11879439041854846
2000,4.173766603913154,0.11993245104583489
2100,4.22709677892812,0.12006220972210953
2200,4.192917166636609,0.11931990541031148
2300,4.372585867713881,0.12041048322396669
2400,4.353955484687071,0.11948242938736112
2500,4.526476485797217,0.12008440590150456
2600,4.577138207571658,0.11883308257411071
2700,4.602727370360404,0.11876971206821577
2800,4.765425154423412,0.12018984236015716
2900,4.828650581584988,0.12130810453038467
3000,4.816111364216246,0.11891043111228775
3100,4.871178831704449,0.12048249547078019
3200,4.9211509516233605,0.11931762425379754
3300,5.024690501230527,0.12160843358485042
3400,5.173822645263272,0.11950910891171043
3500,5.141342677395415,0.11913413817257543
3600,5.209305845956329,0.12087169558509084
3700,5.4202485905300595,0.11931839977824422
3800,5.272985873332406,0.12128312017074291
3900,5.327666606180468,0.12002938148378636
4000,5.5520882867582975,0.12153061621481806
4100,5.611582659635563,0.11949513249996475
4200,5.5475649122466235,0.12117135091045249
4300,5.670460628473535,0.12123638498783713
4400,5.696454885788986,0.12178895261807603
4500,5.705804724365934,0.12149600884923724
4600,5.80134125974065,0.12023223898121077
4700,5.884155600250537,0.11919786226404243
4800,6.043547858940395,0.12144200928128211
4900,5.989086195644398,0.12005916169059345
5000,6.050492824749153,0.12113484867995605
