miliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,2.0042407228049117e-35,0.0117590568706314,5.56775554831959e-35,0.0379799887571665,1.6781977002768856e-35,0.00394239990123767,6.352040739503648e-35,0.00200010981212238,-3.832726307958379e-36,-5.6247819719699806e-40,1.5821833083706e-05,1.8982875660535306e-37,2.30017456622937e-08,1.35248196757048e-05,9.353347240589147e-06,3.3311210465159e-08,-2.5116946861551553e-52,1.0323386702021654e-35,-9.622520540447197e-37,0.000286841656341217,0.0030378361484431904,-9.463852361929033e-35
100,5.459163581022776e-35,0.0117590568706314,6.259488221779946e-35,0.0379799887571665,-4.145092153559807e-35,0.0039423999012376705,8.571676527197991e-35,0.00200010981212238,2.0875143562739992e-35,1.7543698012641937e-40,1.582183308370626e-05,1.7536478093693867e-35,2.3001745662293693e-08,1.3524819675705138e-05,9.353347240588546e-06,3.331121046515881e-08,-4.7786730364830966e-51,6.954414855513857e-35,-4.588946626730724e-38,0.000286841656341217,0.0030378361484431904,-1.2963584514380292e-33
200,1.0602268847765384e-34,0.011759056870631399,-5.527754306131853e-34,0.0379799887571665,-1.2403368850929278e-34,0.003942399901237671,1.3415660513826181e-34,0.00200010981212238,6.361748222615566e-35,1.5837841965108436e-39,1.5821833083706274e-05,4.917169871781783e-35,2.3001745662293693e-08,1.3524819675705177e-05,9.35334724058849e-06,3.331121046515888e-08,-1.4328752481241668e-50,1.417825750048361e-34,5.589964534377373e-37,0.000286841656341217,0.0030378361484431904,-2.6491173108804064e-33
300,1.3183879839091633e-34,0.011759056870631399,-3.9271697170398196e-34,0.0379799887571665,-2.0207378616755918e-34,0.003942399901237671,1.430796019621959e-34,0.00200010981212238,9.534316270920391e-35,3.822824014802632e-39,1.5821833083706295e-05,7.712811609608147e-35,2.3001745662293693e-08,1.352481967570522e-05,9.353347240588436e-06,3.3311210465158936e-08,-2.222986150756413e-50,2.2937095837789783e-34,3.5196373931976106e-36,0.000286841656341217,0.003037836148443191,-4.8286358608921355e-33
400,1.7664623959377683e-34,0.011759056870631399,-5.973272145766618e-34,0.0379799887571665,-2.286914803983252e-34,0.003942399901237671,2.2679569618460913e-34,0.0020001098121223797,1.2960497756517103e-34,4.344811919544551e-39,1.5821833083706305e-05,9.830493842444268e-35,2.30017456622937e-08,1.352481967570525e-05,9.35334724058839e-06,3.331121046515899e-08,-2.912195188432694e-50,3.23299915714572e-34,3.677647115664948e-36,0.000286841656341217,0.0030378361484431913,-5.901941640310702e-33
500,2.269680439959238e-34,0.011759056870631399,2.488439883633892e-34,0.0379799887571665,-1.863772037000572e-34,0.003942399901237671,4.425706083087755e-34,0.0020001098121223797,1.407400940738432e-34,4.907770643917561e-39,1.5821833083706305e-05,9.580375192949684e-35,2.30017456622937e-08,1.3524819675705255e-05,9.35334724058839e-06,3.331121046515899e-08,-2.831709563423627e-50,3.3130791630921677e-34,6.687731962646763e-36,0.000286841656341217,0.0030378361484431917,-5.088497114825698e-33
600,2.776889400588457e-34,0.011759056870631399,1.810217368850936e-34,0.0379799887571665,-8.836621053020651e-35,0.003942399901237671,5.618020844105419e-34,0.00200010981212238,1.5120594233485997e-34,6.213784336462631e-39,1.5821833083706305e-05,9.421954886232308e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588385e-06,3.331121046515899e-08,-2.972343713106829e-50,3.4014295513818437e-34,7.347620941776225e-36,0.000286841656341217,0.0030378361484431917,-4.111869242481978e-33
700,3.085090457661045e-34,0.011759056870631399,8.64528343195838e-34,0.0379799887571665,-2.0410520630755227e-35,0.003942399901237671,5.833068699787305e-34,0.00200010981212238,1.6030444013579046e-34,6.891807170219425e-39,1.5821833083706305e-05,8.915224008899545e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588386e-06,3.331121046515899e-08,-2.9253514025285344e-50,3.7283059484395925e-34,9.343089462022921e-36,0.000286841656341217,0.0030378361484431917,-3.766478725762976e-33
800,3.301049222130657e-34,0.011759056870631399,1.4394288375333007e-33,0.0379799887571665,1.1469928038527752e-34,0.003942399901237671,7.772430725172895e-34,0.00200010981212238,1.6044948740735345e-34,7.970131626285427e-39,1.5821833083706308e-05,8.84425160751688e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588392e-06,3.331121046515899e-08,-3.0287615514830895e-50,3.782815818324165e-34,1.0706690821566918e-35,0.000286841656341217,0.0030378361484431917,-2.881244771728398e-33
900,3.5857059952841217e-34,0.011759056870631399,1.989089834728074e-33,0.0379799887571665,1.6475053834394653e-34,0.003942399901237671,8.506050897725864e-34,0.00200010981212238,1.6530081535418713e-34,1.0047839082451452e-38,1.5821833083706305e-05,8.603916816322834e-35,2.30017456622937e-08,1.3524819675705257e-05,9.353347240588393e-06,3.331121046515899e-08,-2.9581727049962775e-50,4.008985921280557e-34,1.3360898186922546e-35,0.000286841656341217,0.003037836148443192,-2.493421116490143e-33
1000,4.099196249069964e-34,0.011759056870631399,2.131860069604694e-33,0.0379799887571665,2.57550262340521e-34,0.003942399901237671,1.0167352810194048e-33,0.00200010981212238,1.7604446475671207e-34,1.1091756927661529e-38,1.5821833083706305e-05,8.093529527972188e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588385e-06,3.331121046515899e-08,-3.1091598916299704e-50,4.178873770750994e-34,1.5045489120129843e-35,0.000286841656341217,0.003037836148443192,-1.5225732984617898e-33
1100,4.532767591079495e-34,0.011759056870631399,2.8148479900239247e-33,0.0379799887571665,3.2020167232856537e-34,0.003942399901237672,1.0885855434352581e-33,0.00200010981212238,1.8541736625590772e-34,1.22876369497487e-38,1.5821833083706305e-05,8.079314581885786e-35,2.30017456622937e-08,1.3524819675705257e-05,9.353347240588385e-06,3.331121046515899e-08,-3.1688631393258316e-50,4.352496292585738e-34,1.733597445677287e-35,0.000286841656341217,0.003037836148443192,-9.89986749830053e-34
1200,4.909178084761692e-34,0.011759056870631399,3.08341155864518e-33,0.0379799887571665,4.147523864744812e-34,0.003942399901237672,1.1391934674870404e-33,0.00200010981212238,1.9493950277300575e-34,1.2989609494134456e-38,1.5821833083706305e-05,7.569899134455281e-35,2.30017456622937e-08,1.3524819675705257e-05,9.353347240588383e-06,3.331121046515899e-08,-3.182435188096143e-50,4.623282530208862e-34,1.9371989843644543e-35,0.000286841656341217,0.003037836148443192,-2.306883130824534e-34
