miliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,5.4268005080567996e-36,0.0117590568706314,1.1403115726555748e-34,0.0379799887571665,3.187375457990581e-35,0.00394239990123767,-5.039260596012484e-35,0.00200010981212238,3.372289578428157e-36,5.165842636686551e-40,1.5821833083706003e-05,-4.1477657997007904e-37,2.30017456622937e-08,1.35248196757048e-05,9.353347240589152e-06,3.3311210465159e-08,-7.211180013584463e-52,9.707747569658942e-36,1.4663637324743439e-36,0.000286841656341217,0.0030378361484431904,3.6594070266917637e-34
100,1.7806140441994187e-35,0.0117590568706314,1.4606208534081544e-34,0.0379799887571665,-6.98712171719728e-35,0.0039423999012376705,5.358981807641464e-35,0.00200010981212238,2.98638584225349e-35,6.32802346457877e-40,1.582183308370626e-05,1.8127319265348111e-35,2.3001745662293693e-08,1.3524819675705136e-05,9.353347240588546e-06,3.331121046515881e-08,-4.753279745247712e-51,4.913831987262599e-35,9.744949782682487e-37,0.000286841656341217,0.0030378361484431904,-7.84299771217107e-34
200,9.399468317589714e-35,0.011759056870631399,-9.185138903153405e-35,0.0379799887571665,-1.4692144733539705e-34,0.003942399901237671,1.119656864025885e-34,0.00200010981212238,6.573927096517842e-35,2.0107206500303863e-39,1.582183308370627e-05,4.6136749316988484e-35,2.3001745662293693e-08,1.3524819675705177e-05,9.353347240588495e-06,3.331121046515888e-08,-1.3159031130676764e-50,1.3903345270202605e-34,1.3912355683144576e-36,0.000286841656341217,0.0030378361484431904,-3.2426245490512776e-33
300,1.5303526636440003e-34,0.011759056870631399,-4.245234444691716e-34,0.0379799887571665,-1.8123822877890313e-34,0.003942399901237671,2.6693891271359974e-34,0.00200010981212238,1.0163897311633638e-34,3.375240464413414e-39,1.5821833083706295e-05,7.672304167413591e-35,2.3001745662293693e-08,1.3524819675705224e-05,9.353347240588434e-06,3.3311210465158936e-08,-2.0970874771418755e-50,2.330163670139321e-34,6.850371224527555e-37,0.000286841656341217,0.003037836148443191,-4.755335675120309e-33
400,1.8801344307290711e-34,0.011759056870631399,-1.961974886737881e-34,0.0379799887571665,-2.0660988216738617e-34,0.003942399901237671,3.0385323353742993e-34,0.0020001098121223797,1.2802152334132747e-34,4.8436396632825113e-39,1.5821833083706308e-05,9.961212704827026e-35,2.30017456622937e-08,1.3524819675705251e-05,9.353347240588393e-06,3.331121046515899e-08,-2.7406612180348536e-50,3.1566975739249597e-34,3.21701811675357e-36,0.000286841656341217,0.0030378361484431913,-6.0433742891933954e-33
500,2.308700965342476e-34,0.011759056870631399,-3.192856256321003e-34,0.0379799887571665,-1.425357319012533e-34,0.003942399901237671,3.6502963303190467e-34,0.0020001098121223797,1.394984036284037e-34,5.2661036429956974e-39,1.58218330837063e-05,9.630699238337612e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588388e-06,3.331121046515899e-08,-2.8894961123400597e-50,3.4319500948245552e-34,6.720273361428805e-36,0.000286841656341217,0.0030378361484431917,-5.180076315110864e-33
600,2.6533654594298766e-34,0.011759056870631399,6.595033679309202e-34,0.0379799887571665,-8.192714821741255e-35,0.003942399901237671,4.661992469737134e-34,0.00200010981212238,1.4851615843244177e-34,5.955809663149419e-39,1.5821833083706305e-05,9.33799348416626e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588385e-06,3.331121046515899e-08,-2.893838967207015e-50,3.402502194771199e-34,6.122754370761363e-36,0.000286841656341217,0.0030378361484431917,-4.130566686865459e-33
700,3.1618439866927102e-34,0.011759056870631399,9.737813259997487e-34,0.0379799887571665,1.4273958357124048e-36,0.003942399901237671,5.581499151712822e-34,0.00200010981212238,1.5329284348144732e-34,7.774511809231415e-39,1.5821833083706305e-05,9.139006054274429e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588388e-06,3.331121046515899e-08,-2.881969163648924e-50,3.7067456627344083e-34,1.0384362197323426e-35,0.000286841656341217,0.0030378361484431917,-3.5349848174182724e-33
800,3.4329363555232667e-34,0.011759056870631399,1.2168554303854692e-33,0.0379799887571665,1.286086359494668e-34,0.003942399901237671,6.75556866265119e-34,0.00200010981212238,1.6488298737968168e-34,8.424779137992797e-39,1.58218330837063e-05,8.73862138786369e-35,2.30017456622937e-08,1.3524819675705257e-05,9.35334724058839e-06,3.331121046515899e-08,-3.0074367420543577e-50,3.879098108864022e-34,1.315678971548625e-35,0.000286841656341217,0.0030378361484431917,-3.379973106286091e-33
900,3.7163233534090853e-34,0.011759056870631399,1.9233415920280503e-33,0.0379799887571665,2.022678916820729e-34,0.003942399901237671,7.757337717473127e-34,0.00200010981212238,1.7550544803854675e-34,9.116959834387145e-39,1.58218330837063e-05,8.471478704237955e-35,2.30017456622937e-08,1.3524819675705257e-05,9.353347240588393e-06,3.331121046515899e-08,-3.0984192088405823e-50,4.085919104477013e-34,1.4548128273373278e-35,0.000286841656341217,0.003037836148443192,-2.8336523468476643e-33
