milliseconds,NFAT_phosphorylated,NFAT_dephosphorylated
0,1.0,0.0
100,0.9649927927451035,0.034901630647346145
200,0.9317106508876911,0.06787534094091197
300,0.9000661436641483,0.09902054147155497
400,0.869976536100652,0.12843128986660904
500,0.8413630394757478,0.15619714308628624
600,0.8141512206758686,0.18240269237244916
700,0.7882704112254859,0.20712824048664988
800,0.7636533270655635,0.23045023240443538
900,0.7402359951532931,0.2524413303092709
1000,0.7179579191815023,0.27317026095648494
1100,0.7219649552511049,0.26757486952893805
1200,0.7258973429514681,0.262092798859245
1300,0.7297553837165429,0.25672295652545113
1400,0.7335404419293667,0.2514632548290305
1500,0.7372539984766119,0.24631142667335795
1600,0.7408975395441763,0.24126519664733415
1700,0.7444724927463875,0.23632237910902792
1800,0.7479802440573042,0.23148085229493973
1900,0.75142211207261,0.22673859783128344
2000,0.754799419114611,0.22209359165164022
2100,0.7581135958704603,0.21754364347734145
2200,0.7613658468919419,0.21308690995643756
2300,0.7645574777158423,0.2087213928448198
2400,0.7676896773871943,0.20444527261762932
2500,0.7707636286544696,0.2002567394336011
2600,0.7737805011970253,0.19615400351124876
2700,0.7767414259044352,0.1921353345959364
2800,0.7796475342407159,0.18819900156418484
2900,0.7824999234310395,0.18434332582599033
3000,0.7852994374450947,0.18056688687525932
3100,0.760509145521035,0.20432312156903037
3200,0.7369282966199506,0.2267352826855064
3300,0.7144982018392944,0.24787029537267735
3400,0.6931599065686433,0.2677951208194234
3500,0.6728582902338757,0.28657235234475886
3600,0.6535411386125671,0.30426127069149267
3700,0.6351589512104848,0.3209180633583295
3800,0.6176644868486835,0.3365963427820189
3900,0.6010127625274791,0.3513471477370457
4000,0.5851613378150652,0.365218629623601
4100,0.5906512336336434,0.35773709501769646
4200,0.5960401056719371,0.35040784387637275
4300,0.6013292252409314,0.34322847498492076
4400,0.6065203844475221,0.3361962489779769
4500,0.6116154429727401,0.3293083213555938
4600,0.6166163720441077,0.3225616767389336
4700,0.6215251369229943,0.3159533088419556
4800,0.626343600728792,0.3094803679076761
4900,0.6310735938979922,0.3031400543047054
5000,0.635716885854819,0.2969296620212123
