milliseconds,P,O,C
0,12.030006217806603,0.1400003545885101,0.13996708113181036
100,12.03001135002308,0.13998359265542248,0.13994075509222173
200,12.030016017765373,0.13992588312589624,0.1399008491688765
300,12.030069727063605,0.1399167912625343,0.1398810569628711
400,12.030045374021116,0.13983162224035783,0.13990406798811086
500,12.030085877768485,0.1398298128770709,0.1398479775601057
600,12.030104912306925,0.13981130072332817,0.13982501869246178
700,12.030117987972403,0.13974456266675564,0.1397526654939137
800,12.030157414178086,0.13977546487811712,0.13972601891016567
900,12.030178119609635,0.1396893370496652,0.13968912832463098
1000,12.030194524046514,0.13970596092938514,0.13967412927154468
1100,12.030176244784778,0.1396372069986198,0.1396309478918468
1200,12.030227058755193,0.13959204575395445,0.13960118408173308
1300,12.030220557886125,0.1395669440388013,0.13961699020794546
1400,12.030258333319603,0.1395711210983649,0.13954291122756782
1500,12.030236233618352,0.1395256111913466,0.13955469915681243
1600,12.030258425821948,0.1394710434034194,0.13949281225096907
1700,12.030271616215401,0.13948136181107948,0.13942681913977112
1800,12.030284933559228,0.13941826735578078,0.13942165707692677
1900,12.030335454803215,0.13942648624179477,0.13937877270131122
2000,12.030321270219078,0.1393713544840852,0.1393821188318853
2100,12.030344180989085,0.13933789826305323,0.1393433122111406
2200,12.030359803896443,0.13932262453948097,0.13934152629264004
2300,12.030375404237411,0.13925610971064245,0.13928013680765913
2400,12.030383975052452,0.13928159908644377,0.13924314344592584
2500,12.030420467678164,0.1392508425429739,0.13921901716676155
2600,12.03046233182296,0.139219253312106,0.139248414148057
2700,12.030477991527817,0.1392056679446497,0.13918125244644852
2800,12.03048408575796,0.13912469985811046,0.13918296741811403
2900,12.030465522590418,0.13915225195566383,0.13916097694205112
3000,12.030516328229277,0.13909938181430492,0.13913360560243437
3100,12.03051643586539,0.13905146834972903,0.1391085163023379
3200,12.030545606370788,0.13905214882896866,0.13907502810252256
3300,12.030569164379074,0.13900509220344454,0.13902000920562702
3400,12.03058329840398,0.13898876089568032,0.1389936001557127
3500,12.030576490734266,0.1389866757987954,0.13899862392900192
3600,12.030586216518536,0.13894722116906874,0.13893890389101873
3700,12.030639931923062,0.1389234678763684,0.13889764068843685
3800,12.030629308827981,0.13892861965650669,0.1389248147390085
3900,12.030667297839054,0.13885662772730464,0.13890359834257038
4000,12.030657531101792,0.13888529830029825,0.1388272046322888
4100,12.030660426988323,0.13885224833426046,0.13884163730623467
4200,12.030722621509458,0.13882039852561012,0.13884976937677224
4300,12.030711206673109,0.13878449409298566,0.13881588916532747
4400,12.030734467851152,0.13878577962322633,0.13878616286089313
4500,12.030761222805907,0.13871664223757096,0.1387703459427005
4600,12.030742170103707,0.13873469031726823,0.13871871390350493
4700,12.030795346757783,0.13869716410323832,0.13868969152981636
4800,12.030803139837452,0.13866591577632612,0.1386782766942024
4900,12.030792077765827,0.1386871269910944,0.1386539733364438
5000,12.030820570135399,0.1386545898268629,0.1386500555251939
