miliseconds,c,cer,nIR,rIR,n,a,V
0,0.10000045945524423,99.99996994168055,0.008010542360474935,0.281761429656395,0.009963235055840111,0.46000000057272383,-60.00134630335946
100,0.10000349691898645,99.99996398856543,0.008099233267384176,0.27969467694359784,0.009969365020853644,0.459999992131756,-60.00000530830278
200,0.10000956670975385,99.99991561874923,0.008272256314839613,0.2781293332261046,0.009865308516603404,0.45999996343053484,-59.997044707535146
300,0.10001663349868511,99.99988331335555,0.008343361369734835,0.2769935764903331,0.00979139641909699,0.45999994855538634,-59.99467179646367
400,0.10002571859868077,99.9998230164623,0.008418479481452138,0.27505253730016077,0.009760750115726732,0.4599999113727836,-59.99313861479369
500,0.10003065741984514,99.99973614468693,0.008602667675710614,0.27404005897848344,0.009713213324246888,0.45999990699131543,-59.99250194050194
600,0.10004660040317188,99.99970903035369,0.008697367685804997,0.27205426960548423,0.009671178104768991,0.45999987293467237,-59.991838769632906
700,0.10004648182140742,99.99962762413621,0.008820922825696933,0.2710028403806816,0.009557572778118641,0.4599998729757584,-59.99042345024584
800,0.10005105940181777,99.99957465105673,0.008888388037597728,0.2691276526078028,0.00949166723489631,0.4599998493032487,-59.98723080385758
900,0.10006585169934178,99.99958052932831,0.00904066314296613,0.2685410209386761,0.009443215854802262,0.4599998202511736,-59.986470349835145
1000,0.10006586409512702,99.99947002348529,0.009110559815741768,0.2666625802508349,0.00938910744641281,0.4599997998916372,-59.984840288976564
1100,0.1000783901395188,99.9994512687408,0.009184283991155083,0.2654446907121162,0.00931157964086066,0.459999783540912,-59.98458265760548
1200,0.10008051789073175,99.99939662433437,0.009262103901220125,0.2647094402461668,0.009266194800883433,0.45999975956159217,-59.98171689100369
1300,0.10009291471591121,99.9993517259969,0.00936511411021457,0.2626909370419219,0.00924756165936504,0.45999974235233876,-59.9797538682963
1400,0.10009660659568974,99.99929440633063,0.009516555840029113,0.26202919344252784,0.009149234547708529,0.45999973207278494,-59.97755402814742
1500,0.1001001012484805,99.9992831052881,0.009595251145292803,0.25975495826775846,0.009116882091983115,0.4599997215545863,-59.97787202418736
1600,0.10011440933224379,99.9991854474019,0.009731380075936607,0.25979794757128105,0.009043421085950356,0.4599996786728041,-59.97417404281076
1700,0.10011399972248605,99.99916666884388,0.009783199050909554,0.25769419295695717,0.009036038385490634,0.45999966702631884,-59.97167823044528
