milliseconds,S,N
0,0.10093052350152515,0.19994820886148781
100,0.0996064187714321,0.19991976869476927
200,0.10413950119905055,0.19955120297262507
300,0.10535057529016811,0.19913342072258036
400,0.10709267443446228,0.19880351761748508
500,0.10784344974865928,0.19877496337358394
600,0.10754684730450913,0.19838341143552898
700,0.1086918712777131,0.19805444910256179
800,0.10953301172877264,0.1980011654733348
900,0.11366508496200634,0.19771580814152007
1000,0.11268106690739418,0.19737101997695577
1100,0.11430193389622052,0.19741676966274402
1200,0.11797618970333355,0.19714340756098175
1300,0.11830906935010686,0.1965869145709303
1400,0.11721877758994367,0.19652290561493574
1500,0.11893383105625832,0.19625887643516599
1600,0.12157514383942314,0.19594402717094622
1700,0.12273063458169375,0.19574802874757008
1800,0.125515868107886,0.1959429664990931
1900,0.1241156099111299,0.19553903405134296
2000,0.12830855979048733,0.19548698105359022
2100,0.12668072742835026,0.19508260779936176
2200,0.12764084306382,0.19471013151636354
2300,0.13130712053690663,0.1949758369040136
2400,0.13201655658268122,0.19462070227068126
2500,0.13231198620508539,0.19436762616727138
2600,0.13400887768979955,0.1945063564521303
2700,0.136241661255855,0.19405137668754505
2800,0.1369156804264145,0.19370859344390073
2900,0.13627786218919183,0.19370162087252454
3000,0.13807398678606816,0.1937599994265785
3100,0.13919048945052018,0.19360192815072075
3200,0.14170305904324418,0.1933877297615325
3300,0.14226215348089633,0.19310519387170752
3400,0.14280949564898474,0.19302604625063668
3500,0.14297568176075104,0.19310503622270841
3600,0.14425465579545488,0.19281237363053585
3700,0.1471059550000499,0.19286123919677556
3800,0.14814663867366573,0.19232725295634906
3900,0.14960603894688315,0.1922950777464872
4000,0.1510621785510963,0.19230795543303084
4100,0.15093138885633764,0.19220880761103598
4200,0.15379279282382213,0.19188824426904671
4300,0.1545003857353094,0.19178455229737612
4400,0.1532828368179112,0.19186900022597556
4500,0.15702347779985049,0.19153084013769203
4600,0.1566836783248836,0.19158881458403
4700,0.1588158911724605,0.19156456563898472
4800,0.16025304040331595,0.19166959274547438
4900,0.15929530304042655,0.1912644857605789
5000,0.16273477067341846,0.19143795165679858
