milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,1000000000.0,5600000.0,190000000.0,50000.0,9.4,1.0
100,984507878.5131627,5592734.129819931,189620729.6152419,77838170.09420843,138186876.05428717,4838568165.141039
200,970462132.2371227,5585572.431382217,189242217.0034699,153989077.0806677,275626767.59747976,9368103490.694979
300,957634061.935174,5578512.341287919,188864460.65274194,228620963.2621197,412322911.4486377,13608343801.77514
400,945844980.0785363,5571551.462757503,188487459.06527165,301834878.61790425,548278505.2414684,17577763945.867905
500,934952686.793154,5564687.543655705,188111210.72513124,373718252.6298664,683496720.4149771,21293660713.380985
600,924842116.8870443,5557918.459090238,187735714.1307383,444347566.58351034,817980704.706594,24772224417.333485
700,915418658.7658792,5551242.196607411,187360967.78229094,513790404.41337717,951733584.330195,28028613072.21169
800,906603815.1429937,5544656.844852443,186986970.17898804,582106893.553491,1084758465.5244184,31077017607.33898
900,898331507.7426001,5538160.583269338,186613719.82192636,649350974.1540151,1217058435.8681178,33930723361.03475
1000,890545652.2124882,5531751.673867616,186241215.21673572,715571308.4534813,1348636565.1695144,36602165901.22057
1100,883198521.3287805,5525428.454364458,185869454.87429333,780811974.7381364,1479495906.449899,39102986756.22261
1200,876249166.3469018,5519189.331722629,185498437.30898935,845113124.6880873,1609639496.6111767,41444082844.31498
1300,869662161.9729345,5513032.776644714,185128161.0376624,908511520.0201573,1739070357.0493236,43635653905.42211
1400,863406612.6452813,5506957.318645153,184758624.57972997,971040983.0862558,1867791494.2120945,45687247040.38884
1500,857455244.5590098,5500961.541331871,184389826.45646203,1032732817.2168102,1995805900.1517682,47607801352.41912
1600,851784070.49365,5495044.079256227,184021765.19287336,1093616018.502334,2123116552.9024549,49405685933.21516
1700,846371275.5426668,5489203.613059968,183654439.31489655,1153717734.2929864,2249726416.8314586,51088739675.39066
1800,841197782.6314762,5483438.868872408,183287847.3534412,1213063138.3304963,2375638442.6741567,52664297471.377785
1900,836246121.486092,5477748.6136457175,182921987.84096602,1271675896.3751874,2500855567.955766,54139226901.95965
2000,831500990.129837,5472131.654710646,182556859.3147049,1329578026.4746656,2625380716.908221,55519951688.38803
2100,826948600.9041604,5466586.836559774,182192460.31400537,1386790227.0591047,2749216801.3969264,56812490505.616875
2200,822576761.1819782,5461113.0390873,181828789.382187,1443331896.9001083,2872366720.7238536,58022481920.01764
2300,818374257.3769758,5455709.175238588,181465845.0646089,1499221400.1252522,2994833361.6339846,59155191643.28146
2400,814330977.9835005,5450374.18892387,181103625.9099149,1554476109.8990877,3116619598.8677917,60215559596.0754
2500,810437603.3194615,5445107.054338055,180742130.46926433,1609112491.613398,3237728294.817137,61208201381.18426
2600,806685387.593926,5439906.772644474,180381357.29634362,1663146310.291709,3358162300.1081395,62137447978.44941
2700,803066557.8587459,5434772.373625842,180021304.94817686,1716592405.0887823,3477924453.457997,63007342015.426056
2800,799573607.893001,5429702.911225935,179661971.98415515,1769465080.1613626,3597017581.942216,63821679296.32699
2900,796199977.7088594,5424697.465738378,179303356.96703956,1821777798.3143754,3715444501.073306,64584003610.78205
3000,792939420.8348559,5419755.140067069,178945458.4623686,1873543500.8228161,3833208014.9385037,65297641703.2666
3100,789786291.2021266,5414875.060484736,178588275.038546,1924774497.7253008,3950310916.176255,65965698915.999084
3200,786735355.0517154,5410056.374578958,178231805.2670249,1975482576.873098,4066755986.2237773,66591090204.25378
3300,783781702.7022649,5405298.250847998,177876047.72187513,2025679054.3771527,4182545995.1924443,67176537549.04722
3400,780920792.9640154,5400599.877522617,177521000.98014432,2075374784.487979,4297683702.13419,67724594775.06351
3500,778148359.5813607,5395960.4622025965,177166663.6216113,2124580197.9020822,4412171855.007875,68237647556.49613
3600,775460397.9123027,5391379.230636596,176813034.22888178,2173305341.8774376,4526013190.820568,68717933360.56183
3700,772853202.749229,5386855.426718079,176460111.38743982,2221559856.158938,4639210435.709212,69167543432.46014
3800,770323268.4655129,5382388.311204579,176107893.68554887,2269353047.3908415,4751766304.98603,69588438091.61357
3900,767867356.9171537,5377977.161660419,175756379.71436006,2316693858.652107,4863683503.229403,69982450515.01735
4000,765482408.9259092,5373621.271460348,175405568.0678176,2363590928.9152284,4974964724.32629,70351298134.86313
4100,763165565.2736984,5369319.949445779,175055457.34269553,2410052591.338492,5085612651.528808,70696588059.26611
4200,760914127.8318945,5365072.519490675,174706046.13853875,2456086896.88184,5195629957.500228,71019821291.08934
4300,758725553.2558244,5360878.31967481,174357333.0577069,2501701635.834462,5305019304.402998,71322405983.67784
4400,756597438.1077814,5356736.701581709,174009316.7053914,2546904358.8727555,5413783343.983177,71605668183.6319
4500,754527537.3654381,5352647.031437615,173661995.6894799,2591702337.246493,5521924717.516869,71870827544.81339
4600,752513698.574767,5348608.687332741,173315368.62071335,2636102658.9230814,5629446056.017067,72119046355.13776
4700,750553866.904412,5344621.059492525,172969434.11262706,2680112216.5544887,5736349980.246843,72351421866.4029
4800,748646173.1219122,5340683.552680645,172624190.78143483,2723737605.683319,5842639100.581474,72568942266.24207
4900,746788768.3143997,5336795.581313367,172279637.24619296,2766985317.0455813,5948316017.369609,72772569963.41087
5000,744979896.1784801,5332956.571372378,171935772.12870768,2809861654.001971,6053383320.828117,72963206248.18216
