milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.69999967735732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,6.632259830589848e-05,3.5440202802206684e-07,2.9265045550891557e-08,2.3590605672454705e-08,1.3015436220773966e-08,9.311372430964739e-08,2.5843159613156145e-08,1.45191792047386e-08,1.2301311330153037e-08,1.1191322786274576e-07
200,6.565204770736201e-05,5.512433900294393e-07,5.6066769102874095e-08,4.694273223955856e-08,2.5899298473978887e-08,1.8528615537835097e-07,5.1425068893465534e-08,2.8891582997465715e-08,2.4478267831888814e-08,3.788402708311304e-07
300,6.49882757708436e-05,6.590169643489293e-07,8.059060549947018e-08,7.005878986011853e-08,3.8652916495216736e-08,2.7652680626676774e-07,7.674836813425542e-08,4.3118694745251965e-08,3.65321262814958e-08,7.32153767073218e-07
400,6.43312139882656e-05,7.164550083424112e-07,1.0300822486321336e-07,9.294116434857253e-08,5.1277606588786026e-08,3.668450939466749e-07,1.018156709599567e-07,5.72019828320742e-08,4.8464130760901547e-08,1.1329992961447382e-06
500,6.368079454355987e-05,7.454637630113291e-07,1.234785524944655e-07,1.1559221741992099e-07,6.377467176281575e-08,4.5625034026773175e-07,1.2662956459442308e-07,7.114290080956217e-08,6.027551278539213e-08,1.5593622057352357e-06
600,6.303695030568401e-05,7.584295544723951e-07,1.4214871313472612e-07,1.3801428693293452e-07,7.614540186344831e-08,5.447517729174363e-07,1.5119261012736102e-07,8.494288754668414e-08,7.196749143043264e-08,1.9987581026946798e-06
700,6.239961482170887e-05,7.623558405283146e-07,1.5915490526146237e-07,1.6020968713088843e-07,8.839107370765761e-08,6.323585263713219e-07,1.755073427780516e-07,9.860336737791057e-08,8.354127345719825e-08,2.444096002001517e-06
800,6.176872230997534e-05,7.612061837153444e-07,1.7462321093594722e-07,1.8218070887987335e-07,1.0051295121473032e-07,7.190796428335837e-07,1.995762721564154e-07,1.121257502498857e-07,9.499805343684105e-08,2.891334131828169e-06
900,6.114420765332089e-05,7.572195692786636e-07,1.8867034513425596e-07,2.0392961990468928e-07,1.1251228553641348e-07,8.049240731681711e-07,2.2340188252143168e-07,1.2551143186661205e-07,1.0633901387349692e-07,3.338164397985278e-06
1000,6.052600639237367e-05,7.516621560109343e-07,2.0140434991542436e-07,2.254586650223752e-07,1.2439031518575776e-07,8.899006778205423e-07,2.469866330369662e-07,1.387617938331795e-07,1.1756532532605953e-07,3.7832597516741184e-06
1100,5.9914054718914745e-05,7.452491242386874e-07,2.1292523689281647e-07,2.467700663733754e-07,1.3614826616465674e-07,9.740182277300948e-07,2.703329580250105e-07,1.5187820379804e-07,1.2867814652872173e-07,4.2258516872519206e-06
1200,5.93082894693065e-05,7.383849914814303e-07,2.2332558248953008e-07,2.6786602365039526e-07,1.4778735209011163e-07,1.0572854052334744e-06,2.9344326721639024e-07,1.6486201559386018e-07,1.396786245103125e-07,4.665489319801376e-06
1300,5.870864811798625e-05,7.312999562077487e-07,2.3269107974320052e-07,2.887487143249876e-07,1.5930877431924371e-07,1.1397108049589284e-06,3.163199459989873e-07,1.7771456937697725e-07,1.5056789471245033e-07,5.101902496481819e-06
1400,5.8115068771028526e-05,7.241219862239728e-07,2.411010471328453e-07,3.094202938717502e-07,1.7071372207298867e-07,1.221302934711226e-06,3.389653556633443e-07,1.9043719176538435e-07,1.6134708110645065e-07,5.534929215870813e-06
1500,5.752749015977022e-05,7.169230217279246e-07,2.486289011307295e-07,3.2988289599033007e-07,1.8200337255858116e-07,1.3020702163479247e-06,3.6138183364586734e-07,2.0303119597536654e-07,1.7201729630909017e-07,5.964468945064951e-06
1600,5.6945851634499125e-05,7.097441654966108e-07,2.553425942380562e-07,3.5013863282522285e-07,1.9317889109082304e-07,1.3820209866469356e-06,3.8357169376961333e-07,2.154978819567795e-07,1.8257964169722096e-07,6.390456998903748e-06
1700,5.637009315821041e-05,7.026078799868975e-07,2.6130501824793203e-07,3.7018959518320483e-07,2.0424143121204492e-07,1.4611634981647407e-06,4.0553722648248306e-07,2.2783853652687116e-07,1.930352075211505e-07,6.812851946239498e-06
1800,5.580015530045103e-05,6.955253237749712e-07,2.665743667683849e-07,3.900378527477049e-07,2.1519213481037963e-07,1.5395059200825342e-06,4.2728069909206263e-07,2.4005443350221994e-07,2.0338507301642563e-07,7.2316279134197805e-06
1900,5.523597923111351e-05,6.885047977050737e-07,2.7120452113510745e-07,4.096854542949351e-07,2.2603213223900633e-07,1.617056339059303e-06,4.488043560023911e-07,2.521468338317556e-07,2.1363030651653386e-07,7.646765758173701e-06
2000,5.467750671441405e-05,6.815512674609721e-07,2.75245353147669e-07,4.2913442790360723e-07,2.3676254243185524e-07,1.6938227600595934e-06,4.701104189437024e-07,2.641169857258319e-07,2.2377196556225987e-07,8.058253248377059e-06
2100,5.412468010292194e-05,6.746664841832368e-07,2.7874300935923803e-07,4.483867811628595e-07,2.473844730183256e-07,1.7698131071742135e-06,4.912010872002055e-07,2.759661247841989e-07,2.3381109701010903e-07,8.466084661084529e-06
2200,5.35774423316474e-05,6.678494629326583e-07,2.8174017555503833e-07,4.674445013781495e-07,2.5789902043688085e-07,1.8450352244329035e-06,5.120785378356374e-07,2.87695474122722e-07,2.4374873713967e-07,8.870260043557822e-06
2300,5.303573691212843e-05,6.610991223665011e-07,2.84276348340343e-07,4.86309555777181e-07,2.6830727004866267e-07,1.919496876617145e-06,5.327449259188524e-07,2.993062445001228e-07,2.5358591176099507e-07,9.270782306737654e-06
2400,5.249950792658135e-05,6.54415916271255e-07,2.863880857865577e-07,5.049838917136127e-07,2.786102962498819e-07,1.9932057500642124e-06,5.532023847469828e-07,3.107996344433547e-07,2.6332363632082443e-07,9.667655347817292e-06
2500,5.1968700022152144e-05,6.478003221355613e-07,2.881092196553117e-07,5.234694368672591e-07,2.8880916258227335e-07,2.0661694534573803e-06,5.734530260647551e-07,3.2217683037081946e-07,2.7296291600698015e-07,1.0060885353481187e-05
2600,5.144325840523178e-05,6.412518009361171e-07,2.894710490748e-07,5.41768099442058e-07,2.9890492184231854e-07,2.1383955186073135e-06,5.934989402813616e-07,3.334390067142089e-07,2.825047458515973e-07,1.0450481650349379e-05
