miliseconds,c,V,n,h
0,0.3000176150641866,-60.00576880411102,0.10010293723605997,0.09873119323640535
100,0.29995895903765574,-60.048332012624144,0.09977083714480531,0.10120364872792677
200,0.2999397547499496,-60.081883539949075,0.09959848103814703,0.10340787620821479
300,0.29990002837354757,-60.14497957486167,0.09926314984822021,0.10599088671793969
400,0.29986066606909784,-60.1726091296075,0.09905203753941819,0.1067786914171105
500,0.29984157933795313,-60.285601884531026,0.09891611263827765,0.1114700326380531
600,0.29979435878487404,-60.287655677551015,0.09853660082860478,0.11141326127035794
700,0.29973559995677446,-60.35980329110406,0.09832715379668086,0.11416374054388237
800,0.2997274976989929,-60.43284720136567,0.09837465533663647,0.11726437575476745
900,0.2996878124315412,-60.42889578482298,0.09786353143489161,0.11951968014814764
1000,0.29963937285553266,-60.470539118128094,0.0977581074772674,0.11977223968555036
1100,0.29960017985692666,-60.56551903656545,0.0976329178851329,0.12200453467403204
1200,0.2995404503905519,-60.592212562820855,0.09721643654982011,0.12295728119429436
1300,0.29952594530542104,-60.64648993973335,0.09706497240821628,0.12515726059979082
1400,0.29948823490439624,-60.71885383606423,0.09680704136489988,0.12758724853908496
1500,0.29943329668622143,-60.72612946093746,0.09656996697806372,0.13161352934943094
1600,0.2994294676187874,-60.79330551579169,0.09654658103149141,0.1324213280957075
1700,0.2993992903707612,-60.80642163442501,0.09622654962135191,0.13358199632338622
1800,0.29934874174944964,-60.86101367858396,0.09593243901482462,0.13499533558035093
1900,0.2993084192777722,-60.92954708971701,0.0958346499073696,0.13866742538584223
2000,0.29925546795247526,-60.995723984895214,0.09577227175329217,0.13924540968707888
2100,0.29922124609965167,-60.99403798188206,0.09552428022708753,0.14347529542816492
2200,0.2991604251201781,-61.09697576340784,0.09526114446191818,0.14399766441708628
2300,0.2991722774304685,-61.09449181553658,0.09512382229631518,0.14693511527194836
2400,0.29910041805830306,-61.17596193580861,0.09479986498034734,0.14739324150172178
2500,0.29907222583455484,-61.20114903207234,0.09448270179551894,0.14985840315564133
2600,0.29903575436372165,-61.27374901257078,0.09435451595810128,0.15243983431627245
2700,0.2990258880791979,-61.29774488883445,0.09407560672065567,0.1562719205040336
2800,0.29893822634497125,-61.33659542132825,0.09404429134510783,0.15796465551444913
2900,0.2989223526105201,-61.37707149616493,0.09364586571889445,0.1579210640399489
3000,0.29888349452178137,-61.44163122120556,0.0934926312577705,0.16233789255187425
3100,0.2988556972855649,-61.48658171101005,0.0932448412950999,0.16427112864844887
3200,0.29881387423464273,-61.489943383605684,0.09303750545831008,0.16518893344985755
3300,0.29878760077468,-61.544181371863075,0.09277823916339879,0.1656711897598481
3400,0.29875037925058867,-61.55925641142311,0.0925160563157953,0.16887818538732105
3500,0.2986896592700034,-61.60010809390364,0.09260333822225122,0.17226694940296094
3600,0.2986654144071678,-61.68499442362032,0.09214455750450377,0.1723057413697784
3700,0.29860371979258926,-61.73729821677047,0.0919725692956329,0.17451030663579098
3800,0.2985991564011965,-61.76683012570182,0.09181896185010908,0.17613674757936285
3900,0.29855771098901623,-61.78326493396026,0.09162290670052645,0.17940565776107087
4000,0.2984919016671222,-61.82131357060603,0.09132582684801868,0.18235908795314953
4100,0.29847524953088206,-61.85719719128582,0.09107365982200769,0.1822483619928213
4200,0.29842886471946406,-61.94621385483409,0.09094063862012058,0.18659175369092973
4300,0.2984049210957343,-61.99003468546333,0.09069715033099944,0.18859992168074396
4400,0.2983836923627846,-62.007562442378386,0.09054113069315836,0.19042693362212007
4500,0.29834032863353105,-62.0686925115898,0.09033290322546689,0.19299296971202295
4600,0.2982924185249579,-62.06066482821037,0.09007571526647916,0.19373419449703366
4700,0.29824545321180296,-62.09763705880497,0.09001611580821194,0.1962344087232873
4800,0.29818401992862087,-62.17562797866608,0.08967702004798626,0.19664550037713596
4900,0.2981949891806939,-62.21297215921639,0.08968201215372584,0.20127962757845352
5000,0.2981416089775282,-62.23005137290552,0.08936152835622943,0.20128035105576814
