milliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,10234417.568433968,1667.8100200033064,36302.39342518909,1019599.9275178715,59996120200.262596,108894.85862130893
100,10194293.643407792,-588.8402974410776,2142310.640279012,911280.7661785297,60004746343.54109,357315.48097558395
200,9561484.43126628,-409.97252187626236,2573235.8966517514,876777.5219617106,60009459554.974205,442879.04662431095
300,9346668.567684432,914.9097439813322,2693058.966889271,817629.8466574304,60011679704.49821,439367.22466433403
400,8175205.458440356,1134.6673093531842,2648288.7818593327,780279.5399680228,60010909447.024536,431756.3758066056
500,7935305.218387011,-111.33589233921111,2681755.006154921,714651.5980382188,60013776669.28137,418160.69503031234
600,6732108.378915064,416.2654050081301,2593577.4266185267,688911.4506059199,60015004123.066376,405898.1709777672
700,6021756.16339346,-24.182059689227117,2641143.0218712445,689440.5232858767,60018058580.05126,370801.26393886283
800,5735611.665292658,1550.2885263700218,2618449.6957439915,669531.5250855167,60022594427.36328,363450.15218042507
900,4683200.311293338,765.3048391736529,2470919.4493106357,630332.8325729977,60023813834.80601,363954.6886089434
1000,4246523.776991031,61.84830934235606,2464464.4753293977,662039.7893429743,60033663420.055244,354985.7831672794
1100,3488681.792748162,1778.234498212493,2413758.64577383,635445.7894927576,60030760408.18143,341947.91238512367
1200,3019820.539697112,1856.2569021112024,2394745.530914781,628965.2504457023,60037397511.17402,348131.8726658907
1300,2477311.148491012,1318.2906616366183,2384333.114802542,657232.693427946,60037463422.20965,344425.3637361206
1400,1984688.8367946066,420.5722146100077,2207712.0814692597,650124.0737393595,60037677548.11595,355067.50353009446
1500,2150106.988127321,2099.1669033130247,2242156.2313345927,656635.9975275347,60043947406.42733,345512.5455885036
1600,1394557.0666304578,1179.778927368584,1999006.8163205518,671547.1245914367,60048318178.714165,350248.3274076498
1700,1277890.745933674,1536.7520791947677,1907522.7427974406,679432.6760310434,60054031644.90394,376992.14702162106
1800,830486.4938747948,2862.3360861750075,1841216.444498103,705744.5074234002,60052173352.66755,374199.49251806905
1900,1108655.6614561563,2353.518722569549,1676335.227037087,739000.0303190934,60056373351.34551,377155.51441459544
2000,963768.7732886598,3895.3719395078497,1592792.0020246066,749769.4379401626,60061046100.048195,385226.2583900989
2100,694793.3147316738,3530.555056671827,1403604.6023022048,755281.275111402,60065956893.20745,404553.12829167367
2200,445259.8249365813,4089.0302129829424,1311388.1911485358,814090.5227002322,60065568637.88816,404026.27380498307
2300,208100.3099515078,5743.875383266966,1222796.9882286706,828222.7021752966,60070015174.878944,427822.95966833405
2400,231258.9885402386,5967.299287875369,1057606.575613018,824893.7843009736,60066655028.74853,433243.73780787084
2500,457551.3365340247,6298.684313264259,917191.5293566276,882176.4889219918,60070323207.79307,449809.63638035837
2600,-55372.567700735875,6726.106232831079,747404.1003269338,912516.5341465538,60074208365.075935,465736.8033068062
2700,245033.5193201366,7568.195869457946,760758.8719707625,940645.8184549095,60077372395.86839,485850.79167201783
2800,-60291.83429480414,7309.728837635228,621716.7170068735,951702.7456687371,60084700716.62294,487367.4786803875
2900,193229.41665287683,9986.699602135166,599582.8858611855,961102.0404889625,60081389825.92186,511783.1224797789
3000,326659.4881395969,10010.787583512241,528734.4734062268,993670.8116160278,60091124184.88831,512684.01095764345
3100,270250.2456244765,11336.721576653088,378129.8969637474,1021078.0540563927,60089005952.241165,543974.1199089165
3200,258686.8722326844,11201.862441372617,437805.5099724505,1049434.3268661264,60091513213.05096,558821.7950804239
3300,14769.374831454268,12861.233542220463,272816.558454983,1102051.5338988607,60093442483.17434,577031.7730631932
3400,-38952.07823954511,15056.402074703972,279079.862148013,1120344.7940972587,60100967729.33992,587132.6223690297
3500,-114329.62102939277,15438.143629408594,237946.97891409005,1175621.5673363209,60104097347.56748,594615.3642781776
3600,150726.61384085845,15870.345053243791,196284.4452554747,1225488.6463758824,60104323683.29068,605321.3085216234
3700,-203733.3974466149,17258.69933634827,256621.28634684507,1251309.0926544778,60105635948.41026,611730.5482020527
3800,-28821.303394602553,18786.50360010497,209353.5491756536,1295614.2426956652,60114555399.23165,626388.6548909018
3900,-27171.66343378852,20318.689353011534,227397.37946781627,1343708.2521731548,60112080666.956345,632161.0494616062
4000,-187085.84901684948,21426.9210114741,119567.17681469304,1366786.7732522856,60117772202.85117,622849.7474788495
4100,-29353.48613559537,22713.87399446697,114423.97698353311,1358190.8218360485,60123121243.907845,589147.0643341743
4200,-287317.30119532906,23154.417209016967,92647.1653656667,1388708.2422921185,60125365114.73726,583924.5199931333
4300,189380.75844376776,24336.511070239165,58562.52611529317,1436597.5608646139,60123722581.73266,534635.8801698724
4400,-249584.3191298632,24794.723037248412,147038.8383089327,1432308.0665782124,60125066908.36772,513582.9639255521
4500,260761.15393403734,26141.927786749555,40146.32878454107,1439210.7305709529,60127654688.20298,453652.73939732823
4600,-51158.02280030123,27189.273569764115,4169.43092199674,1414074.0855032334,60136288429.10429,410188.77931003424
4700,309582.58179841813,29189.062230712887,139124.41138348257,1449688.3505502038,60140275063.920265,345936.9272004988
4800,969.5075485666148,29446.06926269236,165223.38167198136,1427357.2968180266,60141749998.8852,301354.5820001703
4900,-177443.28972282843,31112.556947089703,111763.73272493281,1436296.8210736366,60144164568.64394,265938.73786604987
5000,184024.96157706153,31191.650852159197,145045.71720538053,1432936.9193746513,60145536768.86615,221556.01337091145
