milliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,10269951.22840236,801.2330988054789,-18357.65564167015,1015355.8293312958,59997497537.01527,97145.38102769878
100,9893299.550064065,296.8573598927795,2110740.3834042293,937208.0766202935,60004739978.50599,361117.67136610305
200,9799218.857231772,-28.187583027211815,2501418.539822414,851601.5685206237,60003195790.51111,439172.45400894276
300,8804362.155413235,1248.6180463074968,2578985.695803249,802912.2053144585,60007897425.949234,451036.4381237819
400,8571061.897176636,-404.1196536543437,2582207.219529837,745102.205633234,60012468530.38438,425507.2943072073
500,7509783.493775687,1249.7610999275994,2562457.124388715,739688.623837601,60013700414.6357,405339.98568148946
600,6911617.522170708,796.4465525470002,2607598.1966123697,727841.5994891176,60021817822.83016,387031.00052520144
700,6372781.842466197,1485.2969788135879,2535155.175581485,694644.328057098,60024653285.15155,380859.60216869856
800,5675149.832000539,-176.9888400961063,2656587.576728094,692451.3154443915,60025984209.22509,366667.68929978943
900,4742094.652222848,314.1900385448792,2562019.3156622825,685232.4119450696,60028584312.911316,367218.43233777076
1000,4227995.316146798,557.7485157488904,2527733.2471648455,673854.5213705829,60026281015.30344,359737.02321833634
1100,4006761.5883033182,466.350583056752,2485736.0426281285,642408.6695348184,60032438901.67764,348970.8182820914
1200,3071505.1369466805,389.1694710695118,2466152.578026779,653617.4355074157,60033304322.161804,352623.8453023929
1300,2735274.170208512,319.699588323159,2356486.790321416,630287.8672126485,60035007664.60775,354332.56114097615
1400,2190862.0723833796,744.3496452462214,2180662.379649046,649056.9699914308,60044569845.784294,356260.9811404742
1500,1645881.3765465883,564.4454244197843,2192026.057332705,657538.374672619,60047493062.811104,345582.0742151242
1600,1768671.884895227,2420.141724279656,1966552.7936968338,658095.3510572353,60045847199.64897,352996.44591893203
1700,1620478.3679015301,1362.560542105049,1859454.9917685695,716166.0504832155,60054519465.67958,358442.3845279479
1800,1286012.5125707323,3058.742918642716,1714982.8361022922,698790.9677020139,60049714293.14894,365481.5849440051
1900,901869.7032417939,3679.713491412901,1705540.047345167,752283.9070807386,60058482159.52627,373286.78224369505
2000,499889.7743392319,3930.6141785339382,1549446.2142530247,749863.7826953111,60056504138.366684,391987.6389452696
2100,295240.6909630283,3943.7604625015233,1426369.1645619222,784953.0958952978,60065475140.29398,401193.9525371287
2200,237825.82230329118,3747.8110366055816,1285172.7765428778,786758.2737388274,60065174764.139885,402680.0536205455
2300,263047.17233709013,4218.121548818039,1151698.036644623,796242.1524287863,60066300909.53698,417102.87826489843
2400,551937.27711831,5745.367979519736,1076013.1454919605,858425.3691964993,60067975583.36613,447905.8084190377
2500,448822.02966061374,5235.307983380674,858736.1598638063,858832.8654499016,60075907401.210045,439065.14358809293
2600,379583.0158941327,5906.905224938434,894930.7086618613,899206.3935905184,60077538263.273636,463155.8809846231
2700,-99661.86562839069,8410.346612852016,677368.3564596744,918630.7381038317,60082474540.75792,484490.85242002184
2800,-134490.14608550753,9157.687529425495,713951.0574918565,933493.9017691015,60084637673.09397,490123.5443311098
2900,-187937.62095472537,8742.263597335368,516439.37240635825,978131.9766739663,60089714343.51104,501718.70906421694
3000,299491.70639492094,9751.27298118981,481988.4541952506,992452.5865891872,60086326435.10709,524613.0843727536
3100,46705.78528641659,10332.85771485887,533140.2224643984,1022271.1621231717,60095170333.130714,537254.3064529974
3200,-248659.2874605508,12952.54258024649,325133.80921131663,1090449.9988267564,60094058166.96334,550455.7421114409
3300,166065.5131378548,12400.652662949688,375976.2947702102,1093753.147855184,60095785425.26806,563152.4133632603
3400,340754.7606109458,13214.899188424277,407986.9264741078,1118232.9182850204,60096604304.59361,590150.6211427551
3500,328751.3030417356,14464.865794229818,376762.52769135684,1157700.0274350322,60101471663.70152,591230.5354207784
3600,-273016.12458318385,16231.271982248352,229873.62839400963,1240805.3140038208,60103383289.27574,612920.1166901721
3700,-654.7717989307712,16926.276187454983,143646.83947970715,1260715.326468205,60108955327.01241,623642.091885055
3800,239806.27254816354,18166.720964877837,234987.33000838652,1266185.177761716,60114202864.17269,617972.2158096257
3900,-108605.79157362241,20479.244349371314,219104.66842260008,1298783.6728311232,60117477385.21263,628468.1877607129
4000,-96392.55681126339,21172.978605613072,175978.09436813998,1359601.9103335706,60113082222.79065,605484.5924032233
4100,93757.35326352154,21761.42657731877,45194.33636959882,1379774.7817901112,60122391584.48487,594176.8910853517
4200,-299248.73786226235,22702.82933053884,197105.25314121105,1388809.7046360336,60118747192.59098,582216.1694176043
4300,-82706.30452358449,23656.048057997807,174169.713099989,1427688.5909650612,60122776909.78055,543111.5503611589
4400,-239638.28555471968,24788.834857485643,145580.250802941,1411928.2525541899,60129494794.561905,494325.54770121706
4500,8780.050770815042,26426.560201050008,20794.86209635307,1451414.3622562008,60134228278.107376,457438.24599946616
4600,300551.4478936828,28598.173115968722,-3838.276145820186,1468505.534043755,60131061969.55024,414359.9927865629
4700,-35608.63179149768,28549.041303741098,103453.02364041668,1425411.7909896509,60137584997.28535,363415.094357002
4800,6498.593915067354,29381.978100341585,1593.2104549480719,1433541.7048965709,60136614355.45082,293275.10847206524
4900,-74392.13212848149,31708.130381322873,74212.6857486326,1444783.5914987377,60144329944.23177,268338.9165072305
5000,-159018.11466060593,31166.790794833476,156280.58490596357,1392246.677998022,60146843094.616745,217767.74734862626
