milliseconds,Tumor_cells,NK_cells,CD8_T_cells,CD4_T_cells,Circulating_lymphocytes,IL_2
0,9726511.015452178,1058.3709366371022,38391.21674677164,1007130.337225425,60002230921.595985,106826.10223143201
100,10174092.782805763,1047.2552022790912,2026828.8896472608,943251.2670628893,60006142560.802505,367681.4427497278
200,9420142.598905522,-568.0912152531575,2447661.2525684065,829327.6609107096,60008366015.711716,421577.60379028914
300,8855223.476088695,569.1336533304135,2674551.0993047226,776407.8805238951,60011192139.29529,439595.0316454013
400,8414822.480215592,-597.3822740188239,2554287.185595733,749592.82457706,60007780111.68866,418585.90901886387
500,7763214.246778258,1375.3127843403765,2706791.7009333596,747223.9362219026,60012913637.368454,412694.66796459485
600,6853796.041255402,1473.1506640532584,2711400.038573392,707581.5636798418,60015382131.16049,385488.2383181244
700,6263324.535030196,26.779551298644265,2661375.368565653,661832.0468597019,60019300212.93559,379520.1125369051
800,5617461.156213576,-190.86228523920022,2563778.014264556,679805.0061392102,60025706902.71208,368010.66822075064
900,4731163.738147333,1148.4722241773177,2602285.574183558,678335.2117101788,60029938003.86021,353550.4494126456
1000,4466545.332239444,996.1073270562163,2540704.9381038304,675256.6861651355,60029326777.6385,346516.000458775
1100,3712418.301511633,314.55449946753583,2525737.2312140297,669049.4635752992,60035268129.625694,355416.41897934146
1200,3191092.2364562163,1912.669014375598,2332592.7411801326,626948.3809950113,60031937223.14746,345208.1509316826
1300,2880497.0555535457,1704.3371105007154,2259008.7049547015,675405.6173864084,60037587257.8869,352141.2132228762
1400,2296622.7329381136,665.9450824605965,2247536.2210278627,634703.0139707387,60041628342.94072,361459.6282695847
1500,1699105.427909945,979.3065348670749,2153891.3066742215,687375.6153532815,60043694442.66605,361258.1492640348
1600,1386871.8265427297,2265.094839684917,2100796.6002144185,671533.5477366989,60044385456.74138,364415.30392138945
1700,1060510.0546461504,1917.8672980859074,1884411.1992187405,705109.2207485338,60054140682.675255,377885.5925290212
1800,1277161.162258136,2541.5449659030837,1746265.00021805,722825.3826369769,60052881856.84507,379444.4612345315
1900,944636.3442362356,2448.580105606526,1740667.6510992425,744202.281289711,60059341770.7141,380690.67737259425
2000,828154.8149942306,2884.2674234386973,1578034.1836980432,744563.3424761755,60059087496.26194,402085.303670692
2100,683763.6299603772,3169.7887536805542,1514651.265898121,762403.535803725,60061240279.39696,406652.39744345663
2200,587290.9515822685,4461.0898506835,1218064.4940383502,794810.1317601339,60061153445.16191,416792.1453993082
2300,454411.81890722853,5735.518500703281,1241893.9620564266,818304.0395841076,60070410117.4535,426977.852793324
2400,525435.1751274599,4482.074429503486,985587.4847220646,859120.3275460168,60071094437.437775,427211.8120550441
2500,167478.04913551887,5748.075186981819,1030066.6225017707,871280.6414842145,60071927341.013435,456727.8719578113
2600,352290.88993183133,6241.938878312323,912746.9170467181,887348.9932576086,60078718659.744255,462271.9578768504
2700,280680.58860401786,7897.427367907447,798062.7152945439,926508.0304024374,60080512959.81858,484017.41837113386
2800,322302.99107455625,7411.021313821229,724767.3120250863,917333.2778191154,60081686197.631256,481551.82928938227
2900,414799.59571141616,9161.812160003736,655998.5466050846,1003631.4246105895,60084263976.58044,498158.86411485606
3000,-74230.7515564225,9612.027510172062,603605.3974319375,988446.5031709925,60086409764.89945,511804.20414262963
3100,-145728.24509603425,12032.078075766525,540725.9348667418,1021782.0428966283,60087984578.804,527912.0150293506
3200,1306.479706750324,11487.659779588575,371073.93613891874,1092545.8655460384,60098048677.84569,548276.5964658727
3300,256131.69643875043,13989.502009096796,394311.07816872303,1087902.3740026592,60100232028.242714,577731.8096674355
3400,242009.27241355623,14616.814237066126,228530.5508786948,1115821.8970631706,60100323474.895294,589224.5828890436
3500,146483.85010526396,14610.54353097864,221217.71936158696,1202936.3752610947,60100366122.78863,607025.2622346805
3600,-291751.03513121465,15956.429655929976,338802.73648958665,1218310.404526502,60104378885.196465,606370.9960437356
3700,92138.35066288442,17206.416676420464,277987.6864901802,1249253.821965919,60112686390.03626,607386.9425143905
3800,-247495.37943186384,17761.7480960293,231326.44972872472,1259484.5897098198,60114911170.83955,632972.2022870224
3900,40422.28001468001,19705.880537827143,180273.95948754426,1325622.5271745771,60114319114.19545,618703.2549181018
4000,-124010.93948273626,20544.191243656016,147133.5321832296,1371128.8587964473,60119025295.162415,611561.9189656939
4100,-134486.5989793103,21169.499366513228,195948.69151615983,1369588.6225259267,60117138742.59603,607501.5583875191
4200,-46416.35383794562,23668.424585090805,34253.93853482303,1379922.5806143915,60120261388.94239,575671.1316194138
4300,-181693.7582285819,24895.442603643383,49421.52220249083,1439433.4042133929,60123862534.92643,535719.0447778044
4400,-178322.48297612197,24436.16071721884,143114.80184587374,1405991.0609332272,60124450451.781586,502909.3513915178
4500,-137763.1333531282,26580.312178323322,104175.62245488155,1430728.3790871447,60134761411.18126,465222.48561278346
4600,277207.92468484637,27875.559071891967,57827.17492863652,1420976.9041226932,60133463549.27669,407331.6298822871
4700,-268195.0436058462,28161.569025598452,-18632.93219881205,1463352.2017909596,60140506716.51386,364408.68789416074
4800,-240491.0864188556,29385.921337164982,50637.837509298624,1408299.27011906,60136616892.51839,297073.0241804261
4900,-98554.39171498982,31911.749066176813,24708.280209606593,1402054.775096395,60139616492.13926,269109.40163710725
5000,-44146.094852687325,32000.978308780013,56234.48018905527,1402348.1999597752,60149214871.329155,209103.14681798013
