milliseconds,x2,x6,x5,x7,x8,x16,x15,x9,x11,x10,x12,x29,x30,x39,x46,x40,x45,x41,x44,x18,x17,x14,x22,x32,x13,x20,x21,x23,x27,x24,x25,x34,x36,x42,x37,x47,x48,x52,x51,x50,x53,x54,x55,x60,x59,x57,x61,x62,x63,x65,x68,x35,x28,x31,x56,x43,x58,x4,x26,x49,x33,x64,x19,x38,x66,x67
0,-0.0006390405567613583,0.00023658898578131897,-0.039897847545501255,4.339490683489141e-06,4.9338188833481535e-09,4.8332704908560735e-11,100.00000000003294,1000.0000000237283,1.4325006841348237e-09,2.709947801670019e-09,1.2276772205437468e-18,1.520816587831851e-32,-7.50413974590319e-42,5.1284120351314576e-11,-9.659413546337257e-12,1.965102261357632e-11,-1.8542219002644547e-12,-4.944797932550133e-13,-1.5272749118465164e-12,1.0622239036922279e-10,49.999999999986436,-4.826268729487696e-14,-3.7515121693104204e-27,1.3427509377816284e-43,2.9183952835240726e-18,-1.0072104684557169e-20,-1.972601485282493e-22,60.0,1.3479502500343263e-22,-2.4331896485266227e-26,-2.0575267974361173e-26,85.26736215379279,18999.999999999905,2.50785680025078e-11,8.955106246608551e-12,67.00000000000043,-1.6989745494727664e-14,6.082080110573027e-16,8.915882692604098e-16,67.0,41667.0,-8.330134852119351e-14,-9.352385907261966e-14,-8.322721398479048e-17,67.0,1.2704569013463777e-29,35000.0,6.070160088176037e-31,3.799158455662188e-31,-1.0052936215300633e-64,-5.500941203933807e-30,33.64072568850704,-5.7238037325830616e-24,-2.927959919346706e-41,3.3868016271756106e-29,-2.528733846229794e-13,4.383772133487084e-31,11.968185999344318,1.4799045318839485e-29,-4.560481399013981e-13,-9.752025785460374e-48,-3.3954803867140424e-64,1.0127787487927112e-19,0.21562651009603054,16667.0,3.7427178595139183e-63
100,0.014964391824965857,-0.0007802190475874639,0.06017058468106722,-3.698871757961189e-06,7.224069434102893e-09,8.708925271452845e-11,99.99999999978373,1000.0000000016512,-9.952669067206602e-09,-3.96507445009215e-09,6.426028799173782e-19,3.455767691947305e-32,-1.3123395196108925e-41,1.7234033858320837e-10,-1.3263302262487811e-11,-2.012595346155752e-11,-7.420114350334547e-13,-5.199340579035793e-13,-1.2418119970810346e-12,5.2062678786438265e-11,50.000000000005244,2.393412698841242e-13,9.266959581540792e-27,4.333726627559421e-43,6.8896187017567426e-18,1.129415615082044e-22,1.4819130896380057e-22,60.0,-1.3806267856902975e-22,-1.2096073640213725e-25,8.74973210236776e-27,83.40637834441038,18999.99999999995,-1.9971125597506787e-11,-9.027532550847216e-12,67.0000000000001,3.44046310656945e-13,-7.175488918869944e-16,4.234448958943735e-16,67.0,41667.0,5.5957796848377477e-14,-1.3236333725097962e-13,-2.314900757331059e-16,67.0,7.491965379290743e-30,35000.0,-2.8403836999247777e-30,7.454519327691592e-32,-6.014211583555839e-65,6.143281507262404e-30,32.75540358697869,-5.726605975912886e-24,-1.1591042331532098e-41,-3.7948832537118076e-29,-3.2594331597839643e-13,-1.2241983875364423e-30,11.923800980003074,-1.5620816759831186e-29,2.970001345132943e-13,3.079553113029235e-47,2.7710678671114696e-63,-9.831836572689131e-20,1.160880602230803,16667.0,9.830808359904954e-65
200,0.06247522536699972,0.0015969845112731064,0.15189947206946194,-3.963162832747726e-06,-4.994155246216447e-09,-4.993985723073544e-11,99.9999999999076,999.9999999862413,-5.274799681535823e-09,-1.2793762886908773e-09,3.0044944919364133e-18,2.052979164984168e-34,-1.1100000645970844e-41,9.686265226028111e-11,-1.578935945857019e-11,9.69473340538207e-12,-8.150056819831167e-12,4.2050023546728827e-13,6.066091926964209e-12,7.885424990756324e-11,50.00000000004767,1.4250754654658085e-14,-2.8704196135998655e-27,-4.1129360548339383e-44,2.196209800619969e-18,-5.89674484733091e-21,-3.3000795129011344e-22,60.0,7.011401015031671e-23,-1.2434751572814096e-25,-3.980867500320276e-27,82.30036433098594,19000.000000000065,4.7018445140742135e-11,2.1553222434861714e-12,67.0,-1.632490483328311e-13,2.3275263460899948e-15,-1.1678911301435815e-15,67.0,41667.0,1.1101927417275442e-13,1.1355291918132211e-13,-5.117189428133025e-16,67.0,9.239524036711136e-30,35000.0,6.964354631305752e-31,-8.309144926818338e-32,1.046902505699999e-64,-3.7084640156101154e-30,31.546967840052066,5.258366758149943e-24,4.5737143448147183e-42,1.3811987737653878e-29,-1.0161948311386227e-12,8.311482283317854e-31,11.845022346531964,-8.209232974490088e-30,2.501971305260013e-13,-9.950145607466758e-48,6.203778604424717e-65,9.049167540118587e-20,2.139871323060627,16667.0,-2.2215723207670965e-64
300,0.086466389715222,0.0006119240667643732,0.3159176448735046,-6.610259839002554e-06,4.509800699681294e-09,8.819643782056076e-11,100.00000000032317,999.9999999966543,1.710362980983824e-08,2.440018340757455e-09,-1.9858763043101347e-18,-1.5464960853315943e-32,2.0117228875423053e-41,-1.6611938721600956e-10,-8.456183106896647e-12,2.163637034853081e-11,-3.0237400011531255e-12,6.330767260156654e-13,-5.883676606559778e-12,4.392685624380832e-11,50.00000000007288,3.5667211669598285e-13,-8.737761631214183e-27,-7.240180931110836e-44,8.298848317531691e-18,5.663205043330302e-22,6.422565908242828e-23,60.0,-1.1936766482261797e-22,1.4654271827685887e-25,-3.021673573826222e-26,81.57023066819342,19000.000000000004,-6.950625963766294e-11,-1.706806950694524e-12,67.00000000000013,2.8751381219252765e-13,-5.705993242121509e-16,9.180228473240047e-16,67.0,41667.0,-4.6856089006602083e-14,8.73829172287198e-14,-2.9112361592370526e-16,67.0,1.1710488921153605e-29,35000.0,2.4912899722184292e-30,-1.1994148497829695e-31,1.5038609167426897e-65,2.9587852878250482e-30,30.423053035836706,5.969782471786305e-25,2.3868726229074626e-41,5.466733929692512e-30,-9.806103687738531e-13,-1.411253377783215e-30,11.747208408860196,1.8870946847908228e-30,1.6149898301589011e-13,-3.222562183312804e-47,-1.8070107363702667e-63,-4.9038505436945254e-20,3.4145004653061592,16667.0,3.9685371591580933e-63
400,0.12222809717677581,0.0007090329320971219,0.38799578055003675,6.812126447027316e-06,6.7967835843666314e-09,-1.8543904961889133e-11,100.00000000012776,999.9999999874925,9.360776630952434e-09,1.4839249772692303e-09,-1.8637177409724215e-18,-2.666090337722074e-32,-2.5835144352349405e-41,4.96239799184848e-12,-1.8143463736363413e-11,-2.4508052338703575e-11,-8.764483814811322e-12,-8.37462421207475e-14,1.1456487035086379e-13,1.427925828259961e-12,50.0000000000253,4.316809900848723e-14,1.0137170341347192e-26,4.8855423419424076e-43,3.881029865113933e-18,7.861515024259817e-22,4.1826613778871094e-23,60.0,-1.0519626698378734e-22,-1.4455883546032016e-25,2.909544217674846e-26,80.0021810250351,19000.00000000007,-4.0301029958352186e-11,-1.5607961943066934e-11,66.99999999999977,-1.827716095700937e-13,-5.947375550741934e-16,-6.969288419127094e-16,67.0,41667.0,2.289065020598355e-14,5.20348071114211e-14,-3.755995300377564e-16,67.0,-8.189794477610658e-30,35000.0,1.5987251411609504e-30,-4.98444491358827e-31,1.2598135657069424e-64,-7.428060313518105e-30,29.583592820396348,3.149898630222465e-24,-1.7449153272564884e-41,-1.5445814604080822e-29,-1.7527404781525715e-13,1.4275594957676562e-30,11.634173199390577,2.8560541799612795e-30,3.858237318689609e-13,2.851764792777125e-47,-8.96905246262784e-64,-7.896915880766772e-20,5.064304537355141,16667.0,1.9532750088809854e-64
500,0.16727753402818094,0.002298279575175573,0.4158046219346432,-4.2528789063350675e-06,3.6617754350660005e-09,-8.55232764901778e-11,100.00000000011892,1000.0000000192127,9.013665953769895e-09,1.4796693930330232e-09,-2.8678082996153917e-18,2.4648796683107207e-32,-3.446423535706865e-42,-2.3550076075072953e-12,1.4775111889417273e-11,4.1496332305715774e-12,-4.431432319486747e-12,-6.908799490053592e-13,-3.5405016093690202e-12,6.19402719442431e-11,50.00000000008848,-3.517547800112472e-13,1.2200469214558438e-26,1.0640302718281833e-43,7.128708309873121e-18,-7.306424257660715e-21,4.98537328899294e-22,60.0,1.039778145746523e-22,-1.3929508270075778e-25,2.68159719168168e-26,79.0666844959276,19000.000000000022,8.717094789447127e-12,1.2586998078558496e-12,66.99999999999987,-1.5994158786230524e-13,-2.279607426573773e-15,-1.1436943788698032e-15,67.0,41667.0,-2.4820399593476056e-14,3.627950666254661e-14,8.406062904432207e-16,67.0,1.2374064808953126e-29,35000.0,1.2053490301749165e-30,-2.639964478074996e-31,9.305601713945002e-65,-4.076105045043875e-30,28.404185242314995,-5.682661995358413e-24,-3.427129162821499e-41,3.7515238987350674e-30,1.4567309961877842e-12,-1.46151183242079e-30,11.49366050692786,-7.466836733608373e-30,9.654564686853332e-14,-3.4785906251844414e-47,-1.441420959046249e-64,-9.156864344054108e-20,5.778357035566459,16667.0,2.4295321029671746e-63
600,0.17154410078832552,-3.1215468598760996e-05,0.57402909270479,3.952032459628655e-06,-1.2363208999163762e-09,-9.231623776115166e-11,99.99999999970879,1000.000000015304,-8.210294673211488e-09,2.7058256987694756e-09,5.254384023695783e-20,1.0510045730094677e-32,-2.2749900853968863e-41,-8.590048822140893e-11,1.991587054387054e-11,3.402503470135861e-11,-3.870275287805983e-12,7.061084575408743e-13,-1.5884666659233858e-12,-1.023069944297571e-10,50.00000000006912,7.577502927680832e-15,-2.157682760545699e-27,1.2007825074311263e-43,4.927982402140808e-18,5.840422939238478e-21,4.866201401059603e-22,60.0,1.4331110729298896e-22,-1.498264543074039e-25,6.059200844321717e-26,77.99021914813683,18999.99999999992,5.206241379281328e-12,1.0507899418542892e-11,67.00000000000021,-8.493370486050656e-15,1.713025221815512e-15,1.1877057703725379e-15,67.0,41667.0,-1.0290368081093325e-13,3.802780516650301e-14,-5.641499325258272e-16,67.0,9.58953206168361e-30,35000.0,-2.5594486673393163e-30,5.365688657627832e-31,-5.524896066461702e-65,2.2719978994980478e-30,27.481558123677146,-1.757846065569776e-24,-3.1066571767059706e-41,-2.0147098095630877e-29,-5.809695087908483e-14,2.311470466652948e-30,11.447126021431805,1.5488383417591244e-29,2.3890851152526705e-14,-2.138714443630768e-47,-2.1101900161182523e-63,3.10923188113062e-20,6.893654336891086,16667.0,3.1183322639698745e-64
700,0.20749257944288557,0.0014945842855055762,0.6471684102778127,-2.7844824327223806e-06,3.155502242950357e-09,7.717189623654831e-11,100.00000000009489,1000.0000000230749,1.9695378591781785e-10,4.3779207127005385e-09,-1.68493685615939e-18,3.3147771756669364e-32,-1.0927295087824811e-41,6.373514412225889e-11,-6.101972554648409e-12,-3.421661937903621e-11,-4.3667072897158954e-12,2.740067753718922e-13,5.904636721124081e-12,7.814894703145941e-11,50.000000000015845,4.41573776370701e-13,9.948035601586402e-27,3.2109564584703788e-43,-2.324431009242721e-18,2.8269765214949236e-21,2.4606698544219524e-22,60.0,6.248943091576558e-23,1.4178911084649435e-25,6.09201779560954e-27,77.62812071007285,19000.00000000009,-4.6384300157478057e-11,-6.858594094294173e-12,67.00000000000021,1.3485401174758116e-13,6.6390278897275735e-16,1.6588263923156797e-15,67.0,41667.0,-5.2659574892822455e-14,1.1385811275706884e-13,6.511537633325066e-16,67.0,-1.5854988424804497e-29,35000.0,-1.9409859837628872e-30,-1.6871812698777532e-31,1.636784323276062e-64,1.757727012865268e-30,26.525989575831378,-4.349661842772107e-24,-2.0287819875933797e-41,3.364744103112581e-29,1.4043943817615405e-12,9.927635416714151e-31,11.333110882792306,-3.2419690361520374e-30,-3.34406591839204e-13,3.800849184128378e-47,4.043665531374267e-63,1.7416369478162316e-20,7.8991943887910105,16667.0,9.236305660931893e-64
800,0.22555334486806805,0.0014495795553376323,0.6984540877841836,7.416284710101404e-06,1.3129033483141655e-09,-6.891140831775295e-11,99.99999999977535,999.9999999860531,-1.7469496013199224e-08,2.5130051268812634e-09,1.342683972204811e-18,1.1863583028089157e-32,-2.1260407137164992e-41,-1.4536246218006286e-10,-5.377408136702766e-12,-7.100671527022696e-12,-5.944661848045096e-12,7.904248631188172e-13,-1.9982242473007307e-12,7.499114974020308e-11,49.99999999989237,-3.8441247150586185e-13,-9.244276685227865e-27,-4.660148091083813e-43,-1.5900149383000303e-18,-2.9714292695119523e-21,3.131678502059121e-23,60.0,-9.764877921701487e-23,-7.748801993367884e-26,-2.837773678139856e-26,76.1180566527677,18999.99999999995,4.6648189003907495e-11,1.752710578300783e-11,66.99999999999991,5.911299391760726e-14,1.0841646156640533e-15,9.909520649826367e-16,67.0,41667.0,-4.1968174881390664e-14,-1.4903323017714194e-13,-2.111730339811486e-16,67.0,5.705889981999388e-30,35000.0,1.2814243369157732e-31,-4.963229342815887e-31,1.657718419939545e-64,1.0263542778877901e-30,25.567164214852543,-2.580405381670972e-25,4.758951081016297e-42,3.610418257570339e-29,1.1510771252625478e-12,-2.139020648029069e-30,11.230678912938139,2.839963516569896e-30,-6.170054732564755e-14,-1.5210955127823852e-47,-5.538413138524224e-63,5.537050156030115e-20,8.645493391113767,16667.0,-1.8710106766725693e-63
900,0.28293604527341154,-3.3667562180135155e-05,0.7826917145399447,1.8882374511401162e-06,-6.677637323703802e-09,6.612285372750156e-11,100.00000000040852,1000.0000000109081,6.441473661582999e-10,4.499278636434679e-09,2.5330443390106972e-18,-1.4895042459151002e-32,1.7180003514415017e-41,-1.075371973869136e-11,1.800596420462181e-11,2.3970339642109427e-11,7.83517935690254e-12,1.5678582121670737e-14,-4.2625316036972996e-12,8.186248653437118e-11,49.99999999993354,-3.4091540487402004e-13,-8.246808892970841e-27,-2.7677037810871194e-43,-4.879430725232902e-18,8.610892557680282e-21,-3.0362914755977673e-22,60.0,7.578218990599867e-23,1.2615820638209316e-25,2.098582435609215e-26,75.71460798362276,19000.00000000009,-2.0969316944617036e-11,-6.056223415872469e-12,67.00000000000026,2.418052564285444e-13,9.356824454782856e-16,-1.6857914292823836e-15,67.0,41667.0,7.07883205618545e-14,-8.530605024666193e-14,-5.176983037181938e-17,67.0,1.1013609229658371e-29,35000.0,1.177374836255153e-30,4.812712484678417e-31,1.2991038284660204e-64,7.273316205920223e-30,24.597961998761892,3.450342140473491e-24,2.7533750404285687e-41,-2.773874938828325e-29,-1.6170334885509671e-12,-2.967744220045097e-31,11.146929245723324,-8.439017727386569e-30,2.683756827152792e-14,-1.680988972798967e-48,-1.6501271017133154e-63,-9.981136346406789e-21,9.113760321506007,16667.0,6.225135361893519e-64
