miliseconds,bi,ci,ni,bl
0,14.999990530332674,60.00022391096908,13.99328345963574,32.000524562049236
100,14.999087655815865,59.999486216619154,13.927720101351396,31.998026169971638
200,14.998558807042931,59.99865956422613,13.869599500694237,31.99442735254659
300,14.998182186729567,59.99797803630468,13.804963220679014,31.991853102470674
400,14.997926900110548,59.99776157986796,13.744776614655391,31.989973487625235
500,14.997801314056158,59.99728552368606,13.715107944162146,31.98780807620908
600,14.997673218542538,59.99663909426985,13.657112185052162,31.98533369622825
700,14.997590190451819,59.99612769612219,13.605293099278416,31.983714625000694
800,14.99746778198237,59.99565340460726,13.589697400449422,31.981996147815707
900,14.997372731386756,59.99500865613383,13.54666708703467,31.979538891295633
1000,14.997309954151794,59.994144712722914,13.503194396290896,31.979038162967885
1100,14.997242732247248,59.99356173637159,13.487900244797398,31.97695545598065
1200,14.99722171215772,59.99304972957093,13.454035758948555,31.975086352134873
1300,14.997196085728923,59.9930881878465,13.418580840021482,31.97363781500554
1400,14.997089082258556,59.992519427063314,13.388412430033455,31.973103263996375
1500,14.997040387898728,59.991601433799225,13.370576332158947,31.970713465232116
1600,14.997024692866644,59.99171215581637,13.345319304962239,31.969812499290654
1700,14.996990647547678,59.99115374419685,13.325677428939814,31.968703295984813
1800,14.996952121764327,59.990328871832226,13.317115760247942,31.967707160983522
1900,14.996880834039366,59.98967575432256,13.30332337621399,31.96640739088318
2000,14.996896306697419,59.98975350074475,13.290193472459967,31.96599172993303
2100,14.996798329429051,59.989259994300184,13.274021267114328,31.96509942354303
2200,14.996818486096045,59.988537702157686,13.254144634171762,31.963311487913035
2300,14.996790315956082,59.987881310368415,13.229192545434548,31.962770380037654
2400,14.996711141503987,59.98801110137835,13.22242671522404,31.962528026036413
2500,14.996675618336472,59.9872794046081,13.214353459908082,31.9606173561202
2600,14.996701270073508,59.987170292368724,13.200868638098031,31.96048416424591
2700,14.996686822630519,59.98671769082949,13.18891194789891,31.95958308221985
2800,14.996596040323865,59.98586078389083,13.198395048710946,31.958463390791167
2900,14.996617217134878,59.98575724698879,13.1745343567111,31.95886093510742
3000,14.996607588040403,59.984856231920496,13.16103149024074,31.95778840677681
3100,14.996568512912331,59.984457971763234,13.161849523771167,31.956958839443274
3200,14.996557644720088,59.98440369558095,13.158497906993876,31.95685800668217
3300,14.996551671395231,59.984079979041965,13.162819598700631,31.955860953159025
3400,14.99648250391668,59.98345964798498,13.137456946065521,31.955963741593198
3500,14.9964678170183,59.98281251629844,13.15234066127263,31.9548848839984
3600,14.996490814258063,59.982980108315495,13.127890332100048,31.955625608270026
3700,14.99643292748192,59.9821275783594,13.121227987148725,31.95501769947968
3800,14.996422726309328,59.981641063391265,13.131463414444875,31.95395985776354
3900,14.996393013725173,59.981378766678965,13.11754951076318,31.95364559939355
4000,14.996397724376274,59.98107660047526,13.117413218526496,31.95361259136337
4100,14.996366918412019,59.9805087836149,13.110760299368577,31.95321519006701
4200,14.996392380499685,59.980207601769386,13.105218349841246,31.953372929025896
4300,14.996367236589325,59.980013935713444,13.100079692834118,31.953065288614685
4400,14.996344681329147,59.97953163120978,13.115403517451316,31.952925357003092
4500,14.996333401452585,59.979024807163356,13.117851521526624,31.952102451590722
4600,14.99631921707481,59.9786760438989,13.095155445759643,31.952153300657194
4700,14.996318115890187,59.97870790821574,13.095552347912621,31.952389302095067
4800,14.996305045265073,59.9781054025827,13.107927043925468,31.951944171263957
4900,14.996327376377986,59.977580236728684,13.091575628497342,31.95146990507841
5000,14.996263799511356,59.97728822703375,13.089292364070387,31.95173189324477
