miliseconds,bi,ci,ni,bl
0,15.000028799750552,60.000200619599056,14.000043940339662,32.000404741571195
100,14.999140164353655,59.99960536965434,13.928436549936865,31.997888299586176
200,14.99856260307804,59.99871501739899,13.86001134175246,31.994473864019806
300,14.998196554144556,59.99791088330757,13.807325132865678,31.99311350801763
400,14.997963496455196,59.997778887818114,13.76334338227927,31.99026525182252
500,14.997792575422022,59.996823823640604,13.698865296267197,31.98803546394822
600,14.997657151515043,59.996538984218496,13.654287615440579,31.98617520033683
700,14.99753285841727,59.99586924965728,13.627366861778826,31.98445339869687
800,14.997452151262008,59.995704173290264,13.58826274544751,31.982390910858697
900,14.997420222658356,59.994778802117196,13.543039055649338,31.980711789419903
1000,14.99733576527421,59.99431275619736,13.498564160007637,31.977983139294945
1100,14.997309948239403,59.99386184025559,13.47431448626801,31.976786396157472
1200,14.997252887220963,59.99330318593396,13.449187583014396,31.975345172257146
1300,14.99717290026544,59.99294018472524,13.414752592818644,31.974360404082237
1400,14.997097961776971,59.99259132288723,13.393286234461897,31.97196086104079
1500,14.997107589442077,59.99215743880439,13.3798870430574,31.97091380296872
1600,14.997020759630697,59.99122980719496,13.357735689684407,31.969242987153102
1700,14.996983076555656,59.990845307393194,13.342470146973156,31.96931671101844
1800,14.996978663484176,59.99059262118356,13.319348422374851,31.967130272651744
1900,14.996897233651266,59.99003219548579,13.300466651063902,31.966177342445736
2000,14.996863992497051,59.98923435258546,13.282896962736775,31.965243414751534
2100,14.996868643348554,59.98883239618544,13.276843964480328,31.964251935612694
2200,14.996763872555439,59.988638127974454,13.252729403102824,31.96369996433691
2300,14.99676426270035,59.98835180290944,13.238003585256472,31.96317242353252
2400,14.996761552255544,59.98764214326135,13.21738903912868,31.962261581876756
2500,14.996738458051132,59.98759399826393,13.21757768901146,31.960848711749566
2600,14.996653265653709,59.986517892956584,13.207301908231148,31.96033062866333
2700,14.996654466273554,59.98670950793454,13.205794065437248,31.960037111304718
2800,14.996596369122313,59.985745129728436,13.183169253268675,31.95947367906309
2900,14.996574086964005,59.98580266426883,13.18601651223121,31.959094239950232
3000,14.996579848025071,59.9849743465063,13.164137966578046,31.958020506221953
3100,14.99659420997284,59.98484140604605,13.157313969850255,31.957388897002087
3200,14.996536337649012,59.98461397451267,13.163089528359773,31.956460995714608
3300,14.99650837419514,59.984210898160036,13.145071121764806,31.955863112831754
3400,14.996482928752176,59.983639118043214,13.144282090054793,31.95562662461647
3500,14.996460522552807,59.983173263570094,13.1339229762696,31.955565901589676
3600,14.99645547225238,59.982580527801595,13.132465342695042,31.954609581289223
3700,14.996460695638413,59.98246173939778,13.137648531914445,31.955354542733918
3800,14.996420713766664,59.981641189696596,13.117259740920508,31.954107017438883
3900,14.996440786426769,59.981188586185354,13.115924485805257,31.95438206361745
4000,14.99638122257721,59.98135689722507,13.121192798620495,31.953244483647698
4100,14.996404027555815,59.98094855135915,13.11193775445039,31.953359649324902
4200,14.996366195716947,59.980511406066185,13.101849867461636,31.9530341508369
4300,14.996400866578421,59.97968140634327,13.113796765774474,31.95325915755446
4400,14.996336277892883,59.979346716858124,13.104631817319083,31.95260474786938
4500,14.996340017318953,59.97897595182914,13.104977586457577,31.95268976772741
4600,14.996339534605026,59.97879152279657,13.11473215437757,31.95261813630147
4700,14.996302358988785,59.97864791882849,13.095965137825056,31.951681368903394
4800,14.996302419918786,59.978194087685466,13.105368102077115,31.95251894613164
4900,14.996302625883645,59.97751945116995,13.105514549503077,31.95227200402288
5000,14.99629141040052,59.97713694754417,13.10330735799456,31.95148642955386
