milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,ROS,basalROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AggAbeta,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,IR
0,5.0,5.0,95.0,10.0,10.0,0.0,200.0,0.0,0.0,0.0,10.0,0.0,100.0,100.0,0.0,0.0,500.0,4000.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0
100,4.997716785359855,5.003721675644853,95.00277403434242,9.999750116797696,10.0,9.99982666899264e-13,199.99999999999895,3.2938279687130955e-17,3.290939017445675e-13,-5.205978985550563e-26,10.0,9.999990000006667e-10,94.83534238494428,99.97390627876406,5.164657615055706,0.026093721235940913,499.9999999951827,3994.8092444896974,200.0,200.0,200.0,4.154159820037009e-06,1.8662283969524867e-11,5.861425207763744e-17,1.3521418331835986e-22,3.357242991710517e-24,1.9932763915992594e-08,4.0835165508146575e-14,5.848574056644485e-20,6.305104109442243e-26,1.0108039949750128e-21,1.4472833791556238e-27,1.5598303696230746e-33,1.2534787272442786e-39,3.2268560412308797e-29,6.256215352036101e-31,1.123400455389737e-44,499.99949986416624,0.0005001358337081929,8.248159815205957e-22,1.250222234450264e-09,-2.602726386234114e-23,-2.0834047178207458e-19,5.205452772502654e-24,0.0009980574283471896,4.909758694712083e-06,1.627501286945366e-08,99.99900501171953,-5.019611891892661e-13,-8.374419230572823e-17,4.817375039341945e-09,50.0,1.674883846124867e-17,0.0
200,4.9954326164174425,5.007442254763787,95.00552450449419,9.999500467159077,10.000000000000004,3.999861337015688e-12,199.99999999999594,2.6040289658913995e-16,2.599447587075375e-12,-8.335891722100409e-25,10.0,1.999996000005334e-09,89.99345299404209,99.89786764325943,10.006547005957893,0.10213235674057607,499.9999999808622,3989.8912877820594,200.0,200.0,200.0,3.269638848712998e-05,1.1277151817819246e-09,2.732430459766624e-14,4.776697530865315e-19,2.2940792653485496e-20,1.5683148142601885e-07,2.466856057679429e-12,2.725733584251428e-17,2.2772557453677216e-22,6.126631437186404e-20,6.765613729529836e-25,5.649169695758271e-30,3.5382008344249275e-35,4.219455874197762e-25,4.364946034739696e-27,6.37239555817186e-40,499.9989994567752,0.0010005432247858787,1.3081758842583044e-20,5.001777593614646e-09,-4.167112900823173e-22,-1.666777394614972e-18,8.334225801859991e-23,0.0019768004593970698,1.9137600566670728e-05,1.2615103317654071e-07,99.99801991664047,-2.000075925458428e-12,-6.679801790919493e-16,1.9137842279942766e-08,50.0,1.3359603582162182e-16,0.0
300,4.993147386413646,5.0111617406589515,95.00822845871225,9.99925105103673,10.000000000000012,8.9995320180204e-12,199.99999999999093,8.6860143825947e-16,8.663042810683825e-12,-4.220486623012153e-24,10.0,2.9999910000180015e-09,85.45351924281208,99.77513656627217,14.546480757187892,0.2248634337278453,499.99999995723,3985.228546693079,200.0,200.0,200.0,0.00010856621728941231,1.2416954584976572e-08,9.58963060896515e-13,5.157921801073877e-17,3.2224918850582496e-18,5.205825260473142e-07,2.7155100441280182e-11,9.564187530209518e-16,2.4924059471000412e-20,6.766800264546952e-19,2.380834090973187e-23,6.19907979435807e-28,1.199429826471651e-32,7.721485299083444e-23,6.21112657447184e-25,2.512980378815661e-37,499.9984987779916,0.001501222008433852,6.560124201065138e-20,1.1255998435327075e-08,-2.1096105456993792e-21,-5.625560969197878e-18,4.2192210916403097e-22,0.002937045693233707,4.197323117646865e-05,4.1261991650567895e-07,99.9970445256461,-4.4835035016915416e-12,-2.248031775908236e-15,4.277006423567645e-08,50.0,4.496063552059847e-16,0.0
400,4.9908609960073544,5.014880136664661,95.01086445303059,9.999001868383393,10.000000000000027,1.5998890722649364e-11,199.9999999999839,2.035067416369379e-15,2.027876130676778e-11,-1.3340216422041742e-23,10.0,3.999984000042667e-09,81.19607326374829,99.60881668568335,18.80392673625167,0.39118331431665376,499.99999992446953,3980.8046354259886,200.0,200.0,200.0,0.0002531707958007647,6.748823812717177e-08,1.2041546948065758e-11,1.4945529113096729e-15,1.2053541401917884e-16,1.213633052734254e-06,1.4756347502673306e-10,1.200777209724494e-14,7.344245301482726e-19,3.6897749339572176e-18,2.9983420998274255e-22,1.8319806109366893e-26,8.790038437343553e-31,3.648105590854877e-21,2.3570169076782106e-23,2.330156099960424e-35,499.9979978279798,0.0020021720202175147,2.0538913131286659e-19,2.001421628103661e-08,-6.6674413612623126e-21,-1.3335107351307538e-17,1.3334882723873068e-21,0.0038795599719114865,7.275878972760294e-05,9.480784546359868e-07,99.9960786575351,-7.942394732850817e-12,-5.314055139297735e-15,7.553050810980626e-08,50.0,1.0628110279612537e-15,0.0
500,4.988573352924124,5.018597446145072,95.01341248141505,9.998752919151967,10.000000000000053,2.49978334693805e-11,199.99999999997493,3.92908171933215e-15,3.91168985025477e-11,-3.257282083994235e-23,10.0,4.999975000083333e-09,77.20290656999398,99.40186342050723,22.797093430005962,0.5981365794927789,499.9999998827571,3976.6042807252024,200.0,200.0,200.0,0.0004864301315392261,2.491396943785622e-07,8.520319910648593e-11,1.99134596284011e-14,1.995302014355712e-15,2.3312865605047312e-06,5.446752041894774e-10,8.495790610104601e-14,9.961506955032705e-18,1.3667279828114608e-17,2.1280123799959884e-21,2.491918606804851e-25,2.324524206642343e-29,7.44329883583952e-20,3.9645289692930375e-22,7.588692416310759e-34,499.9974966069039,0.002503393096070259,4.967809599961138e-19,3.1277761816406615e-08,-1.62782715141948e-20,-2.6045996525165946e-17,3.2556543033503573e-21,0.004805063824837329,0.00011088488022249594,1.7953217163671492e-06,99.99512213854459,-1.2367785453016968e-11,-1.035150536628316e-14,1.1724297821604298e-07,50.0,2.070301073564459e-15,0.0
600,4.9862843716033485,5.022313672491947,95.01585390546978,9.998504203295505,10.000000000000089,3.5996256281645766e-11,199.99999999996393,6.71207854202443e-15,6.676351039746996e-11,-6.755140891161457e-23,10.0,5.999964000143999e-09,73.45698916151187,99.15708573407213,26.54301083848811,0.8429142659278709,499.9999998322619,3972.613242668529,200.0,200.0,200.0,0.0008268166190890432,7.199400099214167e-07,4.182499372936909e-10,1.6296353406511657e-13,1.9611139699178447e-14,3.961986071223904e-06,1.5738773259235297e-09,4.1705351080273154e-13,8.301127193199798e-17,3.9634162175199975e-17,1.0479434215497548e-20,2.082480755931116e-24,3.3095810906559186e-28,8.749670472630726e-19,3.960999084008356e-21,1.2903295092357378e-32,499.9969951149277,0.003004885072295805,1.0206281581763983e-18,4.504796489496845e-08,-3.3755451743225437e-20,-4.5008973963249604e-17,6.751090350163521e-21,0.005714234704472245,0.00015578687707051378,3.008458775944164e-06,99.99417480189948,-1.775149914043079e-11,-1.7841557139517116e-14,1.6773817596059316e-07,50.0,3.568311428663193e-15,0.0
700,4.983993972855097,5.026028819122541,95.01817138596934,9.998255720767231,10.000000000000142,4.8994055188068603e-11,199.99999999995094,1.053802764199277e-14,1.0472450701501498e-10,-1.2516303745090556e-22,10.0,6.9999510002286665e-09,69.94239430420654,98.87714875007336,30.057605695793427,1.1228512499266396,499.99999977314684,3968.8182419476725,200.0,200.0,200.0,0.0012913887545062078,1.7567836178096094e-06,1.5946136361808116e-09,9.545168609010171e-13,1.3481687099763543e-13,6.187579356850414e-06,3.8407379556269866e-09,1.5902558524214706e-12,4.953203816872349e-16,9.707304058795875e-17,4.0088258607496224e-20,1.2462005720722322e-23,3.1200705161520396e-27,7.047287632237963e-18,2.769568339950441e-20,1.4276690068310335e-31,499.99649335221443,0.003506647785570919,1.873531062858589e-18,6.132615453944551e-08,-6.253774364008914e-20,-7.147494947343837e-17,1.2507548731825633e-20,0.006607709949956165,0.0002069415415700674,4.633744898920724e-06,99.99323648739801,-2.4086059120683675e-11,-2.8261475338678264e-14,2.2685329388099617e-07,50.0,5.652295069364776e-15,0.0
800,4.9817020835237615,5.029742889477585,95.02034881564558,9.998007471520518,10.000000000000211,6.3991126222503e-11,199.99999999993597,1.5553798637358952e-14,1.544295534342664e-10,-2.1354951585680456e-22,10.0,7.999936000341334e-09,66.6442278559462,98.56457710337075,33.35577214405377,1.4354228966292457,499.99999970556854,3965.2068924434507,200.0,200.0,200.0,0.0018958210872945015,3.7876718139962017e-06,5.050517983165087e-09,4.363182181582029e-12,7.096663561564944e-13,9.083571695841545e-06,8.282050663116982e-09,5.0379791301612e-12,2.307004172591606e-15,2.1010578130808703e-16,1.2741909203139166e-19,5.821122796997433e-23,2.1439383128461262e-26,4.26640130032266e-17,1.483128306421418e-19,1.1314515890387117e-30,499.99599131892705,0.004008681072947804,3.167108051713309e-18,8.011365894354239e-08,-1.0668940934496174e-19,-1.0669499659132173e-16,2.1337881877430746e-20,0.00748608954043173,0.00026386389529275966,6.7103433343568895e-06,99.9923070410244,-3.136460887948932e-11,-4.2084944520525263e-14,2.944316368655083e-07,50.0,8.416988907256558e-15,0.0
900,4.9794086361605805,5.033455887019379,95.02237125365558,9.99775945550892,10.000000000000302,8.098736542401172e-11,199.99999999991894,2.189950801690986e-14,2.1723578569127477e-10,-3.4210818677738754e-22,10.0,8.999919000486e-09,63.548561891734785,98.2217588626142,36.451438108265194,1.7782411373858018,499.9999996296779,3961.7676386667017,200.0,200.0,200.0,0.002654431460481182,7.429208606431128e-06,1.3875525537978203e-08,1.6477410377737922e-11,3.0294322920759697e-12,1.2719367403940247e-05,1.6249094453661776e-08,1.3846384907148501e-11,8.873608638051775e-15,4.1378608136336284e-16,3.5136619799370876e-19,2.2454662177107663e-22,1.1547974822788257e-25,2.056487594967895e-16,6.438433975412175e-19,6.863111687071067e-30,499.9954890152281,0.0045109847718562725,5.027299367517124e-18,1.0141180547388533e-07,-1.709002890980277e-19,-1.5192035214117205e-16,3.4180057836620507e-20,0.008349938648863632,0.0003261043297892525,9.271022796640669e-06,99.99138631458791,-3.958083973718443e-11,-5.97823612384921e-14,3.703222686228208e-07,50.0,1.1956472253334149e-14,0.0
