milliseconds,EGFR,pEGFR,pEGFR_Akt,Akt,pAkt,S6,pAkt_S6,pS6,EGF_EGFR,EGFR_i,EGF_EGFR_i
0,69284.87015101743,-28.16335115470185,3.379009055854688e-05,0.04332941371048277,-2.610332208460422e-06,3.543170000024576,-3.260677455346624e-11,-1.666552807016297e-14,-788.7568796902176,0.0,0.0
100,66929.61656406664,-20.199742049838,-4.194066153878486e-05,0.043378987903791334,-4.407930610819565e-06,3.5431700000294533,-2.067927054856425e-11,1.4527269223119988e-14,2080.954059439484,0.0,0.0
200,65550.2279486118,-47.99760519995849,5.454978800059494e-06,0.043352056214399734,2.309574595197306e-06,3.5431700000059383,2.5578472805213106e-11,-3.004492342901213e-14,2968.8718740007384,0.0,0.0
300,64042.22000889535,-38.13676848269834,-1.2330389397582357e-05,0.04333514713904438,-2.4275806739181146e-06,3.5431700000256905,8.274040316220796e-12,1.8474655052349097e-14,4068.934856102343,0.0,0.0
400,62583.30880399856,36.15730160689412,5.626604069999002e-05,0.043318043794332524,-4.122107220186667e-06,3.5431699999673034,-2.3979833653306677e-11,-6.264223856887055e-15,6207.783811679081,0.0,0.0
500,62470.51477042053,79.68467385819564,4.829044462463214e-05,0.0433706120356545,-3.0943419524280742e-06,3.543169999969561,-5.3999520320603494e-12,2.665114764186942e-14,7313.506532668992,0.0,0.0
600,59345.86527290991,100.19198443701906,1.3763199015916096e-05,0.04332116056205058,-7.594505639209502e-07,3.5431700000324646,-2.4500625365615302e-11,7.99921153069857e-15,8150.4407847058155,0.0,0.0
700,59438.93892624721,50.55007438284018,-4.135079265819417e-05,0.04332655832256843,4.438848314334531e-06,3.543169999988374,-4.283039181729408e-12,1.0405330622356105e-15,8581.838710096637,0.0,0.0
800,58085.14085118213,124.38035914006062,-2.2916322436548712e-05,0.04329121184641517,-3.549989116033624e-06,3.5431699999817674,-3.224844683621121e-11,-2.1534079749181692e-14,10721.942812533585,0.0,0.0
900,57100.27909449741,133.94784619433577,7.764422419029266e-05,0.043322970482735826,3.572953582357114e-06,3.5431699999919846,-5.2866363997075316e-12,-2.9888041222051814e-15,10536.716839417579,0.0,0.0
1000,56272.05091935637,89.40279832736289,7.594355724552957e-05,0.04325767199751443,-2.6918436801175464e-06,3.543170000022976,-2.8567503632805503e-11,1.732876017966554e-14,12629.480698344998,0.0,0.0
1100,54992.156340073096,98.46588407922528,6.722820940855036e-05,0.043238872505424,3.1775837711695052e-06,3.543169999989478,2.9677422976796595e-11,-7.734626765232676e-15,14160.638616871016,0.0,0.0
1200,54105.2916928792,129.88944413592134,7.679717944365239e-06,0.04326500520212341,1.2492328012915974e-07,3.5431700000077506,1.290536622549809e-13,-2.4388919627262622e-14,15253.52356390327,0.0,0.0
1300,52471.44960184478,162.5569667175929,5.066491798711343e-05,0.04326311293969158,4.859633241076679e-06,3.543170000011665,1.0968626588417945e-11,-5.592034182058675e-16,15180.510514631744,0.0,0.0
1400,52528.17623538696,188.95639305812614,4.9252004255150874e-05,0.04328120513296072,-2.2933139655362026e-06,3.5431699999817057,-4.183570709877216e-12,-8.64375949263609e-15,15790.920547448959,0.0,0.0
1500,49682.06991147471,247.47215985837158,5.160936303832616e-05,0.04326491323190995,2.1229331245066213e-06,3.5431699999963886,3.48709288032896e-11,-4.363704980852593e-15,17086.21583264331,0.0,0.0
1600,49992.3234142457,316.0683204059724,8.911576785454059e-05,0.04319702982769825,3.6730919482110192e-06,3.543169999965819,9.716682838945827e-12,2.5677099715341785e-14,19078.016770673297,0.0,0.0
1700,48316.02828483629,332.8657740851098,0.00010160292369779717,0.04313119380804478,-9.976967116137764e-08,3.5431700000263446,4.0276947212575204e-11,-2.518794033398074e-14,18572.026071115954,0.0,0.0
1800,47293.26433712217,304.39332634496577,0.00010281765893592232,0.04316949740638348,7.487548029845113e-06,3.543169999968415,3.2188099983046593e-11,2.1379506503985294e-14,19161.4772715935,0.0,0.0
1900,46828.4617754885,356.9132228441871,0.00014385607794809577,0.043185497668740976,4.662485374651962e-06,3.5431700000077466,-1.4413294627160872e-11,-1.525692328876852e-14,19500.174048035882,0.0,0.0
2000,47174.663186660306,429.1981589922287,0.00013075015826397894,0.04313111809025687,3.436272624536932e-06,3.5431699999549195,6.720528848138248e-12,-1.901784701047608e-14,21019.988805588953,0.0,0.0
2100,45880.66133067594,427.2813815437924,0.00016585758672013924,0.04301964745518029,7.416410662898593e-06,3.543169999992061,2.6171383532204315e-11,9.070282067737496e-15,21722.338085536747,0.0,0.0
2200,44644.317232053196,480.60677298378477,0.00022217747060812929,0.04298342565513037,8.513377824788636e-06,3.5431699999847237,3.291129601055825e-11,1.3418498342025217e-14,22311.126699889086,0.0,0.0
2300,43316.03203307541,495.7143818825335,0.00024432604373461495,0.04304871125446195,6.9694108384591345e-06,3.543169999934323,2.4458930518486057e-11,3.5352714445733914e-14,24669.45489837813,0.0,0.0
2400,42166.65922903464,589.3495034935087,0.00031099879421931016,0.04294846151480978,6.467173693597316e-06,3.5431699999460182,6.323576708325582e-11,-3.5216210963085653e-15,24198.845316889296,0.0,0.0
2500,41259.879879466695,573.0507649330997,0.0004217112912886233,0.0428727542812276,1.2854320575506156e-05,3.543169999930088,3.381296684065567e-11,5.044865843069994e-14,26185.25639874317,0.0,0.0
2600,40868.21760508235,640.5436958831494,0.00045464504152238345,0.042923141893177016,1.3188347993795343e-05,3.543169999921401,8.169186150338778e-11,1.121152990188782e-14,24793.660791067294,0.0,0.0
2700,40417.27594776969,718.0156350397539,0.00046790839373821364,0.04284457941800386,1.363385193504266e-05,3.5431699999481228,3.701335063082232e-11,4.459885898177888e-14,27458.295043462782,0.0,0.0
2800,40708.14969187476,780.3225651557411,0.0004592737666400438,0.04284263084150948,2.32052125877313e-05,3.5431699999019837,1.1065169873282504e-10,5.2914416252329276e-14,26199.1402965033,0.0,0.0
2900,38860.60436166196,781.1361436678314,0.0005356304214191571,0.042805121044248044,2.1563251227607426e-05,3.5431699999158113,1.1456187337388218e-10,5.915568009322155e-14,28437.62890521909,0.0,0.0
3000,39197.207061760724,794.9053207228841,0.0006523074299523766,0.04276737552630591,2.6001893866116806e-05,3.5431699999109014,8.968224903350453e-11,3.704561206381171e-14,27947.03092996978,0.0,0.0
3100,38723.06456016239,845.8752802835227,0.0005823191915036094,0.04261905854697611,2.7167813952812122e-05,3.5431699998755977,1.0247885775506457e-10,9.26244962984629e-14,29588.6777519077,0.0,0.0
3200,36351.11663112566,986.4042917266831,0.0007346631523479843,0.04253166227212664,2.8803645376765442e-05,3.543169999840135,1.2354690340167291e-10,1.2891859418877046e-13,29756.562972572694,0.0,0.0
3300,36225.44211713757,948.159194753007,0.0007230182632879304,0.04256666195844851,3.660608079586918e-05,3.543169999836217,1.6375642264793474e-10,1.5256704119769967e-13,30452.56610456913,0.0,0.0
3400,36953.49674418037,985.9267022379439,0.0007739842032503396,0.042397867072317096,3.880478833495449e-05,3.5431699997650004,2.1469076525919276e-10,1.7968915712507218e-13,30113.77865830517,0.0,0.0
3500,35005.08717329716,1057.5140372904516,0.0008176416868936896,0.04236841886240594,4.0374179618791944e-05,3.5431699997706407,2.1435548151651088e-10,1.4318011912536786e-13,31095.4704221601,0.0,0.0
3600,34751.056637022775,1120.09054365189,0.0009843315307314607,0.042262184529836454,5.116728218952393e-05,3.5431699997200843,2.462453618454094e-10,1.7085575805719048e-13,32299.356662287046,0.0,0.0
3700,35361.79674450787,1175.2482196245983,0.0009739114661624531,0.04220337497311357,5.131055453806024e-05,3.5431699996846913,3.322442481267934e-10,2.1425338393458643e-13,33317.2528509668,0.0,0.0
3800,34740.82842792639,1262.517781580541,0.001141787238204598,0.04220399513287243,5.799911988570449e-05,3.5431699996440162,3.7962384486599653e-10,3.118063124523401e-13,33636.519035688834,0.0,0.0
3900,33216.79423833592,1338.590635879819,0.0012036038677520201,0.042092730163678885,6.037935918470822e-05,3.543169999629638,3.766193397009389e-10,3.008584130432247e-13,32612.104413512476,0.0,0.0
4000,32448.353971266686,1374.0727435465656,0.0012759315454480861,0.042052866467449025,7.063268812748262e-05,3.54316999957565,4.5923016835192427e-10,3.971964207106814e-13,33685.847271918574,0.0,0.0
4100,33416.502971654,1400.618270095545,0.0013310113646818815,0.041863695168889554,7.698965927851347e-05,3.5431699995164254,5.153023283628065e-10,4.2131506462348173e-13,33427.18826986975,0.0,0.0
4200,31912.721600908542,1473.5671750526317,0.0014357911141075262,0.04186070406996618,8.041093355372685e-05,3.543169999459323,5.645035815061957e-10,4.952496655321976e-13,34706.69727287485,0.0,0.0
4300,32390.91099367309,1523.0576113141929,0.0015279407773742641,0.04165389781490459,9.446855925092662e-05,3.543169999376868,6.084118382984388e-10,5.533065675689578e-13,34660.19299247812,0.0,0.0
4400,29676.291229721865,1497.9793654138282,0.0015318415302236806,0.04155642257517986,9.527385454935627e-05,3.5431699992856154,7.112149589441491e-10,6.815668385240293e-13,35895.04753336505,0.0,0.0
4500,29929.421685669582,1573.875073455516,0.001711647914854208,0.04146585431854657,0.00010733671250309337,3.5431699992191326,7.407034763489542e-10,7.207634276956775e-13,36937.003401954906,0.0,0.0
4600,30690.37276267202,1638.3059042641496,0.0018310567669165719,0.04134991868233903,0.00011228366705367294,3.5431699991705026,8.263861548921886e-10,8.504373751104139e-13,36255.05624832527,0.0,0.0
4700,28448.463757868954,1710.0640551214583,0.00181282192407996,0.04138017447408097,0.00012480519391064554,3.5431699990604617,9.35056351867617e-10,9.673457388813541e-13,37282.72426074127,0.0,0.0
4800,28740.011965004247,1776.8518686521254,0.001984689929631281,0.041256454104747084,0.00013106600520811752,3.5431699989293124,1.0102002047071219e-09,1.0602621747287433e-12,37766.01042056662,0.0,0.0
