milliseconds,X,ES
0,1.0,1.0
100,1.8345559997576324,0.16544400024236738
200,2.4755668997841647,-0.4755668997841658
300,2.9754507103582526,-0.9754507103582537
400,3.36984222466642,-1.3698422246664212
500,3.6838413471547313,-1.6838413471547327
600,3.9356294306681696,-1.9356294306681707
700,4.138681435481652,-2.138681435481653
800,4.303180125447582,-2.3031801254475845
900,4.436931787063718,-2.4369317870637195
1000,4.54601286546792,-2.5460128654679224
1100,4.63519031214751,-2.6351903121475133
1200,4.708237174109603,-2.7082371741096063
1300,4.768167981774996,-2.7681679817749996
1400,4.817402972670103,-2.817402972670106
1500,4.857894368746336,-2.857894368746338
1600,4.89122457803378,-2.891224578033782
1700,4.918680241779895,-2.9186802417798976
1800,4.9413099004504,-2.9413099004504026
1900,4.959970533416726,-2.9599705334167283
2000,4.975365010755097,-2.975365010755099
2100,4.988070107238591,-2.988070107238593
2200,4.998558625507357,-2.998558625507359
2300,5.0072188399932,-3.0072188399932034
2400,5.014370607908491,-3.0143706079084933
2500,5.020277739010892,-3.0202777390108944
2600,5.02515760262322,-3.0251576026232225
2700,5.02918922404172,-3.0291892240417226
2800,5.032520259046461,-3.032520259046464
2900,5.0352726545225535,-3.0352726545225557
3000,5.037547105826271,-3.0375471058262744
3100,5.03942662403876,-3.039426624038762
3200,5.040979766048589,-3.0409797660485918
3300,5.042262941245228,-3.0422629412452302
3400,5.043323444515645,-3.043323444515647
3500,5.044200038733506,-3.0442000387335084
3600,5.0449246463843345,-3.0449246463843362
3700,5.045523833227288,-3.0455238332272905
3800,5.046019189075323,-3.046019189075325
3900,5.046428616877582,-3.0464286168775843
4000,5.046766945154048,-3.0467669451540513
4100,5.047046596839934,-3.0470465968399374
4200,5.047277763338359,-3.047277763338363
4300,5.047468857470804,-3.047468857470808
4400,5.047626875623364,-3.0476268756233686
4500,5.047757494748327,-3.0477574947483306
4600,5.04786535917526,-3.047865359175264
4700,5.047954508701965,-3.047954508701969
4800,5.048027958364682,-3.0480279583646865
4900,5.048088616645409,-3.0480886166454133
5000,5.048138793122835,-3.0481387931228383
