milliseconds,FGFR,MSH,B_Raf,MAPK,C_Raf_inactive,C_Raf
0,-1.2543115122174022e-13,-0.06267619752285182,0.037091893708864725,-0.028287577435656516,0.0032056100818984106,-0.04237406105959327
100,-3.1168173780232855e-15,0.1834830749417436,-0.04381395580062081,-0.029699326562660906,-0.037364288168454864,0.14187835825575568
200,8.87179663436354e-14,0.08061902923711059,-0.05236759909873452,0.0022485913391300204,0.04095020380681166,-0.12625989784104755
300,2.5218661240368944e-14,0.2688500939738047,0.047892936405477864,-0.019958218469344965,-0.04797529524021254,0.060955731594642557
400,-1.687358197046539e-14,0.34805587538441735,0.03536892742581454,-0.03405201758256463,-0.01572684346508135,-0.13927468124508363
500,3.572848233897025e-14,0.40164252905275644,0.0851645974061698,-0.025702919545342214,-0.03928664190541252,-0.09125002554054952
600,-4.510677154890738e-14,0.5164240615154372,0.06718556436134854,0.03192251972746966,0.031090319330936235,0.14416457962302756
700,2.6645410143459482e-14,0.6170074156360605,0.08082920719049104,-0.023289123927680722,-0.02003814132828977,0.0308756842168039
800,1.011676840178478e-13,0.7862404315347101,0.153540652997617,-0.02733681709586687,0.017368521817641817,0.07743635627871157
900,-3.934084796872355e-14,0.8157951479958028,0.14155905182840378,-0.023771623462389486,-0.03151622092509289,-0.12694673855237773
1000,-6.442007344247676e-14,0.7712276200718873,0.2852321742323908,0.007264896460821559,0.03605619667444844,-0.03710752154729243
1100,9.153973915543696e-14,0.9759679469417165,0.2684486517985252,-0.005253879060720399,0.008289793040756171,0.02477705679193789
1200,-8.340590535582345e-14,1.0487309527613913,0.3457912215516832,0.010880283641782677,-0.021560799547850593,0.16930361268563326
1300,9.547711400217187e-14,1.0706254370050423,0.41662315306009307,-0.006252459794116549,-0.007737632736149711,0.17444184732136012
1400,6.858918772932906e-14,1.1506604580912205,0.4634025335017342,0.023288717809915517,-0.03607175757670719,0.1292053270645474
1500,-7.948757308825377e-14,1.2435392929044802,0.4976217203608886,0.05008464142385932,0.04295431931880471,-0.01340276982487805
