miliseconds,PKN1,ZAK,MAP2K3,MAPK14,MAP2K4,TP53,ATM,MAPK13,PRKACA,SRC,BAD,PTEN,SHC1,PIK3R1,PARP1,AURKB,BRCA1,YWHAZ,TGFBR1,CSF1R
0,0.03278129076888205,0.0010315776230290612,-0.0049694771697137525,0.014347766936466923,0.002875580876843567,-0.1184323203764765,0.995862652795221,1.004038818411112,0.9945789324792254,0.9959323010648495,0.9609264111090033,0.9952322092202134,1.026534724701211,0.9960721980376651,0.9650652443849321,1.021401904156711,0.996655499394704,1.000863295896347,1.0007352642323464,0.9999356976620479
100,0.03166797291993309,0.0038835816138460652,-0.0038317563397300414,0.30482135407308775,0.0014802486262250284,0.3269656017851931,0.7653652638189115,0.8590676852449636,0.8286773926779264,0.9357510570037156,1.2132991018854509,0.9745555384693951,1.118881925631579,0.6392840013846558,1.0305843218950737,0.8872429253498437,0.2971570857145871,0.9907087907894303,0.9884360792891242,0.16492806381473132
200,0.07190547692111635,-0.0018818673904267588,0.007132333047633822,0.5102376049216512,0.00010494368553612006,0.5081568868650079,0.5888262841494895,0.7451996452022768,0.7061411291033669,0.8568692928192378,1.8553937666754994,0.9123721198877347,1.4225355493286234,0.5494389445561942,1.1221852114745,0.8407907207328319,0.18543335008602602,0.9870660865814771,0.9739849874585725,0.12261416260858056
300,0.14531916469582093,0.006218482740821125,-0.0023790786083078604,0.684914422761021,-0.0005407784930691529,0.748924928698224,0.4561869021351783,0.657102057996138,0.6107376039607098,0.7883272880521471,2.251039680488742,0.903038402496585,1.593850476117626,0.5507532929281244,1.13640253715703,0.7995824904265942,0.16131948914853983,0.9815356897428932,0.967801755792991,0.1365744786889337
400,0.20113222615344561,0.005823629890721861,0.007584020896968985,0.8855975324017729,-0.0002907828238344414,0.9736026280879568,0.36004811239579687,0.5796305936608387,0.5428498094641033,0.730859391952616,2.6415771604414147,0.8330410303529758,1.6278126944285534,0.5854058777164068,1.2083030841967948,0.7969713249561622,0.1582020231366646,0.971457105771193,0.9454763334570425,0.1525544361405676
500,0.27468401212196436,0.0035758772886452794,0.004481313241456436,0.9775135870085423,-0.0016381504544148132,1.0638747686034764,0.29114198424572857,0.5070812848614141,0.5025787991159436,0.6773823532850834,3.14481624244851,0.8460327113959741,1.8212362309911954,0.6289301252418049,1.2144999992645207,0.8074302255672808,0.14971946889501195,0.9636183417926508,0.9304842963199483,0.15898795820909817
600,0.29303186680095855,0.012084474124752085,0.020903223480741157,1.0895768891857969,0.0025714351365319302,1.2481406021492292,0.2452843199777857,0.4425105499010949,0.4669256169755572,0.6221111344218022,4.215341615080471,0.8031740077588055,2.0006920468297578,0.6879521304094695,1.2745188173333974,0.8245611527555002,0.1487220425677334,0.962551770456528,0.9344421006185707,0.18613698767836778
700,0.37228213846981967,0.010149876594130159,0.027594854175859003,1.0837233344697978,0.0029158276688647494,1.4341541794516433,0.20131323101129794,0.3720686107257967,0.44367030844800553,0.5837375351418602,4.642519120224343,0.7784363345495144,2.378946978457942,0.7399288612615229,1.3409343218035006,0.8509317733724084,0.15752702306956745,0.9546010528442452,0.9244224703083612,0.19328022696565952
800,0.42478727634145946,0.016259784395060782,0.032208288516084614,1.2519491570156112,0.0014947357577435295,1.7276549002262505,0.18201790202859466,0.3200384225126352,0.42314455605005374,0.5231748744993557,4.816017850412656,0.8145354409847749,2.512596260570359,0.7921123873128292,1.39573181624351,0.8465361573784818,0.15591156593158045,0.9436073213608533,0.9239112393104502,0.2120962726362335
900,0.42199591428431954,0.017040644739533695,0.030501120500845483,1.2852670693604646,0.0016026567635232896,1.7090571421521492,0.16701987957306988,0.2922441977642545,0.4146514542680722,0.484896289057239,5.127884234981555,0.7712887264941585,2.5269537120978915,0.8415184745218249,1.4269591880988421,0.9025671802927602,0.15994381847402742,0.9399102027016474,0.9230465016817145,0.22099573835667766
