milliseconds,D,N,v
0,2.4408792327662256,0.053457701306179856,218.50988798010178
100,2.298297993979991,0.07705248643738037,371.29949917722126
200,2.39292267631531,0.09552811659496493,343.17536222689336
300,2.2691297058151503,0.13623908985777636,358.871419069144
400,2.2791888228601893,0.19004222495563688,314.89592646300434
500,2.268716598444869,0.17504496054474863,391.9470292475794
600,2.245815261583387,0.1581918123723521,259.01168394966214
700,2.2655987403120816,0.21993993009530352,332.50181424012703
800,2.2831881272815715,0.2039076274746336,238.16203028661317
900,2.198119071231442,0.25422563672893395,393.9499239143847
1000,2.2095879343752807,0.23364957092214392,398.3890407544022
1100,2.1962569226548303,0.2463840506991158,327.3586445854341
1200,2.1618342381299454,0.30263439822902133,281.7951141342219
1300,2.1958729223742712,0.2761099674276605,403.12518728481984
1400,2.2287701447907518,0.29580158955947844,306.9498416847775
1500,2.1909765550611944,0.31289999900320187,383.8667073399488
1600,2.255117655824109,0.3343511439434546,336.14073177287025
1700,2.2714555816880244,0.3746391062251371,381.70246574695784
1800,2.2685302691546814,0.367197620932958,358.5930864444289
1900,2.163118012608322,0.36227592595325087,304.3656604320008
2000,2.1295156221778204,0.34380471749543984,408.77249987163276
2100,2.140307348239035,0.391778194618673,386.3713439702053
2200,2.207173207318507,0.42992733411398737,312.18648123741235
2300,2.233285844428966,0.3876223441139942,483.1590380019884
2400,2.297336522611608,0.40099745390246133,315.3335451878778
2500,2.163570557017386,0.4424054323167131,404.34111701942174
2600,2.322935311333946,0.44050579869586065,340.3705805036848
2700,2.3064121191774984,0.4862092873626692,499.69635275573495
2800,2.1902020859109075,0.4785865125291586,506.82688727522145
2900,2.2591056106751206,0.5375906006455412,457.0575661276791
3000,2.299057172411469,0.4985926112352109,403.0851549371407
3100,2.329156950820546,0.5719127451566467,574.921606778293
3200,2.2828798391788103,0.55669733765253,455.391824454986
3300,2.294317169268633,0.6098266970898394,626.2216674523248
3400,2.470868760389141,0.5968791054585841,481.55742920886024
3500,2.525569514086438,0.6149447231717177,677.956971428853
3600,2.553002662837589,0.7165355801205369,613.9702089959048
3700,2.568868818930888,0.7231573778856956,676.9804705556303
3800,2.573706658248128,0.803386261683276,857.8863571296026
3900,2.781405023990312,0.845110115173038,1179.2275964298003
4000,3.043835200300974,0.9191317515747843,1444.9676036561618
4100,3.1690940752895145,1.014380301054234,1917.8313199670067
4200,3.4449287295962865,1.1279371711518171,2323.921474320702
4300,3.6910884561779183,1.151525931165524,2648.427681879604
4400,4.029634753216348,1.241476184448316,2876.3427813429944
4500,4.366419183850278,1.2528600405077135,2927.194407052948
4600,4.735440097156824,1.2649061415668943,2968.312733112964
4700,5.004867949985023,1.1856950303277967,2895.4520317327974
4800,5.137106164275018,1.22346439989365,2972.565598245325
4900,5.546333740746594,1.149108273507176,2870.0198771746773
5000,5.697224883972731,1.1245758867521254,2963.1244938108457
