milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.5e-06,0.0,5e-06,0.0,0.0,0.0,0.0,2.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2e-05,2e-06,0.0,1.63e-06
100,1.642881660991772e-06,1.208119649450494e-10,3.098449017392882e-06,6.126839868654803e-07,4.4024924543220746e-11,1.3278763994192012e-07,9.281729914280773e-12,1.5852009454008372e-06,6.627612672004474e-07,1.405666527095178e-07,2.218211398184144e-09,1.613985604072124e-13,7.06705990061533e-08,5.24192651633896e-12,3.684477520857091e-08,1.7109523641869446e-09,9.983608869239685e-06,1.639113076032032e-08,2e-05,1.999194059442174e-06,8.059405578264066e-10,1.63e-06
200,1.3034007830539082e-06,9.628470651601042e-11,2.012388842066542e-06,7.322799125373319e-07,5.3658008419496924e-11,2.7451741973886817e-07,1.9880933658687055e-11,1.1941610461991725e-06,8.188890899470149e-07,2.9731872558343613e-07,1.978810090185275e-09,1.460943323050386e-13,4.2276469962577494e-08,3.1495465639711626e-12,1.3858448555334566e-07,6.760177745969762e-09,9.905387051269806e-06,9.461294873019665e-08,2e-05,1.9942046930029658e-06,5.7953069970347595e-09,1.63e-06
300,1.1035485820904508e-06,8.248060464897169e-11,1.370642981719873e-06,7.374103437231083e-07,5.488685227989609e-11,3.6046743102900203e-07,2.6656240632261426e-11,9.63736378251892e-07,8.428142527052148e-07,3.950406352116919e-07,1.6411952090839862e-09,1.2282833126678346e-13,2.8560354515934875e-08,2.148797536433505e-12,2.5539925506849354e-07,1.2780573732162647e-08,9.770722078461722e-06,2.2927792153827943e-07,2e-05,1.9827479843932805e-06,1.725201560671989e-08,1.63e-06
400,9.712123981720699e-07,7.367078234025505e-11,9.710306020237524e-07,7.156801986667724e-07,5.414422368066058e-11,4.073076787410967e-07,3.069361690066955e-11,8.130478737837104e-07,8.318457104123482e-07,4.4946609298457196e-07,1.3779440611051135e-09,1.0469600167921133e-13,2.103785665819989e-08,1.6044339767965033e-12,3.6456373398080017e-07,1.8633872000084163e-08,9.614977940647897e-06,3.8502205935210555e-07,2e-05,1.9648108964780975e-06,3.5189103521902826e-08,1.63e-06
500,8.768227650664723e-07,6.752767243930112e-11,7.098854081722774e-07,6.909050464202186e-07,5.3103518798989e-11,4.3068043024307777e-07,3.3023478045514835e-11,7.070064945338354e-07,8.141845543438994e-07,4.773717409435579e-07,1.1862611808637636e-09,9.149818255581172e-14,1.642037932351332e-08,1.2703563457731044e-12,4.598545232275557e-07,2.3949472251370778e-08,9.462622170242702e-06,5.373778297572989e-07,2e-05,1.941246573007351e-06,5.875342699264966e-08,1.63e-06
600,8.059405079010224e-07,6.295753162152579e-11,5.322881689082413e-07,6.697293121019285e-07,5.2228484745796704e-11,4.402227887032193e-07,3.4283965485646945e-11,6.28226889682362e-07,7.983354955399579e-07,4.894805867833216e-07,1.0467039384213189e-09,8.186972777982537e-14,1.3351216019338527e-08,1.0470595761325223e-12,5.408947840672346e-07,2.8637983895800074e-08,9.32488923015126e-06,6.751107698487425e-07,2e-05,1.9131432034171833e-06,8.685679658281747e-08,1.63e-06
700,7.506768603367009e-07,5.939337616115874e-11,4.0756703345567204e-07,6.536058916224069e-07,5.163249979701343e-11,4.415648408393076e-07,3.4860182891734703e-11,5.672453817364273e-07,7.865677174591274e-07,4.921812727602643e-07,9.435669504439633e-10,7.473044100437484e-14,1.118839794178482e-08,8.882947336022112e-13,6.091325256528455e-07,3.271496513874961e-08,9.205097987574307e-06,7.949020124256949e-07,2e-05,1.8815811892502215e-06,1.1841881074977899e-07,1.63e-06
800,7.063472585578283e-07,5.65159651452357e-11,3.1768229285640423e-07,6.423397723162407e-07,5.1317728033584965e-11,4.380204784348288e-07,3.4991095319171975e-11,5.185127404179672e-07,7.790587699707165e-07,4.892797168090444e-07,8.659561951233333e-10,6.933944794480235e-14,9.594620457134017e-09,7.700608676702367e-13,6.664268945035722e-07,3.623525288340678e-08,9.10282493379567e-06,8.971750662043316e-07,2e-05,1.8475382865207508e-06,1.5246171347924976e-07,1.63e-06
900,6.699867651051286e-07,5.4132428289048575e-11,2.515409311659121e-07,6.352496717525968e-07,5.125072213321028e-11,4.3157693383631596e-07,3.4829469167543974e-11,4.785782607414761e-07,7.75300142909771e-07,4.830760727679045e-07,8.064816104480147e-10,6.519681372792229e-14,8.378773344067214e-09,6.788649029297363e-13,7.145684446198146e-07,3.926587055977529e-08,9.016188880714429e-06,9.838111192855744e-07,2e-05,1.8118570592834807e-06,1.8814294071651993e-07,1.63e-06
