milliseconds,T,I
0,1.0000101090935574,0.0010001921618925495
100,0.999997325631185,0.0009998255773364972
200,1.0000031054621141,0.000998522389441796
300,1.0000001719531226,0.0009969950731953713
400,1.000009003236782,0.0009971745600836064
500,1.0000166623956124,0.000996064171574751
600,1.0000182394812007,0.0009942548110106464
700,1.0000158783405066,0.0009942688196590418
800,1.0000174718746744,0.0009907841670610937
900,1.0000100875058524,0.0009901885157661658
1000,1.0000128338889667,0.00099082950981474
1100,1.0000391857773072,0.0009904292545761398
1200,1.0000365208220099,0.000988289148180901
1300,1.0000363281102538,0.0009865100918851853
1400,1.0000545808124202,0.0009854210931382742
1500,1.0000570714150294,0.0009858264851284977
1600,1.0000474430008106,0.0009838628273352655
1700,1.0000639192814242,0.000983201171566708
1800,1.0000757914102918,0.0009832141581834666
1900,1.0000625664438683,0.0009805437334857595
2000,1.0000808349587789,0.0009795166507964104
2100,1.0000802206959545,0.0009784238446457578
2200,1.0001059804460908,0.0009782899949551521
2300,1.0001115490559505,0.0009759422317757628
2400,1.0001220460730569,0.0009774545339216196
2500,1.0001102019307042,0.0009763296977833549
2600,1.00012328453335,0.0009741229060317122
2700,1.000156358404503,0.0009722245287724268
2800,1.0001649462249882,0.0009726284219599419
2900,1.000166800232283,0.0009700228221929983
3000,1.0001751151825595,0.0009717876713551998
3100,1.0001892502547047,0.0009689689697755013
3200,1.000205463023815,0.0009692470781989906
3300,1.0002016405479537,0.000967427159931074
3400,1.0002433240833757,0.0009660252090822346
3500,1.0002417460905064,0.0009649656376095581
3600,1.0002435959426077,0.0009652890854203745
3700,1.0002710522328102,0.000963772447511369
3800,1.0002761855458393,0.0009616765259868098
3900,1.00029916786126,0.0009623330541156092
4000,1.000331725631414,0.0009612051715464958
4100,1.0003345388283427,0.0009599254216368782
4200,1.0003610104849512,0.0009578133016937269
4300,1.0003726871007734,0.0009587578886207172
4400,1.0003903062045705,0.0009558798039691655
4500,1.0003899948505979,0.0009569100413490247
4600,1.0004186428814446,0.000954518100155778
4700,1.000431313032246,0.0009544495298707241
4800,1.0004424394445819,0.0009525197872229444
4900,1.0004627060104625,0.0009517434181227199
5000,1.0004860526826167,0.0009514843065761562
