miliseconds,APAP,NAPQI,GSH,NAPQIGSH,APAPconj_Glu,APAPconj_Sul
0,0.10000803449537621,1.2356995782784905e-08,9.999999969922232,8.949936627246556e-09,-2.319568735686351e-06,1.7858613936099687e-06
100,0.09998970528257756,1.1921251580570347e-07,10.000000017438472,-4.603172095817406e-08,3.1023466956056383e-06,2.4612937215688525e-06
200,0.09997683202918727,2.6734808652104016e-07,10.000000028956322,3.109701938398107e-08,1.984929579370681e-05,1.5444537072144993e-05
300,0.099947127688396,3.8554406498900384e-07,10.000000011087318,4.8351982942142005e-08,3.0480089541494312e-05,1.646702263708183e-05
400,0.09993919458855473,4.746546610906388e-07,9.999999974062652,1.7338942570232025e-07,3.3662781351326126e-05,2.6304928832641437e-05
500,0.09993257516876082,5.538093052208149e-07,9.999999891748601,1.4837735237043285e-07,4.847695905309036e-05,3.101800569973173e-05
600,0.09989863366624907,6.631919907229578e-07,9.999999832365278,2.4939743495177996e-07,5.096654053786848e-05,3.4832207504656505e-05
700,0.09989870962143245,7.370004945451726e-07,9.999999695008844,3.4907185867142306e-07,6.890805447484607e-05,4.47534553522498e-05
800,0.09988030623673849,8.073967706636146e-07,9.999999715233734,3.9476579427284035e-07,7.321963914106716e-05,4.5290581199674754e-05
900,0.09986290641082222,8.398982788827175e-07,9.999999593700029,5.141767229407458e-07,8.229059147481466e-05,5.096488598206231e-05
1000,0.09984562083249851,9.08447725099743e-07,9.999999495256938,4.570876604130182e-07,8.882309021984426e-05,5.656674140369545e-05
1100,0.0998337309520881,9.733415995505643e-07,9.99999944877221,5.582877871328304e-07,0.00010264351353257887,6.054005184329612e-05
1200,0.09981316765964215,9.980174888918894e-07,9.9999993267639,7.30754638769663e-07,0.00010495746813945293,6.752257330653404e-05
1300,0.09979622340007209,1.0273003159078392e-06,9.999999226823464,8.976418893674583e-07,0.00011764420263630064,7.421712828641778e-05
1400,0.09978701353109462,1.0662199009376553e-06,9.999999022032314,1.0110939324772437e-06,0.00012340522629692953,8.511834045857921e-05
1500,0.09978286786590078,1.1285151052586651e-06,9.999998964488137,9.991990273241719e-07,0.00012960684733320967,8.800305649099656e-05
1600,0.09974803379244947,1.1599432718082588e-06,9.999998881447388,1.2190883335247632e-06,0.00014445099600449344,9.273572319490903e-05
1700,0.09974522848736314,1.1589466627782186e-06,9.999998712170413,1.2931705432521923e-06,0.00015883830191695738,9.998489108977313e-05
1800,0.0997273096326514,1.1978982425111765e-06,9.999998550740594,1.3714268476968858e-06,0.00016833051147589992,0.0001074908711853746
1900,0.09970901057517723,1.2240458152650194e-06,9.999998534657797,1.4952172706749322e-06,0.00016902410318028367,0.00011095131133624398
2000,0.09970368372820389,1.2235902294402537e-06,9.99999843450778,1.699884336108744e-06,0.00018603126929466358,0.00011974214344770725
2100,0.09968547937659454,1.277972509124282e-06,9.999998310346996,1.6708250200839953e-06,0.00018409840159114383,0.00011875867994858862
2200,0.09966100939811848,1.269772800957785e-06,9.999998162667323,1.9503363594416977e-06,0.0002012748336995681,0.00012598416510681328
2300,0.099647639617449,1.2739715861745234e-06,9.999997934859623,2.079404665502982e-06,0.00021142821306107952,0.00013008555377234528
2400,0.09964663481938271,1.2880902363555448e-06,9.999997886170721,2.1481037957092212e-06,0.00022110261275633405,0.00014124834238706424
2500,0.09963026655534597,1.3188134850102371e-06,9.999997801551725,2.2764394046849156e-06,0.0002262767530582863,0.00014196008494809487
2600,0.09960928507115357,1.317246663834885e-06,9.999997592461867,2.3147203004482456e-06,0.00023961115795963743,0.00015215663037753435
2700,0.09960117836481239,1.3288492259481552e-06,9.999997491761919,2.6226291530825847e-06,0.00023895551726917094,0.00015568286307814384
2800,0.09958906898924443,1.3557503577637593e-06,9.99999725040583,2.736212165945504e-06,0.0002602501572563207,0.00016298622562570023
2900,0.09955731038571458,1.3670213472000576e-06,9.999997185974992,2.8931694480140567e-06,0.0002626895028066295,0.00016620994127006553
3000,0.09954498808649413,1.3611785039184338e-06,9.999997018216401,2.9428979094930377e-06,0.00027681400555154724,0.00017647821327296113
3100,0.09953759175113487,1.3777062826078405e-06,9.999996914862573,2.99047530158693e-06,0.00028669279830958235,0.00017799957754493156
3200,0.09951376999543082,1.384959127758881e-06,9.999996694017634,3.164519311443695e-06,0.00029378831389243295,0.00018246145737015084
3300,0.09950358260488024,1.3825651487519324e-06,9.999996650859568,3.270466820782618e-06,0.0003018910260119277,0.0001922076800256366
3400,0.09949613295316896,1.3956052679296675e-06,9.999996562032303,3.4303082020155332e-06,0.0003122145985815505,0.00019801140206097945
3500,0.09947244682059544,1.4054341093049082e-06,9.999996276894532,3.566264372406334e-06,0.00032137481433996333,0.00020784691646904546
3600,0.0994623964652078,1.3939301074702832e-06,9.99999613741771,3.859909737500164e-06,0.0003312954684420681,0.00020701941627377098
3700,0.09943379515561838,1.3910636412163026e-06,9.999996078150609,3.944447350267242e-06,0.0003370433435043453,0.00021974845862285088
3800,0.0994221445433003,1.3930538872478918e-06,9.9999959199277,3.99272967924646e-06,0.0003495626526385765,0.00021744389989852386
3900,0.09941836266969506,1.42078068949036e-06,9.999995828956793,4.200263829444724e-06,0.0003579450582117018,0.00022684954784463622
4000,0.09940910979775766,1.3989202130989036e-06,9.999995606063903,4.267897622726406e-06,0.00036359045750870974,0.00023278613618228845
4100,0.09939030031634558,1.4103772077463534e-06,9.999995457108543,4.388111345220111e-06,0.00036814850924794346,0.00024007727697068122
4200,0.09936315335462458,1.3996586129872704e-06,9.999995433450458,4.5296049257840465e-06,0.00037994004274604775,0.0002471754237223957
4300,0.0993484258468749,1.395209930506518e-06,9.999995313196846,4.771542218231367e-06,0.00039039123596657025,0.0002510504631572122
4400,0.0993490849220549,1.4084620849376888e-06,9.99999506692113,4.859802156322027e-06,0.0003994003067556285,0.0002551579881453701
4500,0.09932384175339593,1.42703290942073e-06,9.999995011032901,5.115467189247397e-06,0.0004082473098524248,0.0002617383622003596
4600,0.09930382609302053,1.4114107840807113e-06,9.999994886483893,5.203851743942577e-06,0.0004143252377998428,0.00026436442267848087
4700,0.099290085458654,1.4314754395052362e-06,9.999994753305366,5.323440256794349e-06,0.00042114149166688693,0.0002744514055466018
4800,0.09928686584185137,1.4207304952179672e-06,9.999994617808715,5.436771590547568e-06,0.00043812111290303336,0.00027829829286416755
4900,0.09925967848528493,1.4055910598205234e-06,9.999994307141982,5.539693942498434e-06,0.00043746649180871025,0.0002850559001440304
5000,0.0992385353488109,1.408781108737377e-06,9.999994305660518,5.81536222726931e-06,0.00045361449845938225,0.00029364157285371176
