milliseconds,Cm,Ct,T
0,0.0,0.0,2476413.0076172543
100,0.0,0.0,3942988.521781175
200,0.0,0.0,3727701.129643549
300,0.0,0.0,3249096.0625356683
400,0.0,0.0,4138804.955999944
500,0.0,0.0,4748438.684088575
600,0.0,0.0,3752692.24255196
700,0.0,0.0,3533459.1660680864
800,0.0,0.0,5080660.425732431
900,0.0,0.0,3830585.207833085
1000,0.0,0.0,5120699.787847526
1100,0.0,0.0,4685537.845932335
1200,0.0,0.0,6028368.544955689
1300,0.0,0.0,5847527.957156864
1400,0.0,0.0,5573832.798753341
1500,0.0,0.0,5870416.12473392
1600,0.0,0.0,6499089.044834461
1700,0.0,0.0,7012363.941846112
1800,0.0,0.0,6955739.728480306
1900,0.0,0.0,7521508.4446250275
2000,0.0,0.0,8894460.862370415
2100,0.0,0.0,8696796.698258672
2200,0.0,0.0,9727281.774027776
2300,0.0,0.0,9340689.592326265
2400,0.0,0.0,10119237.598365959
2500,0.0,0.0,11401831.331068436
2600,0.0,0.0,11614690.92237574
2700,0.0,0.0,11841966.492747176
2800,0.0,0.0,12125967.252294682
2900,0.0,0.0,13759334.1462267
3000,0.0,0.0,14131419.042265315
3100,0.0,0.0,15283650.113117173
3200,0.0,0.0,15570692.468984254
3300,0.0,0.0,15346900.186831001
3400,0.0,0.0,17626321.59531909
3500,0.0,0.0,17304580.35307651
3600,0.0,0.0,18574869.136556253
3700,0.0,0.0,19493098.64609091
3800,0.0,0.0,19647110.549833782
3900,0.0,0.0,21586017.001328513
4000,0.0,0.0,22868708.02647649
4100,0.0,0.0,23607542.837157518
4200,0.0,0.0,25993350.07276763
4300,0.0,0.0,27014861.709368065
4400,0.0,0.0,28672697.12992821
4500,0.0,0.0,29275807.587909028
4600,0.0,0.0,31427607.83868379
4700,0.0,0.0,33426405.792308558
4800,0.0,0.0,34160503.966690175
4900,0.0,0.0,35073613.3627925
5000,0.0,0.0,37426851.263580486
