milliseconds,Cm,Ct,T
0,0.0,0.0,2557775.202926103
100,0.0,0.0,2391920.4222530047
200,0.0,0.0,2386166.9296851647
300,0.0,0.0,3011740.1500770096
400,0.0,0.0,4480056.254614342
500,0.0,0.0,3253532.827484615
600,0.0,0.0,4971029.0346938
700,0.0,0.0,5075642.365444151
800,0.0,0.0,3917354.102191274
900,0.0,0.0,5167069.397936523
1000,0.0,0.0,5541616.727420128
1100,0.0,0.0,4334413.676082251
1200,0.0,0.0,4711022.462483486
1300,0.0,0.0,6172078.564602938
1400,0.0,0.0,5805297.844655063
1500,0.0,0.0,6627861.115084995
1600,0.0,0.0,6016858.357860215
1700,0.0,0.0,7403333.719097277
1800,0.0,0.0,6580086.875374933
1900,0.0,0.0,8748032.879721465
2000,0.0,0.0,9265901.13572398
2100,0.0,0.0,7855515.417562116
2200,0.0,0.0,9371279.399423977
2300,0.0,0.0,8943622.189606247
2400,0.0,0.0,10675985.074856713
2500,0.0,0.0,10579679.173545126
2600,0.0,0.0,11745726.577735284
2700,0.0,0.0,11667237.1906869
2800,0.0,0.0,12572134.142791849
2900,0.0,0.0,12829413.922584044
3000,0.0,0.0,14034219.754079068
3100,0.0,0.0,13513160.403966041
3200,0.0,0.0,15469784.606150443
3300,0.0,0.0,16659520.667889237
3400,0.0,0.0,16657191.960742177
3500,0.0,0.0,17956181.058806445
3600,0.0,0.0,18950252.72738898
3700,0.0,0.0,20335199.95571508
3800,0.0,0.0,19657497.65865727
3900,0.0,0.0,22131203.229320534
4000,0.0,0.0,22190598.296886783
4100,0.0,0.0,24918056.076206602
4200,0.0,0.0,25228033.565766405
4300,0.0,0.0,26798573.865636297
4400,0.0,0.0,27732463.51054555
4500,0.0,0.0,30242419.73640549
4600,0.0,0.0,30829405.02748302
4700,0.0,0.0,31783367.99749009
4800,0.0,0.0,33949712.28143656
4900,0.0,0.0,36136127.87791975
5000,0.0,0.0,37412177.43384295
