milliseconds,Cm,Ct,T
0,0.0,0.0,2245155.27334458
100,0.0,0.0,2681065.7895471896
200,0.0,0.0,2682191.831166573
300,0.0,0.0,3217206.733783821
400,0.0,0.0,3621702.4488088544
500,0.0,0.0,4520087.505749018
600,0.0,0.0,3523511.664802157
700,0.0,0.0,4731706.059395132
800,0.0,0.0,4393326.67408153
900,0.0,0.0,4277849.84159299
1000,0.0,0.0,5166230.201332988
1100,0.0,0.0,4593780.313580647
1200,0.0,0.0,5103660.722577131
1300,0.0,0.0,6725058.431434223
1400,0.0,0.0,5145905.32197983
1500,0.0,0.0,7153191.641945029
1600,0.0,0.0,5760426.213627529
1700,0.0,0.0,7707532.4289675485
1800,0.0,0.0,6847467.604096679
1900,0.0,0.0,7079226.638319532
2000,0.0,0.0,7850601.014084187
2100,0.0,0.0,9509311.057542842
2200,0.0,0.0,9029026.43645558
2300,0.0,0.0,10274680.073017944
2400,0.0,0.0,10191352.785025083
2500,0.0,0.0,11293240.605143914
2600,0.0,0.0,11780354.248409629
2700,0.0,0.0,11734466.856381629
2800,0.0,0.0,12242826.050839884
2900,0.0,0.0,12514027.986275105
3000,0.0,0.0,14723648.06754017
3100,0.0,0.0,14040673.950935474
3200,0.0,0.0,14347104.47229276
3300,0.0,0.0,15950613.342674144
3400,0.0,0.0,16069715.681604035
3500,0.0,0.0,18027558.876070477
3600,0.0,0.0,19023652.122713417
3700,0.0,0.0,19219320.92443003
3800,0.0,0.0,19996186.265134044
3900,0.0,0.0,20795687.785315543
4000,0.0,0.0,22442711.85879647
4100,0.0,0.0,24728678.89918553
4200,0.0,0.0,25090117.27318484
4300,0.0,0.0,27049271.09146861
4400,0.0,0.0,27555793.32851327
4500,0.0,0.0,29812001.321324565
4600,0.0,0.0,30353548.35587927
4700,0.0,0.0,31875331.418524183
4800,0.0,0.0,33692537.13317304
4900,0.0,0.0,36067326.56489695
5000,0.0,0.0,37868647.205837496
