milliseconds,Cm,Ct,T
0,0.0,0.0,2490813.091957495
100,0.0,0.0,2671265.482944793
200,0.0,0.0,4048229.0874928012
300,0.0,0.0,4025751.488169154
400,0.0,0.0,3751178.5530880005
500,0.0,0.0,3391237.758609051
600,0.0,0.0,3704201.881744559
700,0.0,0.0,3311746.9537113626
800,0.0,0.0,5369101.694075799
900,0.0,0.0,5357141.767976377
1000,0.0,0.0,5660422.8562224535
1100,0.0,0.0,4493698.51767339
1200,0.0,0.0,4758935.9912600145
1300,0.0,0.0,6779650.952316519
1400,0.0,0.0,5995216.908750591
1500,0.0,0.0,6878243.381353777
1600,0.0,0.0,5852043.880851274
1700,0.0,0.0,6655090.409628583
1800,0.0,0.0,7359254.827580214
1900,0.0,0.0,7660873.574927107
2000,0.0,0.0,8819407.114187988
2100,0.0,0.0,8514018.554488895
2200,0.0,0.0,8772711.960083984
2300,0.0,0.0,9994567.815388845
2400,0.0,0.0,10756948.943660365
2500,0.0,0.0,9981925.829002304
2600,0.0,0.0,11662363.335748337
2700,0.0,0.0,11831234.523510406
2800,0.0,0.0,11495428.923473457
2900,0.0,0.0,13481784.318582239
3000,0.0,0.0,12846096.173980692
3100,0.0,0.0,14409221.98308403
3200,0.0,0.0,15114966.162308706
3300,0.0,0.0,16027424.985966343
3400,0.0,0.0,17344910.481591478
3500,0.0,0.0,17765585.44528123
3600,0.0,0.0,18521160.031926904
3700,0.0,0.0,19597881.404159013
3800,0.0,0.0,21194564.570919532
3900,0.0,0.0,21662713.828048803
4000,0.0,0.0,22534681.131164324
4100,0.0,0.0,23976370.51534404
4200,0.0,0.0,24445940.33228346
4300,0.0,0.0,25598172.721532345
4400,0.0,0.0,27735251.767132044
4500,0.0,0.0,29913546.17417571
4600,0.0,0.0,30211897.23499934
4700,0.0,0.0,32692200.261058733
4800,0.0,0.0,33786106.3912598
4900,0.0,0.0,36471117.41181301
5000,0.0,0.0,38034007.644692846
