milliseconds,Cm,Ct,T
0,0.0,0.0,3981506.825706304
100,0.0,0.0,4025682.519335669
200,0.0,0.0,2769624.3317265315
300,0.0,0.0,2559438.8676592903
400,0.0,0.0,3112104.2489629923
500,0.0,0.0,3174657.869346726
600,0.0,0.0,4699955.067504611
700,0.0,0.0,5131036.16148159
800,0.0,0.0,3889049.7812987054
900,0.0,0.0,4063051.405951154
1000,0.0,0.0,5671758.715386664
1100,0.0,0.0,5882800.803404041
1200,0.0,0.0,6026256.940172421
1300,0.0,0.0,6655914.243500551
1400,0.0,0.0,6265849.285729776
1500,0.0,0.0,6965189.090672908
1600,0.0,0.0,6305543.754385404
1700,0.0,0.0,7863689.932365033
1800,0.0,0.0,6554196.962389619
1900,0.0,0.0,7303693.580278857
2000,0.0,0.0,7353022.293505136
2100,0.0,0.0,8773508.899222534
2200,0.0,0.0,9252374.78737457
2300,0.0,0.0,9019344.509814003
2400,0.0,0.0,10311789.88167291
2500,0.0,0.0,10004543.455801273
2600,0.0,0.0,11327564.129022768
2700,0.0,0.0,12416298.603162773
2800,0.0,0.0,12173362.436768495
2900,0.0,0.0,13645877.365502512
3000,0.0,0.0,13627084.49264213
3100,0.0,0.0,13834004.745475704
3200,0.0,0.0,15207555.190129604
3300,0.0,0.0,15092783.310567154
3400,0.0,0.0,16693528.222159863
3500,0.0,0.0,17133986.585978597
3600,0.0,0.0,17806318.91412897
3700,0.0,0.0,20308200.818984486
3800,0.0,0.0,20869040.150942694
3900,0.0,0.0,21930419.047649886
4000,0.0,0.0,23401499.53559369
4100,0.0,0.0,23505347.964647107
4200,0.0,0.0,24374373.279682778
4300,0.0,0.0,27251994.988102864
4400,0.0,0.0,28539275.06565037
4500,0.0,0.0,29245367.66486823
4600,0.0,0.0,31763988.22254343
4700,0.0,0.0,32749924.38684736
4800,0.0,0.0,34201604.48928804
4900,0.0,0.0,35990837.52922951
5000,0.0,0.0,38862511.17632764
