milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.635628271679331e-05,-5.493567584151756e-09,6.776946545052937e-09,-1.5402524219409138e-08,-7.218414556501737e-09,6.337980128766387e-08,-5.596662172281157e-09,-5.258827120370831e-09,-4.059365750566954e-10,5.09191097218337e-07
100,6.598371968571286e-05,3.4648500139974995e-07,3.07283157782816e-08,-3.663717966918306e-09,1.177112785842295e-08,8.936428651559227e-08,8.094192483228876e-09,3.1057102595058245e-08,2.435778229368363e-08,-2.655408795432845e-07
200,6.627522631925634e-05,5.578169270752183e-07,4.94962181869243e-08,6.434217362834153e-08,3.1806868223936194e-08,2.4032739800957054e-07,6.563877200268465e-08,4.302029959661007e-08,3.704060779727704e-08,-1.6918794310249363e-07
300,6.55075924374368e-05,6.664018277529389e-07,8.764199415019325e-08,7.91492618041471e-08,4.564902572471986e-08,3.650932551087218e-07,8.86897843081721e-08,4.21320482534993e-08,4.3942298045174576e-08,4.928842838209158e-07
400,6.478027324876777e-05,7.263394752102471e-07,1.0427656370135909e-07,7.560975119134867e-08,4.9965851132787517e-08,2.7265357849582355e-07,1.2564676050259408e-07,7.33568336283267e-08,6.189590685037651e-08,1.398791807528273e-06
500,6.381939987575785e-05,7.486965237916514e-07,1.2659273052496873e-07,1.3553660262753195e-07,7.56586752489888e-08,4.787777250142424e-07,1.2808555942412378e-07,7.055845835090069e-08,6.04729829430899e-08,1.3678415603195695e-06
600,6.352432375377223e-05,7.616630713821252e-07,1.4061844204568592e-07,1.3179249544295102e-07,6.871091137672935e-08,5.660494479183082e-07,1.7348428839195339e-07,7.16861853984596e-08,6.204474682614849e-08,1.535794906527599e-06
700,6.240860282940657e-05,7.501669601573891e-07,1.6354976914406354e-07,1.7689440734863759e-07,7.5658322528632e-08,5.999552138612093e-07,1.5859898240564815e-07,9.432523728972115e-08,8.51977831002199e-08,2.322169905407787e-06
800,6.215009459395221e-05,7.580257945638004e-07,1.7023791197090594e-07,1.877200319354175e-07,8.927780858213866e-08,7.297698217678166e-07,2.1461364479880413e-07,1.2676418499365206e-07,9.143962270433926e-08,3.201126673279208e-06
900,6.050915145470627e-05,7.58264683566284e-07,1.9413695764214485e-07,1.784464807440541e-07,1.2294723810702053e-07,8.185372144812043e-07,2.0179516180981097e-07,1.272781810162553e-07,9.841643870452869e-08,3.6186017198487236e-06
1000,6.033347289325814e-05,7.52069002065163e-07,2.070697696199215e-07,2.2754927378683776e-07,1.331851439661321e-07,9.365116635911423e-07,2.448626607551422e-07,1.3135326895909974e-07,1.1859446760234185e-07,3.6619683541839337e-06
1100,5.9674731310878484e-05,7.443792000367598e-07,2.1185409407723446e-07,2.6502795055554674e-07,1.3294452952554878e-07,9.619053611995719e-07,2.6605855002305345e-07,1.5084190238341546e-07,1.1634635557542785e-07,4.256055477440852e-06
1200,5.8926111543624385e-05,7.306676160033755e-07,2.189433636291094e-07,2.580944722469923e-07,1.4341157825591186e-07,1.0314233430784734e-06,2.9489651879531973e-07,1.6372919909815283e-07,1.2966215107027383e-07,4.592742609290862e-06
1300,5.932266677082464e-05,7.207559344929652e-07,2.3541016629823094e-07,2.999582792302274e-07,1.5197438459393566e-07,1.1061087712378236e-06,3.0928553183927606e-07,1.6917528987027635e-07,1.5144306173293147e-07,4.850484499487953e-06
1400,5.7325665599133614e-05,7.130935692576506e-07,2.348776727087701e-07,2.849060415569828e-07,1.5751081846845098e-07,1.1558577699440852e-06,3.628546879286011e-07,2.045502191844658e-07,1.5409844428283156e-07,5.452273013701284e-06
1500,5.6952633632987665e-05,7.264536510030121e-07,2.494306518417004e-07,3.1399702362075787e-07,1.7641211740334434e-07,1.279357722619523e-06,3.7030284795081e-07,1.8619705903316453e-07,1.7975469738451134e-07,5.410133243030712e-06
1600,5.654299833450738e-05,7.119828739107221e-07,2.527708461913918e-07,3.7425613521990926e-07,1.9467891519967735e-07,1.4260003162735288e-06,3.570743264081519e-07,2.0834090542810935e-07,1.9173352090868204e-07,6.135522737597043e-06
1700,5.713212072146619e-05,7.111323424802454e-07,2.6103247426009457e-07,3.603563005365481e-07,2.0698035350270694e-07,1.389618539087466e-06,4.192632202214828e-07,2.4452689495321953e-07,1.8092752828712117e-07,6.924918071288102e-06
