milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.693571068550129e-05,-1.2163323272975915e-08,5.38826973613901e-09,2.0783714903268954e-08,1.2790070127851502e-08,-5.411251124313242e-08,-1.0302472763221201e-08,1.566534110636349e-08,1.1850784673113385e-08,-1.9407882118455986e-08
100,6.619399276773973e-05,3.636093788668577e-07,2.4919012820307367e-08,3.1248103952556126e-08,1.0530667635568859e-08,2.9797506058721454e-08,5.129113182059793e-08,1.4098703007208142e-08,3.7024016322584107e-10,-2.1142500439002965e-07
200,6.590771244906176e-05,5.427747981166033e-07,6.313468586929527e-08,3.516726203510071e-08,3.9690095687070445e-08,1.014778633875071e-07,7.901846532076986e-08,4.554977706207805e-08,3.529751413963303e-08,-1.420895477501512e-07
300,6.494971159023748e-05,6.615795569913883e-07,8.319536622012008e-08,7.927162645279911e-08,3.164254871393335e-08,2.632916084439271e-07,8.352473081528631e-08,3.671264174470789e-08,2.6596880072229455e-08,8.468096133883482e-07
400,6.452183893471133e-05,7.233055574120417e-07,1.0285289658343462e-07,6.647813569744704e-08,5.8355172917698766e-08,4.7262230060736856e-07,7.713272623427446e-08,4.071900803281443e-08,6.007141270805224e-08,9.271939492219275e-07
500,6.33395789736033e-05,7.35528547764791e-07,1.2602903217686885e-07,1.346984436401489e-07,7.709866224932513e-08,3.714084462626524e-07,1.12080672544607e-07,6.698493210218619e-08,6.318533962364146e-08,1.6397728864583762e-06
600,6.282259451748646e-05,7.552651170102815e-07,1.359789456972743e-07,1.4100213498272873e-07,7.3385286111519e-08,4.674787991449551e-07,1.2602300782483167e-07,1.0112839497717158e-07,6.93976916164639e-08,1.8573242151495456e-06
700,6.286122325138784e-05,7.665315747922845e-07,1.610894158593279e-07,1.5037554370259623e-07,9.314082306639283e-08,7.244182733899332e-07,1.5900795345163093e-07,9.548721567684296e-08,8.378095231047098e-08,1.900245687072336e-06
800,6.109076562590298e-05,7.594903820869018e-07,1.7588654559367346e-07,2.0942949619432864e-07,1.0774659198628154e-07,8.183260494626111e-07,1.9495105747113672e-07,1.0052629949894924e-07,8.196104650003244e-08,3.2721355938375066e-06
900,6.171648493531836e-05,7.56572133011704e-07,1.85999494271654e-07,2.2985824825077466e-07,1.1373691876169021e-07,7.513988948202397e-07,2.2656479605468918e-07,1.262518608028977e-07,1.1273857876917289e-07,2.8711210878930343e-06
1000,5.997644421920956e-05,7.599597695532219e-07,1.9921456412014213e-07,2.0583152131487182e-07,1.115330930963822e-07,9.850564958658497e-07,2.6894644470406824e-07,1.4122906166767916e-07,1.0821240000449658e-07,3.4388029214474057e-06
