milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.711239841962729e-05,-1.14711334268737e-08,-4.450439228733783e-09,-2.664388696327659e-08,2.0992568231261856e-09,9.146452784154069e-08,-1.9811454829553496e-08,6.468521763288391e-09,-2.755849245634373e-09,7.788658535630772e-08
100,6.567180053196993e-05,3.5784789062260306e-07,2.6548771903428306e-08,3.44807661713223e-08,4.824794430672412e-09,1.6558747541819815e-07,4.541730266374039e-08,9.190729732154167e-09,5.162059247491544e-09,-2.258865048155895e-08
200,6.494908545911947e-05,5.498091513277919e-07,5.046586729090192e-08,2.30507704750852e-08,3.596619641419384e-08,9.057656201680716e-08,6.114380324495519e-08,3.7935673833547754e-08,2.961036358682964e-08,2.974893394548472e-07
300,6.543683586505691e-05,6.638337500709076e-07,8.274139600113159e-08,8.973334310104608e-08,3.303645480210829e-08,3.616520826333754e-07,7.187589930074959e-08,4.231090620687421e-08,2.6883151544061367e-08,7.707771335603314e-07
400,6.419678213586103e-05,7.219301033190928e-07,1.0419751624095452e-07,9.153856077962222e-08,4.0465817138321795e-08,3.9642211478643207e-07,8.888404834612483e-08,4.373258133207776e-08,4.362761306000173e-08,8.444737543768841e-07
500,6.423766892738317e-05,7.562854398333047e-07,1.1626145655963786e-07,1.0380650364095835e-07,6.500961351359173e-08,5.591471744466562e-07,1.4004203144911318e-07,7.823397144379419e-08,5.8263390111273516e-08,2.0382447071975775e-06
600,6.291541149655214e-05,7.57775739935843e-07,1.4284382321696953e-07,1.1609304237171527e-07,9.004291621605221e-08,4.594923499966834e-07,1.3301997316684293e-07,7.086802797277475e-08,6.751614273353849e-08,2.1336660860079655e-06
700,6.302246398618261e-05,7.581349595212016e-07,1.6505826026520476e-07,1.5886232967698263e-07,8.687486375141798e-08,6.941516152828746e-07,1.7432333416483056e-07,1.045878828085688e-07,7.12864034367183e-08,2.4355476260583423e-06
800,6.1007517426222115e-05,7.621246218859379e-07,1.6862874483003034e-07,1.72683206076034e-07,1.1528966495560021e-07,7.893511271829478e-07,1.991943383543191e-07,1.2772516052270126e-07,9.02322881198025e-08,2.778125156970673e-06
900,6.039016128486165e-05,7.500015705368853e-07,1.9232728912080568e-07,1.873756486643037e-07,1.111304518356065e-07,9.063912149226415e-07,2.462115049438701e-07,1.1580705436067684e-07,1.1372022808609782e-07,3.859600500056996e-06
1000,6.08335882925741e-05,7.531181567617421e-07,1.9927062014748914e-07,2.2971161980994877e-07,1.1063374535502234e-07,9.442763511245447e-07,2.3309960412811477e-07,1.2890566868240692e-07,1.118971792821272e-07,3.206629140540223e-06
