milliseconds,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15
0,6.686939904347598e-05,-8.176285113052829e-10,2.4591136500064435e-09,9.974784324736102e-09,-3.3287654266850377e-09,-9.862940726193968e-08,-2.9789812337666585e-08,1.2294499384165925e-08,6.8491161514212746e-09,-2.4777675560741876e-07
100,6.667789490581766e-05,3.551596788346303e-07,2.832386657882436e-08,4.5636721468515305e-08,1.4498442100788732e-08,1.1590509425978363e-07,1.0297300153735149e-08,1.698926310356149e-08,-6.126568761712146e-10,5.134798997870908e-07
200,6.594558807801439e-05,5.403040965303792e-07,5.5773080966894394e-08,6.22809457532589e-08,1.9046511711967358e-08,2.87122729392607e-07,6.961463216374737e-08,1.9219066181448138e-08,1.0448395236621367e-08,4.172292066144392e-07
300,6.440138206753668e-05,6.688877301536365e-07,8.157406433049234e-08,4.4288824786171814e-08,2.350615227744304e-08,1.734460594793914e-07,7.408892551854153e-08,5.660866343749254e-08,3.641280824724557e-08,5.460343643235391e-07
400,6.505965821697957e-05,7.059304977512182e-07,1.058411424549791e-07,8.354103229571472e-08,3.6990626205449254e-08,4.0975352600554664e-07,1.0004378013087572e-07,4.329980347402683e-08,5.1563701997947866e-08,7.450777145108859e-07
500,6.403042283001344e-05,7.452665722982833e-07,1.1759129417733867e-07,1.3143369706877743e-07,7.444023529388282e-08,3.485636077657647e-07,1.325794471524187e-07,6.688741198996807e-08,7.205715737236823e-08,1.7209787828961952e-06
600,6.33277781604631e-05,7.628019651023857e-07,1.3678389068352993e-07,1.4178438097422947e-07,8.378048091593019e-08,5.752781147205211e-07,1.7499185254370137e-07,6.869592538262461e-08,7.485168718642458e-08,2.0285680190271936e-06
700,6.25146573984703e-05,7.692512851948289e-07,1.6433860182605632e-07,1.641304193853792e-07,9.195613524249281e-08,6.040740914980813e-07,1.977573473609575e-07,9.41797170693091e-08,9.742954260818417e-08,1.9854850765529464e-06
800,6.243487371118315e-05,7.606389212528602e-07,1.7342855776740885e-07,2.0339656278075257e-07,8.580954827744127e-08,6.79922941343064e-07,2.024025220464724e-07,1.1673110553247058e-07,8.169046207646663e-08,2.722470954776796e-06
900,6.03708629934247e-05,7.542873957914326e-07,1.8936507145024997e-07,2.126986299946141e-07,1.2766781660872324e-07,7.511424056714802e-07,2.446341157516372e-07,1.4230792856881726e-07,1.0255548635241116e-07,3.6604282885025563e-06
1000,6.0898060977310114e-05,7.439954328573742e-07,2.0032550012943556e-07,2.2989646013057072e-07,1.298440683372596e-07,8.105948121221212e-07,2.5671268700407225e-07,1.4824084944129158e-07,1.1289753460692495e-07,4.0211710662223135e-06
1100,5.9418220198961664e-05,7.49900658798272e-07,2.1301886261153297e-07,2.219741485877755e-07,1.3753691736418381e-07,9.712197439488894e-07,2.9207778550440697e-07,1.4147765348754002e-07,1.2197192195032799e-07,3.766537441717168e-06
1200,5.885343936090273e-05,7.343939470627937e-07,2.201410086974135e-07,2.446912422334059e-07,1.4706659576806088e-07,1.0516621155576299e-06,3.0704548372529776e-07,1.4967574563353122e-07,1.497988901622629e-07,4.314476026345491e-06
1300,5.842245975708866e-05,7.43482994413781e-07,2.382030708817449e-07,3.119411636921815e-07,1.6374787558918202e-07,1.2225570098060897e-06,3.314653554717401e-07,1.9415781101098352e-07,1.5489115774804462e-07,4.827392698358047e-06
1400,5.746901809362428e-05,7.347271350231566e-07,2.3488887764335234e-07,3.048268110654092e-07,1.8411110329016125e-07,1.321312935945936e-06,3.4087862976963004e-07,1.9386907626914828e-07,1.7548902608209296e-07,5.792158422032511e-06
1500,5.731680300618397e-05,7.057556594994822e-07,2.4391957130443847e-07,3.502908997141091e-07,1.7754255214321507e-07,1.2593260885622255e-06,3.711129620608567e-07,1.8840481729344808e-07,1.7741637983227298e-07,6.199610506865653e-06
1600,5.7578170619210034e-05,7.190485736824055e-07,2.540809836815801e-07,3.3770026438787694e-07,2.0075358429289838e-07,1.3463677233864548e-06,4.007206756527869e-07,2.1966877414357664e-07,1.9283898879942576e-07,6.680367814063394e-06
1700,5.6830941423367406e-05,6.909810193042474e-07,2.5409613024362623e-07,3.726290955793541e-07,2.1820135130280992e-07,1.5557593686640912e-06,3.884867584191227e-07,2.1523234919886322e-07,1.8995313764865908e-07,7.054818590716313e-06
1800,5.5519139647842506e-05,7.044707134149079e-07,2.664444811578305e-07,3.886848612600326e-07,2.2594077416241687e-07,1.6319032377108387e-06,4.428920432237827e-07,2.3611465092130646e-07,2.1459987732717683e-07,6.7286337164332524e-06
1900,5.502517487766704e-05,6.962270448670502e-07,2.650765793274877e-07,3.943244601336752e-07,2.2799314871671714e-07,1.6642821446959563e-06,4.6845235663166726e-07,2.6283799734883673e-07,2.023126339951164e-07,7.818347664847375e-06
2000,5.415010641488845e-05,6.832004787451832e-07,2.7609547827513626e-07,4.151155315175371e-07,2.438232399792048e-07,1.7390958586928291e-06,4.6469954525217337e-07,2.6017713780609424e-07,2.3005135275960912e-07,7.778964104323332e-06
