milliseconds,T1,T2,T3,C1,C2,C3
0,5.92382543561814,5.023262008662937,1.0066137505662687,0.04094183473904481,-0.044628208745912085,0.015399210466717468
100,5.726831582382001,4.7584566845081975,1.0914442116927834,0.30816176994258604,0.23608881239535806,0.024210096584439726
200,5.407607032403704,4.314420795643129,1.1496068433473594,0.6558253490474362,0.5484545160584775,0.05046815523628624
300,4.98097554870067,4.151825080297186,1.1980361529374564,0.9851478648724127,0.7262969005767642,0.056422930922298616
400,4.747522433961936,3.9224462312146913,1.2404462508500051,1.2885672598327242,0.924324747865815,0.08211695457305461
500,4.6763596736330895,3.662738515600004,1.2868197492315556,1.5327096413476637,1.0607098624159996,0.10259597125869843
600,4.321424427823633,3.5616831926448245,1.2932408434721931,1.6849771115503038,1.2367208339804447,0.11463678417686898
700,4.275402333503511,3.274683082693426,1.3277245684214796,2.0487960200516335,1.4027586928647453,0.1254864469551219
800,4.08004593619313,3.1243748930026336,1.3193179505196868,2.243571198917495,1.5304783814337717,0.158851208545955
900,3.9994121443473447,3.0662317010922626,1.3339039077807133,2.3870787943736484,1.6327333882245882,0.2018087899893884
1000,3.8097790271994736,2.9028896788585903,1.3478623750014658,2.472469125627323,1.655417954298958,0.1964181889339642
1100,3.5934473886299725,2.7036194832811207,1.3328269143290499,2.659271593233093,1.8087295710900915,0.21130399180501203
1200,3.51075426788478,2.671698592025641,1.32295866351184,2.8279990300430797,1.8014283386799137,0.24636653381563645
1300,3.480901053281251,2.4190796684529627,1.3243828491978749,2.8412739644230394,1.884422332352011,0.2608307372021908
1400,3.3141960589035304,2.3806626628712393,1.3158301202265235,2.8447382024807886,2.0246164728556266,0.29286742903631935
1500,3.3227702057500323,2.3546592678997524,1.2937235531506355,2.9594505989134023,2.041101036678322,0.3092627363387432
1600,3.1553993686076103,2.3210429480835164,1.274543243602448,3.165594996284921,2.0817330968063232,0.31637667368433986
1700,3.22772498369163,2.2052439563909823,1.281106310240355,3.2303080074394934,2.088361940101711,0.32613121699850434
1800,3.129429433305375,2.0215540721327545,1.2562499700134135,3.2081253186334697,2.1697351734682906,0.36733393496086747
1900,3.0507553546151622,2.114852091633907,1.2359871861243108,3.377139571053952,2.1679280673679595,0.3615069981153171
2000,3.018919371363904,2.005598112407938,1.2365913929787273,3.369355465655816,2.194118730212914,0.3760931239412576
2100,3.0055629476568724,1.8767647902188656,1.2082630888284531,3.4302070007594185,2.220637949041035,0.39956379713788726
2200,2.8978987432283043,1.9096278998818577,1.1951653338807522,3.6315226585556064,2.177045166937088,0.402133943763841
2300,2.791457550925495,1.8153865631184953,1.1770771386676884,3.5685354640132503,2.223008915548868,0.42378911402902086
2400,2.764639501681686,1.8528035716104247,1.184090835721492,3.6428850468136225,2.287752271395013,0.4196749530874855
2500,2.7893106243854398,1.8507697925663429,1.1707895335053697,3.7388297440799265,2.2423018174761684,0.430253853958455
2600,2.7448033339574134,1.8319792016221017,1.1515869633045475,3.6604928425105814,2.2659808752815125,0.4406220713910087
2700,2.684212849941776,1.6873652661399718,1.1287433916243306,3.7825283028725845,2.2563349826045838,0.4630021092923182
2800,2.7066496730338017,1.7390008316342633,1.1146485824953487,3.7258269432423177,2.2970883031950993,0.47496168216574414
2900,2.735535888320428,1.6421630262835436,1.114729857794921,3.832138973149386,2.32443013109184,0.48124956666631974
3000,2.6532894050310585,1.5608890173285423,1.108901678205526,3.9071845475196527,2.2881347220278685,0.47583209912494545
3100,2.7524861967268808,1.5799894354559239,1.086235643857547,3.859061807223042,2.250780166645843,0.5052594923016983
3200,2.636464267599174,1.5861955690219753,1.0875902955976433,4.043503318756943,2.2276020825285285,0.5150981480370765
3300,2.5520801490716276,1.5946829945033187,1.0713051942658443,3.8902280783200585,2.334946890670727,0.5048775157887144
3400,2.553095616171223,1.5121881043162437,1.0575528476681357,4.024537127762302,2.311029543214118,0.5214469519443891
3500,2.549029652455378,1.4701089465457933,1.052418909568872,4.042718868646586,2.2976902700779447,0.5148146905337293
3600,2.593871852901564,1.481031298488569,1.0535269244265593,4.047837578080885,2.2549456854959034,0.526641509099748
3700,2.499193509249887,1.598413536685542,1.0417380586459997,4.0329330410263555,2.2965666619282534,0.5386751549507718
3800,2.638893344071546,1.5069848228261573,1.0370673962189019,4.181986508794408,2.232126295892943,0.5589200701855506
3900,2.494238897663509,1.4342370461014107,1.0337581547469916,4.133789560528206,2.2393874389611805,0.5299529165980363
4000,2.650509028643014,1.4576626252363325,1.021439474931388,4.206600784475263,2.2586599421582747,0.5462606750812645
4100,2.4764800671062086,1.427746623788513,1.0157956360996252,4.224412500391176,2.263697902378386,0.5535572829763116
4200,2.4755475374068574,1.5129862759040058,1.0278676118373702,4.3095590692458785,2.282892141541458,0.5452629034703527
4300,2.535026244732001,1.4576233799799247,1.0168397475753397,4.338730787257521,2.243741030529045,0.5657875360324598
4400,2.5703147570998293,1.4076576019172926,1.0165345167130155,4.149043145866392,2.284417626228722,0.579689820132609
4500,2.488922515853105,1.3533004607495738,0.99754225391363,4.158136586557419,2.200905928058023,0.5807139482808497
4600,2.6021944275643856,1.5033509215032745,1.0043923858948376,4.244883879451504,2.1862905321372317,0.5687633823433307
4700,2.5721981683956523,1.3425528066576236,1.0086169713881548,4.289145086354662,2.260729325506336,0.5663679825902646
4800,2.582601361470485,1.4066907882064048,1.0028101172041164,4.352958330911111,2.2720032344819345,0.593986999292034
4900,2.469858222248896,1.3602050223901259,0.9867781602771791,4.414377537675735,2.199171188343282,0.5807197322574513
5000,2.548126022952395,1.4749029393072224,1.0022798125344343,4.279236206112954,2.1693469597238804,0.6047758754961037
