milliseconds,X,ES
0,1.017770905892574,1.0109260993837965
100,1.8030158958247149,0.13166164058327418
200,2.5062106271119373,-0.4669978196084148
300,2.984829816310203,-0.9736072718462634
400,3.388391465147498,-1.3866915859500655
500,3.6964204774880334,-1.6595570701149878
600,3.961674797162623,-1.9611138361480214
700,4.153057922725589,-2.16939213220453
800,4.2943840526964525,-2.341454941054708
900,4.397506273123612,-2.46757397415744
1000,4.583738834067857,-2.568299276538428
1100,4.656665655255634,-2.6717707712040286
1200,4.738598929136809,-2.7080970330784457
1300,4.759116527209738,-2.8004122178520996
1400,4.778223722015909,-2.790671787949311
1500,4.879224215289117,-2.8865598496881297
1600,4.886366889102187,-2.867425077362381
1700,4.952221227386165,-2.960887528933095
1800,4.9631686621964555,-2.934469961415707
1900,4.970393335662408,-2.92486203104493
2000,4.979740898695806,-2.9750259725457697
2100,4.953278196768138,-3.030054862156408
2200,4.972070843658426,-3.038784283371403
2300,5.036223325597174,-2.968406818861835
2400,4.971448412195297,-3.044529709679382
2500,5.050230610057193,-3.0235038604308073
2600,5.023794636839653,-3.0217775837561924
2700,4.987076872625185,-3.0529873776610184
2800,5.0059531062229805,-3.07033002445424
2900,5.047962429266291,-3.002992619017978
3000,5.020587233662961,-3.0091246919636845
3100,5.021127874834806,-2.999815641876139
3200,5.0294665489372035,-3.0628507563570326
3300,5.072760751180582,-3.005777197654983
3400,5.021368894930342,-3.0824925420952707
3500,5.057070406214753,-3.0350626846325723
3600,5.035570589709648,-3.0824544149063544
3700,5.030306143141769,-3.0290858077190443
3800,5.033837935102433,-3.0562630790467815
3900,5.083394753590808,-3.0153031186801766
4000,5.027719409544993,-3.031131442263694
4100,5.053768362174691,-3.039056400640974
4200,5.039696503327016,-3.0378868367140366
4300,5.020157667728611,-3.087249815091967
4400,5.032664910899755,-3.0263328264103904
4500,5.031808793217556,-3.076273754323941
4600,5.035830056229505,-3.0728334356903764
4700,5.08304909700008,-3.014942545928214
4800,5.004884629385234,-3.0433013334672676
4900,5.057950107886492,-3.026936362118905
5000,5.086747095357683,-3.0398294773950414
