miliseconds,X,ES
0,1.0104514312123118,1.0226240984193609
100,1.869317717677574,0.17571845471597847
200,2.466109000877664,-0.4488810043867166
300,2.978019856441714,-0.9660895039809401
400,3.3375733551626365,-1.404915786469804
500,3.64998823831873,-1.7205219755654935
600,3.9282641935176845,-1.9038925246297982
700,4.127643392419055,-2.1678251700905804
800,4.261961138835446,-2.322891898895216
900,4.457637082896271,-2.4618362829942586
1000,4.552334972332365,-2.520122245102898
1100,4.627895225851085,-2.6437928198958636
1200,4.67200957884909,-2.6831118983525837
1300,4.726090541288086,-2.8034557401990967
1400,4.807785764999827,-2.8002105978642575
1500,4.822823943536614,-2.8561629880186765
1600,4.8903144997172925,-2.8559173213053772
1700,4.916880440992616,-2.8865123111214905
1800,4.917488166076388,-2.9302217392126293
1900,4.917966777176455,-2.9746893187676755
2000,4.953527051519951,-2.971638134732128
2100,5.001455477524685,-3.006254119853767
2200,4.9610910241337125,-2.965167130446308
2300,5.00881472444665,-3.0341660855529407
2400,5.019254564308041,-3.0273025413675616
2500,4.98714167590543,-3.0175694069230863
2600,5.018049660626587,-3.0405686057965937
2700,4.998325414716583,-3.072051682970004
2800,4.99485740943315,-3.021493466754428
2900,5.015493387898262,-3.0348016375647133
3000,5.062912267130416,-3.052601897244464
3100,5.070714884189743,-3.0592472512309508
3200,5.004862788133619,-3.0582725579051147
3300,5.056295237415398,-3.062615801423947
3400,5.072316622504971,-3.0780076388900275
3500,5.011572018283495,-3.0805356879246246
3600,5.018101913962246,-3.0435343392357965
3700,5.032602622445611,-3.0086822707474083
3800,5.075398194314702,-3.021140923923214
3900,5.020749206167311,-3.049787982222477
4000,5.051973756295741,-3.0169920546942044
4100,5.060710152644451,-3.019868050361287
4200,5.0054405160195845,-3.050560709783482
4300,5.070486277207472,-3.090439149367563
4400,5.019316437300396,-3.035059299495724
4500,5.04133019126242,-3.025078849114819
4600,5.03077269873791,-3.0693444363645273
4700,5.0352283548528565,-3.072461489167184
4800,5.078832180323844,-3.060231918790579
4900,5.064857502670509,-3.0416957346407
5000,5.08228921774619,-3.0206666495260914
