miliseconds,X,ES
0,1.0063849773325237,1.0183643837807375
100,1.8159362895562585,0.19377268932686795
200,2.4523352809270613,-0.4489445649424188
300,2.9342978564839886,-0.9680556792209293
400,3.3929143159058803,-1.3489608646296187
500,3.687198217284872,-1.72604700453172
600,3.9229422822411633,-1.9715280241597426
700,4.101384855854179,-2.144114817964369
800,4.2990714673396315,-2.313743605743029
900,4.451137965514058,-2.437971835270573
1000,4.557278556616427,-2.522724538952523
1100,4.630945407537141,-2.6184573824772293
1200,4.724147948091872,-2.682214166973352
1300,4.7373142701250215,-2.7750539598014137
1400,4.816070317444005,-2.806646765171504
1500,4.837350787116938,-2.824323990325359
1600,4.897611600902053,-2.927443833250101
1700,4.9534158607679775,-2.9610473238153827
1800,4.961491274691546,-2.9055371082006167
1900,4.918518964040566,-3.000936603596408
2000,5.006042684799968,-2.949101388164588
2100,4.956640200362544,-2.947163700942005
2200,5.0307269748276475,-3.0388822255700814
2300,5.026451499992623,-3.049490289474434
2400,5.052935014905576,-3.0434255413846305
2500,5.016993557799743,-3.003758350549685
2600,4.997144887959541,-2.9882756528889587
2700,5.037709941530643,-2.9971708201523244
2800,5.074064822110195,-3.003681457689733
2900,5.059593172640658,-3.0125527954146123
3000,5.044731048471154,-3.024338691047523
3100,5.002195777348427,-3.0273860958556824
3200,5.066243869743248,-3.0378739301527826
3300,5.065568686820115,-3.0282783302702625
3400,5.015823126927856,-3.027670811460363
3500,5.039172343041911,-3.06203066792212
3600,5.0783770523666965,-3.011307115952763
3700,5.0616756055511205,-3.0586883265795164
3800,5.067056506734332,-3.0441816634952956
3900,5.032178982781089,-3.0304711087548175
4000,5.054375352037211,-3.0475444310266715
4100,5.012425765784457,-3.0379166218736424
4200,5.058318704745464,-3.0713287600940102
4300,5.054164876190421,-3.0581378286405054
4400,5.053200392094065,-3.009502940125135
4500,5.070245145902838,-3.0774856926155048
4600,5.086869899738151,-3.024482321836513
4700,5.07093296121975,-3.011934946237948
4800,5.025609340805942,-3.028333041338033
4900,5.089255421300564,-3.0249489664442204
5000,5.042602160023326,-3.0213081667822936
