miliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,8.655454917051096e-05,0.0001606807490411034,2.485618788370938e-08,9.868428717507897e-11,-3.612867174593085e-15,5.4451472019322893e-08,7.937167981512335e-09,8.288617495712727e-05,-3.418831939153037e-06,-2.0599048707993545e-08,3.257174628638123e-06,-1.4063903350872397e-07,-2.4432749960961397e-08,5.622236381281434e-07,4.579393479724159e-08,-1.5773379111709693e-09,-8.194994750600103e-06,6.983746487190628e-09,1.7391940392013973e-09,1.2842106698923083e-11,-9.588346712839037e-15,1.1074705096100218e-10,1.9429456373950685e-10,-2.2026267316128753e-15
100,9.036831945212907e-05,0.00016660971163415226,1.5079509845089624e-08,2.6250311203309887e-10,-5.123651056754852e-15,4.0220553560056246e-08,7.351431148090202e-09,1.7159848559559338e-06,7.225459988669867e-05,4.3347199547134287e-08,-3.463872519320115e-06,3.2422985394660795e-07,1.7087410134197425e-07,7.284060774290431e-06,-3.7451634861806955e-08,3.226650988808151e-08,-3.5997650042379522e-06,-1.1905799453147396e-08,6.466925931905075e-09,5.293807249145248e-11,-2.177126264405275e-15,-4.916608095463702e-10,-7.438597918402876e-11,-1.874164209755159e-15
200,7.266313428501618e-05,0.00017207540971182737,7.781335824712965e-09,1.8507928326827559e-10,-3.3192426767608746e-15,5.3484842288410544e-08,6.892320549267871e-09,4.241468061642216e-07,6.413043277304346e-05,1.927747722618228e-09,3.92490609030036e-07,5.666275930354023e-07,2.82576137044327e-07,1.1441267823200925e-05,5.207737381183596e-08,4.439343696074588e-08,1.8615578906446608e-05,1.8702110863944105e-08,3.757177179573372e-09,7.9793159396392e-11,8.785153327686667e-15,9.788288770445713e-10,2.362946625100144e-10,1.0677436426077752e-15
300,7.996247513315238e-05,0.00015225796794096522,1.2370003094298049e-08,1.1903490285267605e-10,8.065129555912161e-15,4.9356133288954816e-08,7.347600639005082e-09,1.3606881330273128e-07,7.984047426221481e-05,-3.046451243928129e-09,6.008886005062685e-06,4.4138282612305793e-07,3.4295823729796836e-07,1.6854821581353485e-05,3.157852810012586e-08,5.886716653390521e-08,7.640736073594371e-06,2.0857746597594826e-08,9.038508600937974e-09,1.5608022270855834e-10,-2.9284614989608454e-14,9.857210109440717e-10,2.6942763504941926e-10,-3.172815574641017e-16
400,9.900766669770687e-05,0.0001568251472133448,1.4064430651468456e-08,1.4571458994814566e-10,-3.6897920764761686e-15,3.047233527776735e-08,6.152969727909153e-09,4.3757726281466586e-08,7.096027756535235e-05,-3.8844091644279795e-08,4.541312364687776e-06,5.567824395688115e-07,4.5322115439703074e-07,1.876945023268604e-05,1.1765498012980465e-07,7.03743645480582e-08,1.1973949905192011e-05,2.51688157957528e-09,6.218301543792424e-09,1.7783284669644497e-10,-1.0963475898741662e-14,1.764634841205796e-09,1.7690818600115447e-10,4.32275191855951e-16
500,8.753975952865016e-05,0.00015511593243774274,2.5150617245131305e-09,5.413062913400055e-10,2.5987998889207404e-15,3.975309400153063e-08,6.125356490993255e-09,-9.792614126415384e-07,3.9462502949466596e-05,-9.580096138838805e-08,-9.075416506594934e-07,6.955113401074919e-07,3.955530919323149e-07,2.2166947599934407e-05,2.0515236531895842e-07,6.890655285548446e-08,3.621627529363385e-05,1.7743332418628785e-08,9.70412796092701e-09,1.9131101477192522e-10,1.4579436813242327e-14,1.7396359320514628e-09,2.1885493741590003e-10,-4.389087760898512e-15
600,7.676566080941851e-05,0.00016840353480448024,-3.1924786324406895e-09,3.4240455722842907e-10,4.472025747356078e-15,2.6268631863139074e-08,5.751144851131079e-09,-2.453887619752234e-07,3.7023883401520515e-05,-1.2315341256605142e-07,-2.4097976758701967e-06,6.937861170413088e-07,4.115881320959209e-07,2.3059613807076703e-05,1.5999841767396318e-07,6.775989577106564e-08,3.830666128807787e-05,2.2587373144624965e-08,1.0985277597858394e-08,2.0939222171877055e-10,-4.939190811035396e-15,1.5749832864649591e-09,3.2635672003998484e-10,3.678654590495666e-15
700,6.983406173192572e-05,0.00016678903461565928,-5.609916138094775e-09,4.0255934879965764e-10,-9.06669019503455e-16,2.7679363577282543e-08,5.43092506020117e-09,-4.259198297504657e-07,2.237895477751353e-05,-1.6840605636193286e-07,-3.071134385863509e-06,6.933092322685388e-07,3.8798551160698925e-07,2.479459922034482e-05,1.941235667028249e-07,6.591738848763086e-08,5.495346801629228e-05,4.26423733865287e-08,1.9590380860926237e-08,1.985534430261819e-10,3.033403743516826e-14,1.9111788795978215e-09,4.279776564220246e-10,1.797141805595724e-15
800,8.710514319701216e-05,0.0001587479593914746,6.045112786691521e-09,5.539366210202242e-10,-1.0169235729422107e-15,3.364698173629096e-08,5.300984528839524e-09,-8.347139433422946e-07,-3.365381937753705e-05,-1.460375638795262e-07,-1.6793518679603646e-06,7.745686008227326e-07,3.86394629768034e-07,2.4237895605484413e-05,1.6055724794249485e-07,6.244280162479124e-08,5.587352816796751e-05,2.8586016016437277e-08,1.5066064498342892e-08,2.0576514432943943e-10,-1.2641342249560205e-14,3.268031701867319e-09,4.66405543862648e-10,-3.491480206832974e-15
900,7.472521844231125e-05,0.00016029101055833864,1.7888058544192609e-09,3.26944738097362e-10,-6.20868934771116e-15,2.6503712051801757e-08,4.6027189324244995e-09,-8.317905418436997e-07,7.488126623916142e-06,-1.7314059414471305e-07,1.0556977131262066e-05,7.027150460062293e-07,3.4114360348186417e-07,2.7011867030561604e-05,1.875017677752076e-07,6.038652488396532e-08,7.593779287527032e-05,4.753981851472391e-08,2.613600265455835e-08,2.0952662804931857e-10,9.706377243183706e-15,3.933322710306989e-09,5.047230075052069e-10,2.434499782552799e-15
