milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,9.276621110716404e-05,0.00016034685871211773,1.2237750571342849e-08,1.8439924183858224e-10,4.736097202134023e-17,4.393189531571885e-08,7.76142853821189e-09,8.351849252344642e-05,-3.1336834821187635e-06,-1.8748649044678194e-08,-8.818308870190605e-06,-1.8062140955557234e-07,1.297941119261794e-08,-7.245674317019366e-08,-2.2505449631499114e-09,-1.260878407847415e-09,-3.2704189354323564e-06,-6.957695583835503e-09,2.76133849017572e-09,-8.633229629332393e-12,-1.772282277891414e-14,4.022947624468402e-10,1.441104569037965e-10,2.169718327580467e-15
100,7.78833868973658e-05,0.00016414481461648082,9.824903920903947e-09,2.534694524647682e-10,-8.58731371951363e-15,4.298842692923948e-08,7.82944566682505e-09,1.1571197474892615e-06,7.32627282741646e-05,2.993794165881582e-08,4.634794242982386e-06,2.956074492183826e-07,2.1011090296392226e-07,6.258349941018989e-06,8.933714584107208e-08,3.256428331218069e-08,1.127376254511599e-05,-5.816823802989035e-09,4.070644810661804e-09,5.2002555192773695e-11,-2.8537865873242374e-14,3.8284381601495617e-10,1.9397994600438834e-11,5.940177008493193e-15
200,9.010733535355257e-05,0.00015602866874500138,1.6595316533876154e-08,1.5498741295622888e-10,7.881442634198934e-15,3.807487256571784e-08,6.64643803162911e-09,6.308922377619257e-07,3.581879705293212e-05,-4.701983413018277e-09,6.090474630474885e-06,2.4517720160297235e-07,2.743605374635032e-07,1.0407986428987054e-05,2.934547457957203e-08,4.50029345667784e-08,4.780785325404423e-06,1.2655071676637946e-08,4.890094901113972e-09,9.478458065613544e-11,-8.516650120986286e-15,2.859188762729747e-10,1.0486550826865662e-10,-3.672361874734799e-16
300,7.633582492916619e-05,0.00016602192925517276,2.0657785509782292e-08,3.9097710494451976e-10,1.4670728452070043e-15,4.565514378777364e-08,6.957841710912858e-09,-3.854205784374578e-07,6.326169063583375e-05,-2.2751555109335547e-08,1.1970111187690391e-05,4.4975478260910975e-07,3.8042685527888385e-07,1.610913986762551e-05,4.573277380905044e-08,5.952901735711661e-08,2.993938621860896e-06,1.2570027578804446e-08,1.9544332085015692e-09,1.398438696753906e-10,3.830404706932868e-15,4.1900449640164355e-10,4.8620300241581925e-11,-4.2758148893519644e-15
400,8.173568274505471e-05,0.00015795683160157363,1.5496994056643162e-08,2.489005255985898e-10,-3.262148708579158e-16,4.57194768917587e-08,6.591942595555643e-09,-4.3695352590579473e-07,5.151759255984502e-05,-7.424944764171126e-08,8.850327140321764e-06,7.730431029287824e-07,4.1292148331733364e-07,1.8790241236450017e-05,7.245382850606521e-08,7.08878017973844e-08,2.071096564211562e-05,3.361683532289105e-08,1.4810086560895006e-08,1.8663865236740205e-10,-2.295257730680225e-15,1.0793029714498575e-09,1.4661423288781873e-10,3.714627036420424e-15
500,8.774534549557092e-05,0.00015773347985509965,1.0213776996057134e-08,4.558471052620062e-10,3.797429518295036e-15,3.1049208410506156e-08,6.066909896626824e-09,-7.597046974952588e-07,3.769132284444216e-06,-1.0280132333410407e-07,9.686611370881375e-06,7.762174585923248e-07,4.340026625903226e-07,1.979766067116328e-05,1.1057945051300155e-07,6.957176946027264e-08,2.6504113422025423e-05,3.695186217850643e-08,3.174653436692343e-09,2.0449050240995586e-10,7.928333745424156e-15,1.764246359546014e-09,1.8706884278640464e-10,-4.087922457826832e-15
600,7.169521033701039e-05,0.0001602491188457709,1.0040611673090103e-08,4.1473046034363436e-10,-2.3139533948372764e-15,4.170188928546102e-08,6.176557186784423e-09,-1.7376622222870658e-07,5.657545974171794e-05,-1.3461649419942592e-07,1.2492230414824981e-05,7.362211844130393e-07,4.1016068771901426e-07,2.163458245365055e-05,1.250158157836089e-07,6.737965607073257e-08,3.8601770717968685e-05,3.708765492748359e-08,1.882546123672029e-08,2.163785069703348e-10,-2.2691568792891894e-14,2.5481791276510923e-09,5.004132459409007e-10,-4.597448589211523e-15
700,8.793457784242391e-05,0.00016793907910124056,6.675510798628249e-09,4.152254248462146e-10,-7.25834032098691e-15,2.2247685622987965e-08,4.896178767386537e-09,-1.256369790516435e-07,3.6559209739450024e-05,-1.5827321903121002e-07,-1.4054982448097973e-06,6.510335724028192e-07,4.123482493787488e-07,2.4441752857838783e-05,1.7510997761950847e-07,6.431950650540012e-08,5.764465669910712e-05,2.1618267428925935e-08,1.574053235628282e-08,2.0507788791822666e-10,4.429111840947708e-15,1.9215675741413444e-09,6.240850028010794e-10,4.921835635843771e-15
800,9.848558198689982e-05,0.00016457938602553373,-8.619810001480383e-09,4.715280799016844e-10,-8.341267743035098e-15,3.694222751269497e-08,5.282108582212162e-09,-8.329761510252025e-07,-9.130585960703577e-06,-2.005290418564628e-07,-5.689721234360453e-06,6.473362399692229e-07,3.7824450046644786e-07,2.5659576355269164e-05,2.74318880488068e-07,6.172235100991378e-08,5.083904945447487e-05,2.213762303840611e-08,1.9966724138820492e-08,2.235850290684892e-10,3.573203461764286e-14,3.625907974182838e-09,6.538548941566681e-10,-2.5960336549235608e-15
900,8.764819888215601e-05,0.00017202792708188508,-3.1955564765512393e-09,5.87920097892161e-10,-9.800462769721217e-15,2.763281309479174e-08,4.787365144650324e-09,-9.688455360940443e-07,-2.234575583683064e-05,-1.7465081805139885e-07,6.59299806223852e-06,4.5990094978622804e-07,3.943080085750487e-07,2.649998496031757e-05,1.9930963196699826e-07,6.163611517748479e-08,5.5106416008900726e-05,2.9583689717344433e-08,2.0937014593642888e-08,2.0422916699682083e-10,-7.8313532564795e-15,3.1039508939079104e-09,8.730801510194753e-10,-2.5399390784578737e-15
