miliseconds,E,T
0,319583.4909185755,4987528.58145623
100,320694.95248746715,5045506.636269014
200,321187.7106305092,5212113.66264311
300,322831.5763726172,5236911.144649547
400,322938.9997817925,5233584.527569018
500,324301.16106227424,5366326.783929406
600,324743.3288122655,5511125.407136929
700,325492.85507380025,5458356.88847676
800,325849.86447859346,5593027.661249377
900,326164.9939339039,5642823.466429134
1000,327707.25820844213,5790784.691152789
1100,328148.82885369373,5780777.431922618
1200,329193.13957475236,5903502.712730978
1300,330237.3521994825,6047940.972291416
1400,331279.48293160053,6148783.681787482
1500,331247.83231491083,6169401.204654487
1600,332273.07240134844,6306745.313810369
1700,333578.3164188512,6294765.400143194
1800,333625.47761307046,6473670.420312012
1900,334609.5288958378,6482379.535031948
2000,336206.92046728154,6681512.137453074
2100,336116.1231580768,6702986.6434964165
2200,338196.69436654856,6875045.540558784
2300,339135.72635480965,6902907.182126912
2400,339374.9726875061,6967053.864023738
2500,340112.3160283746,7110915.546349346
2600,341339.10802121944,7297938.644795492
2700,341857.0967341204,7269937.302565092
2800,343690.8003943158,7500866.3947981
2900,344352.86452515743,7572136.632275231
3000,345019.2639747311,7682469.46959805
3100,346200.3597692471,7695215.201604977
3200,347552.94664331066,7860317.85391251
3300,348026.2984743262,7954735.880866419
3400,348635.2170313532,8098787.885062178
3500,349857.9458247729,8200562.714412607
3600,351629.5011918396,8266245.45776647
3700,352188.12902542605,8356676.925175673
3800,353742.7694833304,8593415.005981281
3900,354543.8363097679,8593786.592623677
4000,354955.8393047022,8772505.144924002
4100,356131.25881758524,8881299.4195156
4200,356976.606529695,8981440.56548644
4300,358090.7314132876,9167967.749006514
4400,360276.20235070743,9256807.412506865
4500,360249.0786510748,9466477.843103504
4600,361575.0870582968,9464509.287170773
4700,363400.4973875994,9687666.154236257
4800,364306.14368883724,9834102.033192636
4900,365091.5921967565,9866045.283311244
5000,366828.1045580055,10110740.19429421
