milliseconds,E,T
0,319454.8746959955,4926302.892695268
100,320965.717623871,5063963.186849552
200,321455.1877610134,5186503.914487914
300,322097.18351169495,5217308.894884889
400,323560.9435370639,5312008.7640360575
500,324052.9028283427,5294997.229213613
600,324503.7844736632,5420718.477207688
700,325273.1283733854,5535643.233280334
800,325418.192999054,5611305.751079171
900,326350.41725292336,5727591.742790052
1000,328017.1725044283,5748246.705504477
1100,328310.1992775657,5797507.976171158
1200,328719.71660415886,5929606.781836651
1300,330111.0124021602,5973397.070671205
1400,331331.829453479,6038505.019401407
1500,332196.805337015,6127773.320179507
1600,332485.4259544907,6314721.096505875
1700,333640.8781788924,6412145.881495068
1800,333578.61315816944,6527652.39176838
1900,334487.90959278966,6501042.246068181
2000,335356.29651024856,6575802.091257816
2100,336567.11582987383,6793159.383530671
2200,337436.76688916754,6837741.783332628
2300,338646.99005432194,6927977.797836165
2400,339772.48781323864,7012474.3655006355
2500,340545.2912337526,7085426.826312504
2600,341557.93663111323,7281467.131481151
2700,341728.10645743937,7267556.465649982
2800,342734.1018128822,7499036.158191287
2900,343587.2568697329,7535941.519614268
3000,344896.98380685906,7587078.010069186
3100,345415.09800692543,7784469.048226517
3200,346716.5218719319,7782494.745323953
3300,347632.26105888555,7903825.533762159
3400,348705.04234855785,8049807.107630761
3500,349960.3128440058,8148692.922676025
3600,350563.07898222987,8348258.136129515
3700,352204.40257293667,8346857.647597102
3800,353506.5674880464,8473515.246006507
3900,354251.06467958126,8669068.652417958
4000,354659.00770058046,8735999.477195734
4100,356008.1532654616,8963773.85708743
4200,357626.25330233324,8981451.107953677
4300,358177.81074973155,9140177.497415937
4400,359059.0106258911,9264047.408660354
4500,360575.02562328964,9330569.29537354
4600,361805.7760003654,9491065.32403285
4700,363508.43307056045,9629099.035917507
4800,364211.5281082137,9851405.193881286
4900,365205.49697938934,9927075.510584684
5000,366023.11776650226,10037220.388635637
