milliseconds,E,T
0,319601.2257548094,4936582.222214915
100,320093.58385081444,5055811.000184595
200,321930.505921312,5166879.168589106
300,322228.5489674478,5260215.135644566
400,322874.28910175944,5348055.785146789
500,324094.3993472659,5436263.985431252
600,324792.1830598955,5387790.454258374
700,325696.29943554645,5455163.312994279
800,325693.6237504744,5675415.748084907
900,327168.3830519862,5650220.1301293075
1000,328121.19164585683,5781133.483599022
1100,327988.8123670904,5819598.059847245
1200,328688.32628581946,5904585.508415306
1300,329716.35819444124,6070583.506675306
1400,330347.1592135492,6026964.477689939
1500,332247.73344314826,6127531.074860369
1600,332179.4999022779,6233177.033758046
1700,332669.20800046885,6423906.392880341
1800,334734.200122846,6441865.05254533
1900,335631.7296711816,6619098.186699436
2000,335516.91615812277,6622545.220269866
2100,337108.9176629653,6690258.569407845
2200,337627.2464478931,6876235.689524171
2300,337977.7738014743,6892072.718660851
2400,339740.3091868133,7057214.887010901
2500,340375.9377038274,7168337.903620428
2600,341216.12666024704,7205476.377378524
2700,341809.2934463768,7349310.588425644
2800,343506.59255482716,7421872.255373722
2900,344744.2057651239,7501508.409260508
3000,345526.6223101636,7644775.0288428115
3100,346145.73531411635,7779843.798971338
3200,346497.5247360888,7891658.24584229
3300,347378.17457952263,7890276.806969959
3400,349316.3481615766,8072080.116030895
3500,349960.5748267218,8186194.32960318
3600,350630.56107107375,8321964.303035409
3700,352509.579215414,8479764.34143871
3800,353124.55974963465,8545758.22996543
3900,353806.632979202,8643044.727727555
4000,355745.97529505653,8819531.997252181
4100,356798.63297279185,8959734.001004409
4200,357692.0015000314,8992995.751620453
4300,358917.0145988319,9094295.92325555
4400,359700.7355288541,9278725.404996904
4500,361074.8807612533,9337504.982434357
4600,361738.00955548754,9532409.844630236
4700,363114.56323606876,9645049.97110995
4800,364079.9324095241,9734887.908810232
4900,365967.46838727297,9959956.772197675
5000,366115.7660525399,10103570.437407685
