miliseconds,E,T
0,320037.46564048016,5045781.483555899
100,320810.34592779964,5080799.979461091
200,321935.2210946302,5096619.21895555
300,322802.3703346321,5213913.528078353
400,323488.05784512806,5242429.406183744
500,324174.04718514683,5427370.632736228
600,324637.6051045421,5396836.425727545
700,325709.9357632715,5598956.266544972
800,325682.8565147311,5594700.949223529
900,326692.78697127185,5707201.640666564
1000,327342.4835710323,5746931.140865704
1100,328530.23145584285,5791679.175254453
1200,328517.6054935246,5896057.707394104
1300,329562.13114544685,6023706.0740615
1400,331008.64917676453,6091326.510859129
1500,331939.99460492877,6230387.689283881
1600,332500.3391394983,6215626.908378095
1700,333792.9597281601,6404049.450415143
1800,333989.68254414503,6407396.588947852
1900,334925.4303591173,6580628.496062796
2000,335899.770888916,6656234.625699956
2100,336324.00387541886,6716715.4893572265
2200,337291.70972811175,6782581.202682499
2300,338205.3247786267,6874995.014611801
2400,339124.72217705776,6986038.149533887
2500,339789.682249989,7119289.3976038415
2600,341436.177179691,7260173.276839909
2700,342214.82682501763,7305725.563805673
2800,343029.90881862014,7361583.77207835
2900,344466.2639794183,7520227.0388968205
3000,344602.1953568393,7599296.053095974
3100,346516.9349373372,7759650.415466766
3200,347374.32718547486,7809542.085438951
3300,348363.51607294497,8035492.247316842
3400,348575.8637227332,8032535.510309681
3500,350491.3133227061,8140970.966805697
3600,350859.6141429915,8280557.863212538
3700,351830.95252189104,8404659.632834127
3800,353601.97089469305,8494959.41663966
3900,353495.447977255,8700178.356921833
4000,354662.222366635,8721393.97123821
4100,356576.48424502445,8918039.068432208
4200,357810.3928382486,9060316.51517876
4300,357914.997640623,9118878.376894394
4400,359932.184283021,9289054.421739062
4500,360208.6119045391,9339244.11377012
4600,361294.52248292946,9544099.130525129
4700,362394.6278991157,9617151.988471268
4800,364606.59345153,9845743.378854046
4900,365968.55306276295,9947617.505609976
5000,366326.6860152124,10106000.252200456
