milliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60606060606060.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
100,52690795371679.4,31388924830815.38,1968901739223.6882,5280647840.740291,3142708881.75519,197081734.6698023,6881700049451.84,2185342202104.88,130042149334.9221,1386927040.9382515,378780713.7684335,22122830.31631402,597706587151.1088,166616949.95373192,7141491.308326993,597706587151.1088,166616949.95373192,7141491.308326993,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,46126840831824.66,54447024483112.26,6850494373003.848,9309110243.21367,10942658056.78383,1375417059.607393,12541908763763.117,7660134372798.106,923816922097.3873,5093804922.603064,2665140958.866367,315785177.1766943,1205954077985.9482,568429460.526344,50511505.39743812,1205954077985.9482,568429460.526344,50511505.39743812,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
300,40681100268678.45,71182618939539.62,13463852952219.336,12461474001.013199,21593064728.56724,4074821812.7013803,17196709865440.996,15141691805697.105,2775073576417.1885,10554981358.308968,7932536456.127239,1429699658.251134,1843314488440.0452,1115060892.5129046,152827839.3880609,1843314488440.0452,1115060892.5129046,152827839.3880609,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
400,36160983035114.28,83144360076420.27,20998897650580.426,15020498025.580164,33926538646.126137,8533043717.816675,21023618029391.816,23709666060196.92,5868326713602.269,17331700432.12616,16628001871.75251,4050863627.6246357,2523789705827.078,1763151487.1188545,328880846.5051442,2523789705827.078,1763151487.1188545,328880846.5051442,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,32407309464930.21,91523148975289.98,28913369232468.867,17196800784.66222,47216084293.28205,14819627850.265627,24168531887659.414,32715575176695.863,10248961261356.656,25084644873.551937,28799842412.939957,8887820249.103611,3257767274913.7197,2494087256.911297,589812866.214013,3257767274913.7197,2494087256.911297,589812866.214013,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,29288469153656.66,97231931133785.97,36856343924364.22,19145462558.122456,61032563716.31732,22920402730.983776,26751420894665.043,41713510597148.195,15873491465164.084,33552300868.009037,44256194401.691605,16602870496.582994,4052780892396.054,3301732555.9926696,945332991.586089,4052780892396.054,3301732555.9926696,945332991.586089,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
700,26695607908030.4,100968119565331.33,44611773093697.75,20979011764.207195,75143565228.79823,32788618704.241997,28870980230694.438,50407235929057.23,22645122081247.227,42533919684.02858,62673523327.320305,27776759566.97589,4914115517240.648,4185778295.5025315,1404801929.202218,4914115517240.648,4185778295.5025315,1404801929.202218,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
800,24538665848807.83,103262285263628.92,52057182897380.945,22777541700.77477,89442668110.8591,44373872507.88431,30608437713250.26,58610039845583.56,30438421059297.473,51876133994.410645,83668935047.14609,42894426240.19106,5845287927385.616,5148237080.556365,1977707472.8569438,5845287927385.616,5148237080.556365,1977707472.8569438,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,22743109635975.746,104516170375619.2,59133615316346.875,24596588280.846596,103900494682.03204,57636888597.03181,32030673954516.555,66214332055471.55,39116123350038.93,61462433445.00295,106847047653.47087,62343608784.43071,6848428976487.144,6191649740.198651,2673827935.570317,6848428976487.144,6191649740.198651,2673827935.570317,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1000,21247231678785.4,105032375638689.42,65823919528204.03,26473256970.836422,118531389149.07011,72555464835.34503,33192785190290.664,73168698443554.48,48540254970862.6,71204883639.8381,131829031165.79008,86420972364.65874,7924588047133.837,7318234093.960241,3503238743.83622,7924588047133.837,7318234093.960241,3503238743.83622,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1100,19999928302767.38,105037354383900.97,72137398430216.69,28430938898.15432,133371517614.98093,89125061033.14467,34140178432452.887,79460828776839.39,58579085597762.28,81037660984.87581,158269003180.7023,115342259284.35106,9073973924094.592,8529544747.2956085,4476247441.455885,9073973924094.592,8529544747.2956085,4476247441.455885,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1200,18958872305661.582,104699177424354.9,78099121831089.64,30482923026.870514,148464970342.07748,107356520970.13866,34910284120879.395,85104923648073.55,69111152431310.984,90912016612.96533,185861921738.75653,149254022611.68958,10296145103119.082,9826391550.903032,5603303996.836982,10296145103119.082,9826391550.903032,5603303996.836982,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1300,18088989062270.266,104141506818016.0,83742375499090.19,32635207434.568607,163854926289.84824,127272702296.41464,35533976527794.92,90132254192080.77,80027436054286.73,100792285267.58894,214346428066.77805,188245314175.8045,11590162667365.742,11208863244.64168,6894911618.85232,11590162667365.742,11208863244.64168,6894911618.85232,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1400,17361209218628.207,103454240217162.61,89103735011238.31,34888607856.649284,179578899576.34152,148904564896.91818,36036729023418.79,94584436757522.4,91232058263787.97,110652816640.83765,243503811659.0404,232358799622.31253,12954709857005.066,12676422738.588423,8361542762.8421135,12954709857005.066,12676422738.588423,8361542762.8421135,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1500,16751438689726.064,102701726720505.89,94219851465534.06,37240354495.04308,195666386392.9437,172287546283.0757,36439562761302.68,98508604196237.28,102642129025541.27,120475586960.7532,273155028421.76355,281600594339.29956,14388186670954.826,14228009878.479591,10013569039.438046,14388186670954.826,14228009878.479591,10013569039.438046,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1600,16239688136690.521,101929287599477.78,99125340635505.8,39685332904.71663,212137946111.68076,197458362089.1475,36759844559118.2,101953859027205.33,114187103215437.0,130248288826.28065,303156736923.04175,335948894692.7941,15888786708966.264,15862143329.45442,11861202306.083645,15888786708966.264,15862143329.45442,11861202306.083645,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1700,15809370005451.736,101168030718880.47,103851702817301.48,42216967987.616425,229005518397.73544,224452416305.65732,37011927023109.43,104968979066875.1,125807734972831.81,139962905429.93158,333396672487.1459,395361137308.2691,17454555839931.043,17577014697.34196,13914448640.982265,17454555839931.043,17577014697.34196,13914448640.982265,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1800,15446732016028.594,100438379699640.83,108426904723198.66,44827841374.118256,246273377946.29745,253301917243.503,37207661170169.58,107601011329669.38,137454859320429.23,149614653894.40204,363788985106.75867,459779691287.07904,19083436750837.902,19370566664.193012,16183074409.525904,19083436750837.902,19370566664.193012,16183074409.525904,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1900,15140364898314.484,99752999352987.14,112875165564482.56,47510186353.156815,263939126188.88406,284034506301.43884,37356840557215.38,109894228479489.45,149088215324255.3,159201105971.72992,394269980161.5163,529136571440.7325,20773306441523.043,21240557900.97997,18676579413.216507,20773306441523.043,21240557900.97997,18676579413.216507,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2000,14880796653252.992,99119006183654.34,117217007837593.36,50256238168.77786,281994797288.38794,316672395865.1914,37467565486319.98,111889522112292.17,160675293312534.72,168721517901.52792,424794231006.94556,603357108546.4052,22522005431485.03,23184616490.929222,21404177468.43425,22522005431485.03,23184616490.929222,21404177468.43425,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2100,14660160018370.227,98539587346938.64,121469517962156.31,53058465821.32835,300428048451.0649,351231894022.6886,37546539714432.33,113624148773509.48,172190213646363.8,178176333628.8124,455331022347.0977,682362777214.5309,24327360050031.63,25200284638.77628,24374782957.10382,24327360050031.63,25200284638.77628,24374782957.10382,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2200,14471923577653.66,98015148193059.42,125646723565420.81,55909711408.85559,319223299969.8873,387723297087.6173,37599308879350.9,115131728469760.89,183612689490154.22,187566828000.2726,485861248947.3114,766073238749.2542,26187199000457.445,27285053286.830364,27597002882.183495,26187199000457.445,27285053286.830364,27597002882.183495,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2300,14310664014746.242,97544218152928.7,129759953056101.86,58803285569.774956,338362676767.41815,426151031766.73535,37630461832572.07,116442326689519.12,194927123400121.25,196894824508.06827,516374833814.8923,854407834973.2631,28099366648855.184,29436388893.45835,31079132408.018196,28099366648855.184,29436388893.45835,31079132408.018196,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2400,14171874863135.357,97124138947868.5,133818192038719.06,61733023889.30768,357826812614.74805,466513961177.271,37643799038038.33,117582614664377.39,206121810731188.2,206162479650.27908,546868553530.3869,947286657720.5063,30061733394263.18,31651755006.848957,34829153096.62916,30061733394263.18,31651755006.848957,34829153096.62916,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2500,14051811266070.691,96751538884473.73,137828440553759.48,64693305522.05327,377595535981.77405,508805819722.7472,37642468484864.75,118576105737418.45,217188244270107.5,215372132544.0508,577344241132.8541,1044631234715.4075,32072203172342.223,33928629033.418415,38854733700.13267,32072203172342.223,33928629033.418415,38854733700.13267,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2600,13947364448065.36,96422653850164.92,141796042836382.7,67679047094.73295,397648418814.8157,553015725942.6813,37629075011397.38,119443425205078.31,228120525499581.66,224526202192.02264,607807352667.0662,1146364919697.6606,34128718761020.785,36264514602.118286,43163232987.41003,34128718761020.785,36264514602.118286,43163232987.41003,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2700,13855949538412.77,96133593384402.25,145724987334798.38,70685689341.90851,417965238435.0856,599128715923.0344,37605777810327.0,120202577551903.8,238914838131953.47,233627102462.48825,638265730750.5336,1252413159314.4868,36229266198580.83,38656951891.7941,47761703395.82566,36229266198580.83,38656951891.7941,47761703395.82566,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2800,13775414293749.805,95880519665029.42,149618164190107.88,73709172323.26457,438526315061.3366,647126294690.1002,37574369424203.84,120869211011597.4,249569015317996.72,242677184957.0511,668728660325.0433,1362703583084.989,38371877808995.336,41103525092.036606,52656895895.36168,38371877808995.336,41103525092.036606,52656895895.36168,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2900,13703968547841.621,95659741284662.08,153477583183635.66,76745900054.50934,459312738326.2006,696986983466.1454,37536336394531.1,121456878010618.78,260082196813682.0,251678709007.67136,699206196490.6145,1477165941749.3223,40554633862423.28,43601867234.7839,57855265969.41322,40554633862423.28,43601867234.7839,57855265969.41322,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
3000,13640120366298.332,95467792753133.88,157304567684650.1,79792705920.81297,480306552298.5091,748686826927.475,37492914099726.72,121977277485934.14,270454523512245.25,260633816631.69736,729708586038.8634,1595732033712.0042,42775663901132.33,46149664342.92644,63362979778.94903,42775663901132.33,46149664342.92644,63362979778.94903,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
