miliseconds,Lys,AspP,Thr,ASA,Hser,PHser,TS1,Ile
0,0.053535721895846454,0.0009445200883347197,0.00043167225193999537,-0.008157034076274263,0.01378081494038267,0.017314781720669314,7.4,3.669390000598375e-07
100,-0.013012750531287252,0.20106283524551075,-0.0002491485997812079,0.09489835400277796,0.008391874582981573,0.004801154224994432,7.4,1.5079479196156122e-06
200,0.03203546698630241,0.29480666772280645,0.0006574904343873325,0.24991753035359354,0.02915030688637861,0.02595499502194957,7.4,4.424894816758355e-06
300,0.06208615440451527,0.344781031955903,-3.215980260119059e-05,0.3688283986757117,0.03513546829092208,0.021514742296324826,7.4,-2.458204130521533e-07
400,0.3787175374184315,0.37250168379901216,0.00028225033737241007,0.45494732503346863,0.07833990888010135,0.003417575378353835,7.4,-4.268957970819244e-06
500,0.5614404023669644,0.3943699998241208,-0.0003998145805428406,0.5346280818906031,0.10894512765731781,-0.0008774789642909987,7.4,-3.605405502188651e-06
600,0.7679750298236733,0.41298005589708525,-2.335468292531307e-05,0.570176938744076,0.15389601139148415,0.03270485392183066,7.4,-3.6048721626338424e-06
700,0.8493864538779289,0.4207160466747649,0.0002296628517283171,0.6147192291071091,0.20302820546491987,0.03409384447133311,7.4,-9.337077014312682e-07
800,0.9873963172257539,0.4354847456002677,0.000842224591625119,0.637388421238627,0.2525106287742238,0.0398955752977539,7.4,3.413771099811853e-06
900,1.147920790822313,0.4375541694791027,-0.00017929624049223042,0.6493550457117011,0.2684120905871746,0.1000302898287335,7.4,1.9798009476932577e-06
1000,1.462940440152962,0.439509334342721,-0.0004792112979057162,0.6585411009552976,0.3155916405616721,0.1068949802621719,7.4,5.20888022376813e-06
1100,1.6353134836955594,0.44262592064788614,0.0014593680534861495,0.6691933781567165,0.35692452780709166,0.14093018138032626,7.4,2.335060512183886e-06
1200,1.7457857153824032,0.44895857166576353,-6.999372812603317e-06,0.6898191068420177,0.38869300562752573,0.17084906307388698,7.4,-2.5143645436693015e-06
1300,1.9518577906451817,0.44445318034292636,0.00021509656984447848,0.6936983688462375,0.4332113925913453,0.18820862563537988,7.4,6.228272595391819e-06
1400,2.2323602191145544,0.44906958261968644,0.0013238782049026449,0.6875442705706085,0.45273317189160883,0.24613002981488669,7.4,3.3248902785110326e-07
1500,2.4197565554777256,0.45136617815174546,0.0019800661689190024,0.6985909721953217,0.4789264694879586,0.2542184491932643,7.4,3.23356018355469e-06
1600,2.699753556971808,0.451694626882327,0.001920474280468809,0.6995393060076233,0.5010101114309365,0.2790161954644126,7.4,4.8869908895703795e-06
1700,2.7964381980210926,0.4468490004686104,0.002761268678294122,0.7035637585979359,0.5442845077985224,0.29962600950563484,7.4,5.898935539002095e-07
1800,3.2432269290624913,0.4505254544313133,0.003178059393124584,0.7072629329644562,0.5457048439446441,0.40782022231822884,7.4,8.049058657348883e-06
1900,3.285092270272834,0.4486901611647677,0.003510888658521283,0.702251892800712,0.583963919281016,0.40255222747025454,7.4,1.2083639770474668e-05
2000,3.4437841210031626,0.44924985688360447,0.004862892121160227,0.704963938922281,0.598650427885503,0.45250016471484744,7.4,4.1735026209429295e-06
2100,3.6098197055458368,0.45389360780837673,0.004493835469089243,0.7162760945712259,0.6110713072846157,0.4929820238692072,7.4,9.675396235692177e-06
2200,3.8503184440930034,0.449665052186426,0.006206328528283329,0.707931808916761,0.629856026155842,0.5414641417538638,7.4,9.381203332883622e-06
2300,4.230212195640825,0.4497668694055736,0.006213638955175213,0.7105304083888003,0.6536377533889796,0.6323569837629642,7.4,1.7274225120753376e-05
2400,4.252247087051635,0.4472805789968454,0.007653362145720481,0.7260735531555791,0.6795210682024618,0.6373916757613698,7.4,1.446306060837783e-05
2500,4.536097587727483,0.4502035738190157,0.008071022333109808,0.7197317441961538,0.6741635761880981,0.6703055902808507,7.4,2.0377066669753304e-05
2600,4.83384142376657,0.45071836024043277,0.010517036657875473,0.7275838884162136,0.6865224597930671,0.7362221468390021,7.4,2.7361721900960886e-05
2700,5.072682319870533,0.45346654164237693,0.01160619184484751,0.7336126768397772,0.702054331986674,0.786333544211152,7.4,3.636092254955253e-05
2800,5.105718436399444,0.452776130191508,0.01191078354579469,0.7328821172376448,0.7155558696290844,0.8291937517141547,7.4,3.710859542392602e-05
2900,5.2286524122340605,0.45172108444096293,0.013812242860661498,0.7313956372008481,0.7434428166156887,0.892346888249756,7.4,3.757507822065257e-05
3000,5.603832338258703,0.45610029738298324,0.015471838994767397,0.7348985688070605,0.759076211261472,0.9972994320335062,7.4,4.42634624639093e-05
3100,5.688640170784812,0.45027614142673855,0.01613232802200012,0.7347524530906044,0.7693693048984829,1.0140505444477124,7.4,5.312952220850122e-05
3200,6.026868735758509,0.4496678976111055,0.018340857158548555,0.7383100252144309,0.7586746583632401,1.0813905970054778,7.4,6.0578861944121006e-05
3300,6.186088871409997,0.45217465862482464,0.019385614745195602,0.7398862839756523,0.777047025036059,1.1676548147112484,7.4,7.552844312777834e-05
3400,6.327992446897071,0.45669610464338734,0.021900060550367317,0.7548578909680893,0.7988193843551488,1.1938847661227339,7.4,7.482564196275984e-05
